IDlist,CONCEPT,FORM,ID,NOTES,DOCULECT
1,mother,sīhí,1005,,alac11
2,"mother!, mom!",nāná,1006,,alac11
3,father,yīvā,1007,,alac11
4,"father!, dad!",$,,,alac11
5,"son/daughter, child",sāhya,1008,,alac11
6,son,$,,,alac11
7,daughter,$,,,alac11
8,cross-sex sibling,kīhvā,1009,,alac11
9,brother of man,ñānī,1010,,alac11
10,sister of woman,kihvi,1011,,alac11
11,aunt,sīsī,1012,,alac11
12,uncle,sītō,1013,,alac11
11,man,taā,1014,,alac11
12,woman,ñáha,1015,,alac11
13,"owner, boss",shi-tóhó,1016,from tohó ‘respect’,alac11
14,priest,sutu,1017,,alac11
15,blood,$,,,alac11
16,bone,yīki,1018,,alac11
17,hair,īsí,1019,,alac11
18,face,noo,1020,,alac11
19,tongue,$,,,alac11
20,tooth,$,,,alac11
21,mouth,yūhu,1021,,alac11
22,ear,sohō,1022,,alac11
23,nose,$,,,alac11
24,neck,$,,,alac11
25,hand,ndāha,1023,,alac11
26,fingernail,$,,,alac11
27,back,sata,1024,,alac11
28,stomach,tishīn,1025,,alac11
29,"intestine, guts",$,,,alac11
30,foot,shaha,1026,,alac11
31,sickness,kwehe,1027,,alac11
32,medicine,tatan,1028,,alac11
33,swelling,$,,,alac11
34,pimple,$,,,alac11
35,pus,$,,,alac11
36,urine,$,,,alac11
37,clothes,tīkoto,1029,,alac11
38,"sandal, sandals",$,,,alac11
39,pants,$,,,alac11
40,"blouse, woven blouse",$,,,alac11
41,town,ñōō,1030,,alac11
42,house,vēhē,1031,,alac11
43,road,yīchi,1032,,alac11
44,post,$,,,alac11
45,"mat, sleeping mat, straw mat",$,,,alac11
46,bed,$,,,alac11
47,chair,tāyi,1033,,alac11
48,animal,kīti,1034,,alac11
49,bird,sāā,1035,,alac11
50,fish,ti-yaká,1036,,alac11
51,snake,$,,,alac11
52,frog,$,,,alac11
53,hawk,$,,,alac11
54,scorpion,$,,,alac11
55,cockroach,$,,,alac11
56,grasshopper,$,,,alac11
57,bee,tí-ñoño,1037,from ñoño ‘honey’,alac11
58,mouse,tiín,1038,,alac11
59,deer,yūsū,1039,,alac11
60,squirrel,$,,,alac11
61,skunk,$,,,alac11
62,(o)possum,$,,,alac11
63,raccoon,$,,,alac11
64,rabbit,yīsōn,1040,Sp. conejo,alac11
64,rabbit,lēsōn,1041,Sp. conejo,alac11
65,vulture,$,,,alac11
66,dog,īnā,1042,,alac11
67,cat,míshtón,1043,,alac11
68,rooster,ndūshú chée,1044,chicken big:male,alac11
69,chicken,ndūshú,1045,,alac11
70,pig,kīni,1046,,alac11
71,horse,kwáyí,1047,Sp. caballo,alac11
72,sheep,ndī-kāchī,1048,from kāchī ‘cotton’,alac11
73,ant,$,,,alac11
74,horn (anatomy),ndiki,1049,,alac11
75,feather,$,,,alac11
76,wing,$,,,alac11
77,tail,$,,,alac11
78,tree,yīton,1050,,alac11
79,herb,$,,,alac11
80,grass,$,,,alac11
81,flower,yītā,1051,,alac11
82,"maguey, century plant",$,,,alac11
83,root,$,,,alac11
84,thorn,$,,,alac11
85,corn,noni,1052,,alac11
86,cornfield,yūtū,1053,,alac11
87,fresh ear of corn,$,,,alac11
88,nixtamal,$,,,alac11
89,corn dough,yūshan,1054,,alac11
90,tortilla,sita,1055,,alac11
91,"cleared field, cornstalk",$,,,alac11
92,"furrow, planting row",$,,,alac11
93,"tassel, maize spike",$,,,alac11
94,bean,ndūchu,1056,,alac11
95,green bean,$,1057,,alac11
96,chili pepper,yāha,1058,,alac11
97,salt,ñii,1059,,alac11
98,squash,yīkin,1060,,alac11
99,chayote squash,$,,,alac11
100,sugar cane,$,,,alac11
101,honey,ñoño,1061,,alac11
102,grease,sahān,1062,,alac11
103,egg,ndivi,1063,,alac11
104,tomato,nāñā,1064,don’t know what the difference is to the other one,alac11
104,tomato,ti-nānā,1065,don’t know what the difference is to the other one,alac11
105,edible tuber,$,,,alac11
106,avocado,tichí,1066,,alac11
107,banana,$,,,alac11
108,prickly pear cactus,ton-vihndá,1067,wood-?,alac11
109,mamey,$,,,alac11
110,custard apple,$,,,alac11
111,mushroom,$,,,alac11
112,meat,kuñō,1068,,alac11
113,griddle,$,,,alac11
114,pot,kisī,1069,,alac11
115,oven,$,,,alac11
116,fire,n̄ōho,1070,,alac11
117,ash,$,,,alac11
118,charcoal,$,,,alac11
119,smoke,ñihma,1071,,alac11
120,trash,mihí,1072,,alac11
121,plate,$,,,alac11
122,"gourd, gourd bowl",$,,,alac11
123,basket,$,,,alac11
124,box,káxá,1073,Sp. caja,alac11
125,thread,$,,,alac11
126,comb,$,,,alac11
127,rope,yóho,1074,,alac11
128,hole,$,,,alac11
129,net,$,,,alac11
130,soap,$,,,alac11
131,ring,$,,,alac11
132,moon,yoo,1075,,alac11
133,cloud,viko,1076,,alac11
134,lightning,$,,,alac11
135,water,tākwiī,1077,,alac11
136,"rain, rain god",savi,1078,,alac11
137,river,yutā,1079,,alac11
138,dew,$,,,alac11
139,"mountain, mountain country",yūku,1080,,alac11
139,hill,shiki,1081,,alac11
140,flat place,ndōsō,1082,,alac11
141,rock,yuu,1083,,alac11
142,cotton,kāchī,1084,,alac11
143,metal,kaā,1085,,alac11
144,paper,tūtū,1086,,alac11
145,lime (material),kākā,1087,,alac11
146,wax,ñima,1088,,alac11
147,mud,ndahyi,1089,,alac11
148,foam,$,,,alac11
149,dust,yāā,1090,only in nā-yāā REP-dust ‘become dry’,alac11
150,red,kwáhá,1091,,alac11
151,green,kwíī,1092,,alac11
152,yellow,kwáán,1093,,alac11
153,"black, dark",toōn,1094,,alac11
154,white,yāā,1095,,alac11
155,one,ñīī,1096,,alac11
156,two,ovi,1097,,alac11
157,three,uni,1098,,alac11
158,four,komi,1099,,alac11
159,five,ohon,1100,,alac11
160,six,iño,1101,,alac11
161,seven,usha,1102,,alac11
162,eight,ona,1103,,alac11
163,nine,ñii,1104,,alac11
164,ten,ushu,1105,,alac11
165,fifteen,shāhun,1106,,alac11
166,twenty,oko,1107,,alac11
167,poor,ndáhví,1108,,alac11
168,rich,kwíká,1109,,alac11
169,cold,vīshin,1110,,alac11
170,hot,$,,,alac11
171,big.SG,káhnō,1111,,alac11
172,big.PL,náhnō,1112,,alac11
173,little.SG,lōhō,1113,,alac11
174,little.PL (few),válí,1114,,alac11
174,little.PL (many),kwálí,1115,,alac11
175,long.SG,kánī,1116,,alac11
176,long.PL,nánī,1117,,alac11
177,good,vahā,1118,,alac11
178,sweet,visi,1119,,alac11
179,salty,$,1120,,alac11
180,bitter,$,,,alac11
181,"tasty, delicious",$,,,alac11
182,wide,$,,,alac11
183,new,shaá,1121,,alac11
184,lazy,$,,,alac11
185,ugly,kīnī,1122,,alac11
186,jealous,$,,,alac11
187,near,yātin,1123,,alac11
188,far,shíká,1124,,alac11
189,heavy,veē,1125,,alac11
190,raw,$,,,alac11
191,smooth,$,,,alac11
192,slow,kwēē,1126,,alac11
193,yesterday,kōnī,1127,,alac11
194,year,kwiya,1128,,alac11
195,"now, today",vītīn,1129,,alac11
196,night,$,,,alac11
197,night time,ñōó,1130,"could also be ‘night’, not sure",alac11
198,day,kivi,1131,,alac11
199,day time,ndīví,1132,,alac11
200,half,sāvā,1133,,alac11
201,money,sihún,1134,,alac11
202,work,chíñō,1135,,alac11
203,word,tohōn,1136,,alac11
204,blame,kwachī,1137,,alac11
205,dream,$,,verb is listed,alac11
206,when,āmā,1138,,alac11
207,"song, music",$,,,alac11
