Grapheme	IPA	FREQUENCY	CODEPOINTS
i	i	91	U+0069
a	a	76	U+0061
n	n	60	U+006e
u	u	59	U+0075
’	<?>	52	U+2019
k	k	45	U+006b
t	t	40	U+0074
o	o	25	U+006f
ch	ch	23	U+0063 U+0068
y	y	22	U+0079
v	v	19	U+0076
ts	ts	18	U+0074 U+0073
s	s	17	U+0073
ñ	ñ	14	U+00f1
m	m	12	U+006d
x	x	12	U+0078
à	à	11	U+00e0
í	í	11	U+00ed
e	e	8	U+0065
ù	ù	8	U+00f9
ì	ì	7	U+00ec
á	á	7	U+00e1
aa	aa	5	U+0061 U+0061
uu	uu	4	U+0075 U+0075
ú	ú	3	U+00fa
òò	òò	3	U+00f2 U+00f2
l	l	3	U+006c
ùù	ùù	2	U+00f9 U+00f9
ò	ò	2	U+00f2
ii	ii	2	U+0069 U+0069
p	p	1	U+0070
é	é	1	U+00e9
ìs	ìs	1	U+00ec U+0073
àà	àà	1	U+00e0 U+00e0
ó	ó	1	U+00f3
ìì	ìì	1	U+00ec U+00ec
ee	ee	1	U+0065 U+0065
kue kueni ~ kueni kueni	<???>	1	U+006b U+0075 U+0065 U+0020 U+006b U+0075 U+0065 U+006e U+0069 U+0020 U+007e U+0020 U+006b U+0075 U+0065 U+006e U+0069 U+0020 U+006b U+0075 U+0065 U+006e U+0069
áá	áá	1	U+00e1 U+00e1
