IDlist,CONCEPT,FORM,ID,NOTES,DOCULECT
1,mother,nāna,1362,,yoso11
2,"mother!, mom!",$,,,yoso11
3,father,tāta,1363,,yoso11
4,"father!, dad!",papá,1364,Sp. loan,yoso11
5,"son/daughter, child",sēhē,1365,,yoso11
6,son,$,,,yoso11
7,daughter,$,,,yoso11
8,cross-sex sibling,kwāhā,1366,,yoso11
9,brother of man,ñānī,1367,,yoso11
10,sister of woman,kūhu,1368,,yoso11
11,aunt,shīshī,1369,,yoso11
12,uncle,shīto,1370,,yoso11
13,man,chaa,1371,,yoso11
14,woman,ñāhā,1372,,yoso11
15,"owner, boss",shīīn,1373,,yoso11
16,priest,sūtū,1374,,yoso11
17,blood,$,,,yoso11
18,bone,yɨ̄kɨ̄,1375,,yoso11
19,hair,īshī,1376,,yoso11
20,face,nūu,1377,,yoso11
21,tongue,$,,,yoso11
22,tooth,$,,,yoso11
23,mouth,yūhū,1378,,yoso11
24,ear,soho,1379,,yoso11
25,nose,shiNni,1380,,yoso11
26,neck,$,,,yoso11
27,hand,ndāhā,1381,,yoso11
28,fingernail,$,1382,,yoso11
29,back,xāta,1383,,yoso11
30,stomach,chii,1384,,yoso11
31,"intestine, guts",$,,,yoso11
32,foot,xaha,1385,,yoso11
33,"disease, illness, sickness",kwēhē,1386,,yoso11
34,"medicine, remedy",tāNna,1387,,yoso11
35,swelling,$,,,yoso11
36,pimple,$,,,yoso11
37,pus,$,,,yoso11
38,urine,$,,,yoso11
39,cloth,sāhmā,1388,,yoso11
40,"sandal, sandals",ndíÑña,1389,,yoso11
41,pants,$,,,yoso11
42,"blouse, woven blouse",$,,,yoso11
43,town,ñūu,1390,,yoso11
44,house,vehe,1391,,yoso11
45,"path, road, trail",īchī,1392,,yoso11
46,beam,vītu,1393,,yoso11
47,"mat, sleeping mat, straw mat",$,,,yoso11
48,bed,$,,,yoso11
49,"stool, chair",$,,,yoso11
50,animal,kɨ̄tɨ̄,1394,,yoso11
51,bird,$,,,yoso11
52,fish,chaká,1395,,yoso11
53,snake,kōo,1396,,yoso11
54,frog,$,,,yoso11
55,hawk,$,,,yoso11
56,scorpion,tɨ̄suhmā,1397,,yoso11
57,cockroach,$,,,yoso11
58,grasshopper,$,,,yoso11
59,bee,$,,,yoso11
60,rat,chotō,1398,,yoso11
60,mouse,lúsū,1399,,yoso11
61,deer,īsu,1400,,yoso11
62,squirrel,$,,,yoso11
63,skunk,chɨ̄hɨ̄n,1401,listed as part of a name,yoso11
64,(o)possum,$,,,yoso11
65,raccoon,$,,,yoso11
66,rabbit,isō,1402,,yoso11
67,vulture,$,,,yoso11
68,dog,īna,1403,,yoso11
69,cat,$,,,yoso11
70,rooster,$,,,yoso11
71,chicken,chuun,1404,,yoso11
72,pig,kɨ̄nɨ̄,1405,,yoso11
73,horse,kwāyū,1406,,yoso11
74,sheep,rɨ̄ɨ,1407,,yoso11
75,ant,$,,,yoso11
76,horn (anatomy),ndɨ́kɨ́,1408,,yoso11
77,feather,$,,,yoso11
78,wing,$,,,yoso11
79,tail,suhma,1409,only listed as part of a compound,yoso11
80,"tree, stick",yūNnū,1410,,yoso11
81,herb,$,,,yoso11
82,grass,$,,,yoso11
83,flower,ītā,1411,,yoso11
84,"maguey, century plant",$,,,yoso11
85,root,$,,,yoso11
86,thorn,īñū,1412,,yoso11
87,grain of corn,nūni,1413,,yoso11
88,cornfield,ītū,1414,,yoso11
89,fresh ear of corn,ndɨ̄shɨ̄,1415,,yoso11
90,nixtamal,$,,,yoso11
91,"cornmeal, corn dough",$,,,yoso11
92,tortilla,staa,1416,,yoso11
93,"cleared field, cornstalk",$,,,yoso11
94,"furrow, planting row",$,,,yoso11
95,"tassel, maize spike",$,,,yoso11
96,"bean, eye",ndūchī,1417,,yoso11
97,green bean,$,,,yoso11
98,chili pepper,yaha,1418,,yoso11
99,salt,n̄ɨ̄ɨ,1419,,yoso11
100,squash,$,,,yoso11
101,chayote squash,$,,,yoso11
102,sugar cane,$,,,yoso11
103,honey,$,,,yoso11
104,lard,shahan,1420,lard,yoso11
105,egg,ndɨ̃vɨ,1421,,yoso11
106,tomato,tɨ́nānā,1422,,yoso11
107,edible tuber,$,,,yoso11
108,avocado,$,,,yoso11
109,banana,ndīkā,1423,,yoso11
110,prickly pear cactus,$,,,yoso11
111,mamey,$,,,yoso11
112,custard apple,$,,,yoso11
113,mushroom,$,,,yoso11
114,meat,kuñu,1424,,yoso11
115,griddle,$,,,yoso11
116,"pot, cooking pot",kɨsɨ,1425,,yoso11
117,oven,$,,,yoso11
118,fire,ñuhu,1426,,yoso11
119,ash,$,,,yoso11
120,charcoal,$,,,yoso11
121,smoke,$,,,yoso11
122,"garbage, trash",$,,,yoso11
123,plate,$,,,yoso11
124,gourd,yāxīn,1427,,yoso11
125,palm basket,ndōho,1428,,yoso11
126,"box, chest, trunk",$,,,yoso11
127,thread,$,,,yoso11
128,comb,$,,,yoso11
129,rope,yōhō,1429,,yoso11
130,hole,yāu,1430,,yoso11
131,net bag,ñunu,1431,,yoso11
132,soap,námá,1432,given as part of a place name,yoso11
133,ring,$,,,yoso11
134,moon,yōō,1433,,yoso11
135,cloud,vīko,1434,,yoso11
136,lightning,taxa,1435,,yoso11
137,water,ndūchā,1436,,yoso11
138,rain (precipitation),sāu,1437,,yoso11
139,river,yucha,1438,,yoso11
140,dew,$,,,yoso11
141,"mountain, hill",yūkū,1439,mountain,yoso11
142,"plain, flatland, lowland",$,,,yoso11
143,"stone, rock",yūu,1440,,yoso11
144,cotton,$,,,yoso11
145,metal,kaa,1441,,yoso11
146,paper,tūtū,1442,,yoso11
147,lime (material),$,,,yoso11
148,"beeswax, wax",n̄uma,1443,,yoso11
149,mud,ndēhyu,1444,,yoso11
150,foam,$,,,yoso11
151,dust,$,,,yoso11
152,red,kwáhá,1445,,yoso11
153,green,$,,,yoso11
154,yellow,kwáán,1446,,yoso11
