IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
1	madre	nana					abas11	galindo-sanchez2009vocabulario																																																								
2	mamá!	ma		not sure, but example suggests so	yes	Spanish	abas11	galindo-sanchez2009vocabulario																																																								
3	padre	tata					abas11	galindo-sanchez2009vocabulario																																																								
4	papá!	paa			yes	Spanish	abas11	galindo-sanchez2009vocabulario																																																								
5	hijo/hija	$		there does not seem to be a gender-neutral term			abas11	galindo-sanchez2009vocabulario																																																								
6	hijo	se'e					abas11	galindo-sanchez2009vocabulario																																																								
7	hija	sesi'i	se-si'i	child-female			abas11	galindo-sanchez2009vocabulario																																																								
8	hermana/hermano de otro genero	kua'à					abas11	galindo-sanchez2009vocabulario																																																								
9	hermano de hombre	ñani					abas11	galindo-sanchez2009vocabulario																																																								
10	hermana de mujer	ku'u					abas11	galindo-sanchez2009vocabulario																																																								
11	tía	xixi					abas11	galindo-sanchez2009vocabulario																																																								
12	tío	xito					abas11	galindo-sanchez2009vocabulario																																																								
13	hombre	chàa					abas11	galindo-sanchez2009vocabulario																																																								
14	mujer	ñà'an					abas11	galindo-sanchez2009vocabulario																																																								
15	dueño	sto'o					abas11	galindo-sanchez2009vocabulario																																																								
16	sacerdote	sutu					abas11	galindo-sanchez2009vocabulario																																																								
17	sangre	niì					abas11	galindo-sanchez2009vocabulario																																																								
18	hueso	$					abas11	galindo-sanchez2009vocabulario																																																								
19	pelo	ixi					abas11	galindo-sanchez2009vocabulario																																																								
20	cara	nùù					abas11	galindo-sanchez2009vocabulario																																																								
21	lengua	yaá					abas11	galindo-sanchez2009vocabulario																																																								
22	diente	nu'u					abas11	galindo-sanchez2009vocabulario																																																								
23	boca	yu'u					abas11	galindo-sanchez2009vocabulario																																																								
24	oreja	so'o					abas11	galindo-sanchez2009vocabulario																																																								
25	nariz	xichi					abas11	galindo-sanchez2009vocabulario																																																								
26	cuello	sukú					abas11	galindo-sanchez2009vocabulario																																																								
27	mano	nta'á					abas11	galindo-sanchez2009vocabulario																																																								
28	uña	$					abas11	galindo-sanchez2009vocabulario																																																								
29	espalda	sata					abas11	galindo-sanchez2009vocabulario																																																								
30	panza	$					abas11	galindo-sanchez2009vocabulario																																																								
31	tripa, tripas	$					abas11	galindo-sanchez2009vocabulario																																																								
32	pie	tsa'a					abas11	galindo-sanchez2009vocabulario																																																								
33	enfermedad	kue'é					abas11	galindo-sanchez2009vocabulario																																																								
34	medicina	$					abas11	galindo-sanchez2009vocabulario																																																								
35	hinchazón	$		verb is listed			abas11	galindo-sanchez2009vocabulario																																																								
36	grano	nti'í					abas11	galindo-sanchez2009vocabulario																																																								
37	pus, materia	$					abas11	galindo-sanchez2009vocabulario																																																								
38	orina	$					abas11	galindo-sanchez2009vocabulario																																																								
39	tela, ropa	sa'ma					abas11	galindo-sanchez2009vocabulario																																																								
40	huarache	ntsítsa					abas11	galindo-sanchez2009vocabulario																																																								
41	pantalón	tsatu					abas11	galindo-sanchez2009vocabulario																																																								
42	huipil	$					abas11	galindo-sanchez2009vocabulario																																																								
43	pueblo	ñuu					abas11	galindo-sanchez2009vocabulario																																																								
44	casa	ve'e					abas11	galindo-sanchez2009vocabulario																																																								
45	camino	ichi					abas11	galindo-sanchez2009vocabulario																																																								
46	horcón	si'ìn					abas11	galindo-sanchez2009vocabulario																																																								
47	petate	yuvi					abas11	galindo-sanchez2009vocabulario																																																								
48	cama, lecho	tsíto					abas11	galindo-sanchez2009vocabulario																																																								
49	silla	chai					abas11	galindo-sanchez2009vocabulario																																																								
50	animal	kiti					abas11	galindo-sanchez2009vocabulario																																																								
51	pájaro	saa					abas11	galindo-sanchez2009vocabulario																																																								
52	pez, pescado	chaká					abas11	galindo-sanchez2009vocabulario																																																								
53	víbora	kòò					abas11	galindo-sanchez2009vocabulario																																																								
54	rana	sa'va					abas11	galindo-sanchez2009vocabulario																																																								
55	gavilán	xi'an					abas11	galindo-sanchez2009vocabulario																																																								
56	alacrán	$					abas11	galindo-sanchez2009vocabulario																																																								
57	cucaracha	$					abas11	galindo-sanchez2009vocabulario																																																								
58	chapulín	$					abas11	galindo-sanchez2009vocabulario																																																								
59	abeja	ñuñu					abas11	galindo-sanchez2009vocabulario																																																								
60	ratón, rata	ti'in					abas11	galindo-sanchez2009vocabulario																																																								
61	venado	isu					abas11	galindo-sanchez2009vocabulario																																																								
62	ardilla	ntikuain	nti-kuain	animal?-?			abas11	galindo-sanchez2009vocabulario																																																								
63	zorrillo	$					abas11	galindo-sanchez2009vocabulario																																																								
64	tlacuache	tsoko					abas11	galindo-sanchez2009vocabulario																																																								
65	mapache	ma'àn					abas11	galindo-sanchez2009vocabulario																																																								
66	conejo	$					abas11	galindo-sanchez2009vocabulario																																																								
67	zopilote	$					abas11	galindo-sanchez2009vocabulario																																																								
68	perro	tina					abas11	galindo-sanchez2009vocabulario																																																								
69	gato	vilu					abas11	galindo-sanchez2009vocabulario																																																								
70	gallo	to'lo					abas11	galindo-sanchez2009vocabulario																																																								
71	gallina	chata					abas11	galindo-sanchez2009vocabulario																																																								
72	marrano, puerco, cerdo	kìni					abas11	galindo-sanchez2009vocabulario																																																								
73	caballo	kiti					abas11	galindo-sanchez2009vocabulario																																																								
74	borrego, oveja	ntikachi	nti-kachi	animal?-cotton			abas11	galindo-sanchez2009vocabulario																																																								
75	hormiga	choko					abas11	galindo-sanchez2009vocabulario																																																								
76	cuerno	ntiki					abas11	galindo-sanchez2009vocabulario																																																								
77	pluma	túmi					abas11	galindo-sanchez2009vocabulario																																																								
78	ala	$					abas11	galindo-sanchez2009vocabulario																																																								
79	cola	nto'o					abas11	galindo-sanchez2009vocabulario																																																								
80	árbol	yutu					abas11	galindo-sanchez2009vocabulario																																																								
81	hierba	kù'ù					abas11	galindo-sanchez2009vocabulario																																																								
82	zacate, pasto	icha					abas11	galindo-sanchez2009vocabulario																																																								
83	flor	ita					abas11	galindo-sanchez2009vocabulario																																																								
84	maguey	yàvì					abas11	galindo-sanchez2009vocabulario																																																								
85	raíz	yo'o					abas11	galindo-sanchez2009vocabulario																																																								
86	espina	iñu					abas11	galindo-sanchez2009vocabulario																																																								
87	maíz	nuni					abas11	galindo-sanchez2009vocabulario																																																								
88	milpa	itu					abas11	galindo-sanchez2009vocabulario																																																								
89	elote	ntíxi					abas11	galindo-sanchez2009vocabulario																																																								
90	nixtamal	tsá'á					abas11	galindo-sanchez2009vocabulario																																																								
91	masa	yutsa					abas11	galindo-sanchez2009vocabulario																																																								
92	tortilla	staa					abas11	galindo-sanchez2009vocabulario																																																								
93	rastrojo	$					abas11	galindo-sanchez2009vocabulario																																																								
94	surco	yuku					abas11	galindo-sanchez2009vocabulario																																																								
95	espiga	yòko					abas11	galindo-sanchez2009vocabulario																																																								
96	frijol(es)	ntuchi					abas11	galindo-sanchez2009vocabulario																																																								
97	ejote	nchichi					abas11	galindo-sanchez2009vocabulario																																																								
98	chile	ya'a					abas11	galindo-sanchez2009vocabulario																																																								
99	sal	iìn					abas11	galindo-sanchez2009vocabulario																																																								
100	calabaza	iki					abas11	galindo-sanchez2009vocabulario																																																								
101	chayote	naña					abas11	galindo-sanchez2009vocabulario																																																								
102	caña	ntòò					abas11	galindo-sanchez2009vocabulario																																																								
103	miel	ntuxi					abas11	galindo-sanchez2009vocabulario																																																								
104	manteca	xa'an					abas11	galindo-sanchez2009vocabulario																																																								
105	huevo	ntívi					abas11	galindo-sanchez2009vocabulario																																																								
106	tomate	$					abas11	galindo-sanchez2009vocabulario																																																								
107	camote	ña'mi		listed as ña'mi vixi ‘camote dulce'			abas11	galindo-sanchez2009vocabulario																																																								
108	aguacate	tichi					abas11	galindo-sanchez2009vocabulario																																																								
109	plátano	nchikà					abas11	galindo-sanchez2009vocabulario																																																								
110	nopal	mi'ncha					abas11	galindo-sanchez2009vocabulario																																																								
111	mamey, zapote	$					abas11	galindo-sanchez2009vocabulario																																																								
112	chirimoya	$					abas11	galindo-sanchez2009vocabulario																																																								
113	hongo	tsi'i					abas11	galindo-sanchez2009vocabulario																																																								
114	carne	kuñu					abas11	galindo-sanchez2009vocabulario																																																								
115	comal	tsio					abas11	galindo-sanchez2009vocabulario																																																								
116	olla	kìsi					abas11	galindo-sanchez2009vocabulario																																																								
117	horno	tsìtù					abas11	galindo-sanchez2009vocabulario																																																								
118	lumbre, fuego	ñu'un					abas11	galindo-sanchez2009vocabulario																																																								
119	ceniza	yàà					abas11	galindo-sanchez2009vocabulario																																																								
120	carbón	$					abas11	galindo-sanchez2009vocabulario																																																								
121	humo	ñu'ma					abas11	galindo-sanchez2009vocabulario																																																								
122	basura	mi'í					abas11	galindo-sanchez2009vocabulario																																																								
123	plato	ko'o					abas11	galindo-sanchez2009vocabulario																																																								
