IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	si'í					alac11	zylstra2012gramatica
2	mamá!	nana					alac11	zylstra2012gramatica
3	padre	yivá					alac11	zylstra2012gramatica
4	papá!	tata					alac11	zylstra2012gramatica
5	hijo/hija	sa̠'ya					alac11	zylstra2012gramatica
6	hijo	$					alac11	zylstra2012gramatica
7	hija	$					alac11	zylstra2012gramatica
8	hermana/hermano de otro genero	ki̠'va̠					alac11	zylstra2012gramatica
9	hermano de hombre	ñani					alac11	zylstra2012gramatica
10	hermana de mujer	ki̠'vi̠					alac11	zylstra2012gramatica
11	tía	sisi					alac11	zylstra2012gramatica
12	tío	sito					alac11	zylstra2012gramatica
13	hombre	ta̠a					alac11	zylstra2012gramatica
14	mujer	ña'a̠n					alac11	zylstra2012gramatica
15	dueño	$					alac11	zylstra2012gramatica
16	sacerdote	su̠tu̠					alac11	zylstra2012gramatica
17	sangre	$					alac11	zylstra2012gramatica
18	hueso	leke					alac11	zylstra2012gramatica
19	pelo	yisi̠					alac11	zylstra2012gramatica
20	cara	no̠o̠					alac11	zylstra2012gramatica
21	lengua	$					alac11	zylstra2012gramatica
22	diente	no'o̠n					alac11	zylstra2012gramatica
23	boca	yu'u̠					alac11	zylstra2012gramatica
24	oreja	so̠'o					alac11	zylstra2012gramatica
25	nariz	$					alac11	zylstra2012gramatica
26	cuello	$					alac11	zylstra2012gramatica
27	mano	nda'a̠					alac11	zylstra2012gramatica
28	uña	chíi̠n					alac11	zylstra2012gramatica
29	espalda	sa̠ta̠					alac11	zylstra2012gramatica
30	panza, barriga	ti̠xin					alac11	zylstra2012gramatica
31	tripa, tripas	$					alac11	zylstra2012gramatica
32	pie	xa̠'a̠					alac11	zylstra2012gramatica
33	enfermedad	kue̠'e̠					alac11	zylstra2012gramatica
34	medicina	ta̠ta̠n					alac11	zylstra2012gramatica
35	hinchazón	$					alac11	zylstra2012gramatica
36	grano	$					alac11	zylstra2012gramatica
37	pus, materia	$					alac11	zylstra2012gramatica
38	orina	$					alac11	zylstra2012gramatica
39	ropa	tiko̠to̠					alac11	zylstra2012gramatica
40	huarache	ndu̠xa̠n					alac11	zylstra2012gramatica
41	pantalón	xati					alac11	zylstra2012gramatica
42	huipil	$					alac11	zylstra2012gramatica
43	pueblo	ñoo					alac11	zylstra2012gramatica
44	casa	ve'e					alac11	zylstra2012gramatica
45	camino	yichi̠					alac11	zylstra2012gramatica
46	horcón	$					alac11	zylstra2012gramatica
47	petate	$					alac11	zylstra2012gramatica
48	cama	xi̠to					alac11	zylstra2012gramatica
49	silla	táyi̠					alac11	zylstra2012gramatica
50	animal	kiti̠					alac11	zylstra2012gramatica
51	pájaro	saa					alac11	zylstra2012gramatica
52	pescado	tia̠ká					alac11	anderson2006vocabulario
53	culebra, serpiente	ko̠o̠					alac11	zylstra2012gramatica
54	rana	sa'va̠					alac11	zylstra2012gramatica
55	gavilán pollero	sí'ñá					alac11	anderson2006vocabulario
56	alacrán	tísi̠'ma	tí-si̠'ma	animal-tail			alac11	zylstra2012gramatica
57	cucaracha	ti̠un					alac11	anderson2006vocabulario
58	chapulín	ti̠ka					alac11	anderson2006vocabulario
59	abeja	tí-ñóño̠	tí-ñóño̠	animal-honey			alac11	zylstra2012gramatica
60	ratón, rata	ti̠ín					alac11	zylstra2012gramatica
61	venado	yusu					alac11	zylstra2012gramatica
62	ardilla	ndikuáño	ndi-kuáño	animal?-?			alac11	anderson2006vocabulario
63	zorrillo	ti̠'ín					alac11	zylstra2012gramatica
64	tlacuache	xáko					alac11	zylstra2012gramatica
65	mapache	yii mató'on	yii-mató'on	tejón-?			alac11	anderson2006vocabulario
66	conejo	tí-leson	tí-leson	animal-rabbit			alac11	zylstra2012gramatica
66	conejo	leson					alac11	anderson2006vocabulario
67	zopilote	tio̠ko chée	tio̠ko-chée	?-big			alac11	zylstra2012gramatica
68	perro	ina					alac11	zylstra2012gramatica
69	gato	míxtón			yes	Colonial Spanish?	alac11	zylstra2012gramatica
70	gallo	nduxú chée	nduxú-chée	chicken-big			alac11	zylstra2012gramatica
71	gallina	nduxú					alac11	zylstra2012gramatica
72	marrano	kini̠					alac11	zylstra2012gramatica
73	caballo	kuáyí			yes	Colonial Spanish	alac11	zylstra2012gramatica
74	borrego	ndikachi	ndi-kachi	animal?-cotton			alac11	zylstra2012gramatica
75	hormiga	tio̠ko					alac11	anderson2006vocabulario
76	cuerno	$					alac11	zylstra2012gramatica
77	pluma	$					alac11	zylstra2012gramatica
78	ala	ndixi̠n		only in one example			alac11	anderson2006vocabulario
79	cola	si̠'ma̠					alac11	zylstra2012gramatica
80	árbol, palo	yito̠n					alac11	zylstra2012gramatica
81	hierba	ku'u̠					alac11	zylstra2012gramatica
82	zacate de milpa	ndáyo'o	ndá-yo'o	hand-?			alac11	anderson2006vocabulario
82	zacate	yita					alac11	anderson2006vocabulario
83	flor	yita					alac11	zylstra2012gramatica
84	maguey	yavi̠					alac11	anderson2006vocabulario
85	raíz	tio̠'o					alac11	anderson2006vocabulario
86	espina	$					alac11	zylstra2012gramatica
87	maíz	no̠ni̠					alac11	zylstra2012gramatica
88	milpa	yutu					alac11	zylstra2012gramatica
89	elote	ndisi̠					alac11	anderson2006vocabulario
90	nixtamal	xá'á					alac11	zylstra2012gramatica
91	masa	yuxa̠n					alac11	zylstra2012gramatica
92	tortilla	si̠ta̠					alac11	zylstra2012gramatica
93	rastrojo	$					alac11	zylstra2012gramatica
94	surco, zanja	chi̠chi					alac11	anderson2006vocabulario
95	espiga	yoko̠					alac11	anderson2006vocabulario
96	frijol(es)	nduchu̠					alac11	zylstra2012gramatica
97	ejote	ndi̠chi					alac11	anderson2006vocabulario
