IDlist	GLOSS	SearchComment	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	not the vocative form	náná [C]	5082				atat11	alexander1980gramatica
2	mamá!	the vocative form	nánā [C]	5083				atat11	alexander1980gramatica
3	padre	not the vocative form	tátá [C]	5084				atat11	alexander1980gramatica
4	papá!	the vocative form	$					atat11	alexander1980gramatica
5	hijo/hija	gender-neutral term for descendant	sēhe [A]	5085				atat11	alexander1980gramatica
6	hijo		$					atat11	alexander1980gramatica
7	hija	only means daughter	$					atat11	alexander1980gramatica
8	hermana/hermano de otro genero	also look for ‘his sister'/ ‘her brother' in English	cuāha [A]	5086				atat11	alexander1980gramatica
9	hermano de hombre		ñani [C]	5087				atat11	alexander1980gramatica
10	hermana de mujer		$					atat11	alexander1980gramatica
11	tía		$					atat11	alexander1980gramatica
12	tío		$					atat11	alexander1980gramatica
13	hombre		tēe [A]	5088				atat11	alexander1980gramatica
14	mujer		ñahan [A]	5089				atat11	alexander1980gramatica
15	dueño		$					atat11	alexander1980gramatica
16	sacerdote		sutū [C]	5090				atat11	alexander1980gramatica
17	sangre		$					atat11	alexander1980gramatica
18	hueso		yɨquɨ [A]	5091				atat11	alexander1980gramatica
19	pelo		$					atat11	alexander1980gramatica
20	cara		nuū [C]	5092				atat11	alexander1980gramatica
21	lengua		$					atat11	alexander1980gramatica
22	diente		$					atat11	alexander1980gramatica
23	boca		yuhu [A]	5093				atat11	alexander1980gramatica
24	oreja		$					atat11	alexander1980gramatica
25	nariz		xijnī [C]	5094				atat11	alexander1980gramatica
26	cuello		$					atat11	alexander1980gramatica
27	mano		ndaha [A]	5095				atat11	alexander1980gramatica
28	uña		$					atat11	alexander1980gramatica
29	espalda		yatā [C]	5096				atat11	alexander1980gramatica
30	estómago		chīji [A]	5097				atat11	alexander1980gramatica
31	tripa, tripas		$					atat11	alexander1980gramatica
32	pie		jehē [C]	5098				atat11	alexander1980gramatica
33	enfermedad		cuehyɨ [A]	5099				atat11	alexander1980gramatica
34	medicina		tajnā [C]	5100				atat11	alexander1980gramatica
35	hinchazón		$					atat11	alexander1980gramatica
36	grano		$					atat11	alexander1980gramatica
37	pus, materia		$					atat11	alexander1980gramatica
38	orina		$					atat11	alexander1980gramatica
39	tela, ropa		sahma [A]	5101				atat11	alexander1980gramatica
40	huarache		$					atat11	alexander1980gramatica
41	pantalón		$					atat11	alexander1980gramatica
42	huipil		$					atat11	alexander1980gramatica
43	pueblo		ñuu [C]	5102				atat11	alexander1980gramatica
44	casa		vehe [A]	5103				atat11	alexander1980gramatica
45	camino		ichi [A]	5104				atat11	alexander1980gramatica
46	horcón		$					atat11	alexander1980gramatica
47	petate		$					atat11	alexander1980gramatica
48	cama, lecho		$					atat11	alexander1980gramatica
49	banquito, banco, silla		$					atat11	alexander1980gramatica
50	animal		quɨtɨ [A]	5105				atat11	alexander1980gramatica
51	pájaro		saa [C]	5106				atat11	alexander1980gramatica
52	pez		chācá [B]	5107	tones are 4-1			atat11	alexander1980gramatica
53	culebra		coō [C]	5108				atat11	alexander1980gramatica
54	rana		$					atat11	alexander1980gramatica
55	gavilán		$					atat11	alexander1980gramatica
56	alacrán		tɨsuhma [C]	5109				atat11	alexander1980gramatica
57	cucaracha		$					atat11	alexander1980gramatica
58	chapulín		tɨ́ca [C]	5110	tones are 1-32			atat11	alexander1980gramatica
59	abeja		$					atat11	alexander1980gramatica
60	ratón		jnɨ́nɨ́ [C]	5111				atat11	alexander1980gramatica
61	venado		isu [C]	5112				atat11	alexander1980gramatica
62	ardilla		$					atat11	alexander1980gramatica
63	zorrillo		$					atat11	alexander1980gramatica
64	tlacuache		chéngo [A]	5113	tones are 1-32			atat11	alexander1980gramatica
65	mapache		$					atat11	alexander1980gramatica
66	conejo		iso [C]	5114				atat11	alexander1980gramatica
67	zopilote		$					atat11	alexander1980gramatica
68	perro		ina [C]	5115				atat11	alexander1980gramatica
69	gato		vílu [A]	5116				atat11	alexander1980gramatica
70	gallo		líhli [C]	5117				atat11	alexander1980gramatica
71	gallina		ndují [B]	5118	tones are 1-32			atat11	alexander1980gramatica
72	marrano		quɨnɨ̄ [C]	5119				atat11	alexander1980gramatica
73	caballo		$					atat11	alexander1980gramatica
74	borrego		lanchi [A]	5120				atat11	alexander1980gramatica
75	hormiga		$					atat11	alexander1980gramatica
76	cuerno		ndɨquɨ [A]	5121				atat11	alexander1980gramatica
77	pluma		$					atat11	alexander1980gramatica
78	ala		ndijēn [C]	5122				atat11	alexander1980gramatica
79	cola		$					atat11	alexander1980gramatica
80	árbol, palo		yujnu [A]	5123				atat11	alexander1980gramatica
81	hierba		$					atat11	alexander1980gramatica
82	zacate		ndayóhō [C]	5124	hand-?			atat11	alexander1980gramatica
83	flor		ita [C]	5125				atat11	alexander1980gramatica
84	maguey		$					atat11	alexander1980gramatica
85	raíz		$					atat11	alexander1980gramatica
86	espina		$					atat11	alexander1980gramatica
87	maíz		nunī [C]	5126				atat11	alexander1980gramatica
88	milpa		itu [C]	5127				atat11	alexander1980gramatica
89	elote		$					atat11	alexander1980gramatica
90	nixtamal		$					atat11	alexander1980gramatica
91	masa		$					atat11	alexander1980gramatica
92	tortilla		staā [C]	5128				atat11	alexander1980gramatica
93	rastrojo		$					atat11	alexander1980gramatica
94	surco		$					atat11	alexander1980gramatica
95	espiga		$					atat11	alexander1980gramatica
96	frijol(es)		$					atat11	alexander1980gramatica
97	ejote		$					atat11	alexander1980gramatica
98	chile		$					atat11	alexander1980gramatica
99	sal		ñɨɨ̄ [C]	5129				atat11	alexander1980gramatica
100	calabaza		yɨquɨn [A]	5130				atat11	alexander1980gramatica
101	chayote		naña [A]	5131				atat11	alexander1980gramatica
102	caña		ndoō [C]	5132				atat11	alexander1980gramatica
103	miel		$					atat11	alexander1980gramatica
104	manteca		xēhen [C]	5133				atat11	alexander1980gramatica
105	huevo		ndɨ̄vɨ [C]	5134				atat11	alexander1980gramatica
106	jitomate		tɨnana [C]	5135	round?-?			atat11	alexander1980gramatica
107	camote	look for (sweet) potato, tuber in English	$					atat11	alexander1980gramatica
108	aguacate		tīchí [B]	5136				atat11	alexander1980gramatica
109	plátano		ndica [A]	5137				atat11	alexander1980gramatica
