IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	sihīn					ayut11	hills1990syntactic
2	mother!, mom!	nanāa		sentence final form, no other one given			ayut11	hills1990syntactic
3	father	yuvāh					ayut11	hills1990syntactic
4	father!, dad!	tātā					ayut11	hills1990syntactic
5	son/daughter, child	sīhe					ayut11	hills1990syntactic
6	son	$					ayut11	hills1990syntactic
7	daughter	$					ayut11	hills1990syntactic
8	cross-sex sibling	kuhva					ayut11	hills1990syntactic
9	brother of man	n̄ani					ayut11	hills1990syntactic
10	sister of woman	$					ayut11	hills1990syntactic
11	aunt	shishi					ayut11	hills1990syntactic
12	uncle	shito					ayut11	hills1990syntactic
13	man	tyāa					ayut11	hills1990syntactic
14	woman	ñahāh					ayut11	hills1990syntactic
15	owner, boss	$					ayut11	hills1990syntactic
16	priest	sūtu					ayut11	hills1990syntactic
17	blood	$					ayut11	hills1990syntactic
18	bone	ikīh					ayut11	hills1990syntactic
19	hair	ishīh					ayut11	hills1990syntactic
20	face	nūuh					ayut11	hills1990syntactic
21	tongue	$					ayut11	hills1990syntactic
22	tooth	nuhu					ayut11	hills1990syntactic
23	mouth	yuhūh					ayut11	hills1990syntactic
24	ear	soho					ayut11	hills1990syntactic
25	nose	$					ayut11	hills1990syntactic
26	neck	sīkih					ayut11	hills1990syntactic
27	hand	ndahāh					ayut11	hills1990syntactic
28	fingernail	$					ayut11	hills1990syntactic
29	back	shātah					ayut11	hills1990syntactic
30	stomach	tishin					ayut11	hills1990syntactic
31	intestine	shiti					ayut11	hills1990syntactic
32	foot	shāhan					ayut11	hills1990syntactic
33	disease, illness, sickness	kwīhe					ayut11	hills1990syntactic
34	medicine, remedy	tātanh					ayut11	hills1990syntactic
35	swelling	$					ayut11	hills1990syntactic
36	pimple	$					ayut11	hills1990syntactic
37	pus	$					ayut11	hills1990syntactic
38	urine	$					ayut11	hills1990syntactic
39	tortilla cloth	sahmāh					ayut11	hills1990syntactic
39	cloth	tōto					ayut11	hills1990syntactic
40	sandal, sandals	$					ayut11	hills1990syntactic
41	pants	$					ayut11	hills1990syntactic
42	blouse, woven blouse	$					ayut11	hills1990syntactic
43	village, town	ñuu					ayut11	hills1990syntactic
44	house	vihe					ayut11	hills1990syntactic
45	path	ichīh					ayut11	hills1990syntactic
46	post	nduyu					ayut11	hills1990syntactic
47	palm mat	yivih					ayut11	hills1990syntactic
48	bed	$					ayut11	hills1990syntactic
49	chair	tēi					ayut11	hills1990syntactic
50	animal	kitīh					ayut11	hills1990syntactic
51	bird	saa					ayut11	hills1990syntactic
52	fish	t-yakāh	t-yakāh	animal-fish			ayut11	hills1990syntactic
53	snake	kōoh					ayut11	hills1990syntactic
54	frog	$					ayut11	hills1990syntactic
55	hawk	$					ayut11	hills1990syntactic
56	scorpion	ti-sūhma	ti-sūhma	animal-tail			ayut11	hills1990syntactic
57	cockroach	$					ayut11	hills1990syntactic
58	grasshopper	$					ayut11	hills1990syntactic
59	bee	$					ayut11	hills1990syntactic
60	mouse, rat	$					ayut11	hills1990syntactic
61	deer	isu					ayut11	hills1990syntactic
62	squirrel	$					ayut11	hills1990syntactic
63	skunk	$					ayut11	hills1990syntactic
64	(o)possum	$					ayut11	hills1990syntactic
65	raccoon	ti-māhá	ti-māhá	animal-raccoon?			ayut11	hills1990syntactic
66	rabbit	iso					ayut11	hills1990syntactic
67	vulture	$					ayut11	hills1990syntactic
68	dog	nāyah					ayut11	hills1990syntactic
69	cat	mīshtūn			yes	Colonial Spanish	ayut11	hills1990syntactic
70	rooster	$					ayut11	hills1990syntactic
71	hen	ndushīh					ayut11	hills1990syntactic
72	pig	kīni					ayut11	hills1990syntactic
73	horse	kwēī		from Sp. caballo	yes 	Spanish	ayut11	hills1990syntactic
74	sheep	$					ayut11	hills1990syntactic
75	black ant	si-ndōkoh	si-ndōkoh	?-?			ayut11	hills1990syntactic
76	horn (anatomy)	ndikīh					ayut11	hills1990syntactic
77	feather	$					ayut11	hills1990syntactic
78	wing	$					ayut11	hills1990syntactic
79	tail	sūhmah					ayut11	hills1990syntactic
80	tree	itūnh					ayut11	hills1990syntactic
81	herb	$					ayut11	hills1990syntactic
82	grass	itya					ayut11	hills1990syntactic
83	flower	$					ayut11	hills1990syntactic
84	maguey, century plant	$					ayut11	hills1990syntactic
85	root	tyoho					ayut11	hills1990syntactic
86	thorn	in̄uh					ayut11	hills1990syntactic
87	corn kernel	nūnih					ayut11	hills1990syntactic
88	cornfield, corn plant	itu		corn plant, but in ex. translated as cornfield			ayut11	hills1990syntactic
89	fresh ear of corn	niih					ayut11	hills1990syntactic
90	nixtamal	$					ayut11	hills1990syntactic
91	corn dough, tortilla dough	ishānh					ayut11	hills1990syntactic
92	tortilla	shītah					ayut11	hills1990syntactic
93	cleared field, cornstalk	$					ayut11	hills1990syntactic
94	furrow, planting row	yūkun		only as part of ndu-yūkun ‘will become a row'			ayut11	hills1990syntactic
95	tassel, maize spike	$					ayut11	hills1990syntactic
96	bean	nduchīh					ayut11	hills1990syntactic
97	green bean	$					ayut11	hills1990syntactic
98	chili pepper	yahāh					ayut11	hills1990syntactic
99	salt	īīnh					ayut11	hills1990syntactic
100	squash	$					ayut11	hills1990syntactic
101	chayote squash	$					ayut11	hills1990syntactic
