IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	zɨhɨ					chay11	pensinger1974diccionario
2	mamá!	$					chay11	pensinger1974diccionario
3	padre	zutu					chay11	pensinger1974diccionario
4	papá!	$					chay11	pensinger1974diccionario
5	hijo/hija	zehe					chay11	pensinger1974diccionario
6	hijo	$					chay11	pensinger1974diccionario
7	hija	$					chay11	pensinger1974diccionario
8	hermana/hermano de otro genero	cùhvā					chay11	pensinger1974diccionario
9	hermano de hombre	yañi					chay11	pensinger1974diccionario
10	hermana de mujer	cùhù					chay11	pensinger1974diccionario
11	tía	tyixi					chay11	pensinger1974diccionario
12	tío	xito					chay11	pensinger1974diccionario
13	hombre	rayɨɨ	ra-yɨɨ	male-?			chay11	pensinger1974diccionario
14	mujer	ñaha					chay11	pensinger1974diccionario
15	dueño, patrón	sitoho	si-toho	?			chay11	pensinger1974diccionario
16	sacerdote	zutu					chay11	pensinger1974diccionario
17	sangre	nɨ̀ñɨ̀					chay11	pensinger1974diccionario
18	hueso	yɨquɨ					chay11	pensinger1974diccionario
19	pelo, lana	ixi					chay11	pensinger1974diccionario
20	cara	nuu yo	nuu				chay11	pensinger1974diccionario
21	lengua	yaa yo	yaa				chay11	pensinger1974diccionario
22	diente	noho yo	noho				chay11	pensinger1974diccionario
23	boca	yuhu yo	yuhu				chay11	pensinger1974diccionario
24	oreja	zoho yo	zoho				chay11	pensinger1974diccionario
25	nariz	xityi yo	xityi				chay11	pensinger1974diccionario
26	cuello, nuca, pescuezo	zucu yo	zucu				chay11	pensinger1974diccionario
27	mano	ndaha yo	ndaha				chay11	pensinger1974diccionario
28	uña	tyiin yo	tyiin				chay11	pensinger1974diccionario
29	espalda	sata yo	sata				chay11	pensinger1974diccionario
30	estómago, cintura	sisi yo	sisi				chay11	pensinger1974diccionario
31	tripa, tripas	$					chay11	pensinger1974diccionario
32	pie	saha yo	saha				chay11	pensinger1974diccionario
33	enfermedad	cuehe					chay11	pensinger1974diccionario
