IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	nni'²					chic12	good1978diccionario
2	mamá!	$					chic12	good1978diccionario
3	padre	dre'²					chic12	good1978diccionario
4	papá!	$					chic12	good1978diccionario
5	hijo/hija	da'ni⁴⁵					chic12	good1978diccionario
6	hijo	da'ni⁴⁵ sna'u'⁴	da'ni⁴⁵-sna'u'⁴	child-male			chic12	good1978diccionario
7	hija	da'ni⁴⁵ xano'⁵	da'ni⁴⁵-xano'⁵	child-female			chic12	good1978diccionario
8	hermana/hermano de otro genero	xugüe'³					chic12	good1978diccionario
9	hermano de hombre	dinï'²					chic12	good1978diccionario
10	hermana de mujer	xugüi'³					chic12	good1978diccionario
11	tía	du'ui'²					chic12	good1978diccionario
12	tío	da'nï'²					chic12	good1978diccionario
13	hombre	si¹					chic12	good1978diccionario
14	mujer	si³ xana⁵	si³-xana⁵	?-woman			chic12	good1978diccionario
15	dueño	si¹ si-'yaj³	si¹-si-'yaj³	man-?-?			chic12	good1978diccionario
16	sacerdote	xi'² drej³	xi'²-drej³				chic12	good1978diccionario
17	sangre	tun³					chic12	good1978diccionario
18	hueso	cu¹					chic12	good1978diccionario
19	pelo	huue² ahui'²	huue²-ahui'²	hair-head			chic12	good1978diccionario
20	cara	riun'³⁴					chic12	good1978diccionario
21	lengua	yyo'³⁴					chic12	good1978diccionario
22	diente	yun'²					chic12	good1978diccionario
23	boca	du'o'²					chic12	good1978diccionario
24	oreja	raquï'²					chic12	good1978diccionario
25	nariz	daquïn'²					chic12	good1978diccionario
26	cuello	xio'²					chic12	good1978diccionario
27	mano	ro'o'²					chic12	good1978diccionario
28	uña	cu¹ sitïn'²	cu¹-sitïn'²	bone-?			chic12	good1978diccionario
29	espalda	xichro'²					chic12	good1978diccionario
30	panza, estómago	si-co'⁴³	si-co'⁴³				chic12	good1978diccionario
31	tripa	xichri'³i					chic12	good1978diccionario
31	tripa, intestino	xichi'⁴'i					chic12	good1978diccionario
32	pie	daco'²					chic12	good1978diccionario
33	enfermedad	xi'i⁵					chic12	good1978diccionario
34	medicina, remedio	gono'o²					chic12	good1978diccionario
35	hinchazón	gu'man³⁴					chic12	good1978diccionario
36	grano	nuj³					chic12	good1978diccionario
37	pus, materia	cuej³					chic12	good1978diccionario
38	orina	nne³⁴ ri'i'⁴	nne³⁴-ri'i'⁴	water-pee?			chic12	good1978diccionario
39	tela, ropa, trapo	atsij⁵i					chic12	good1978diccionario
40	huarache	canj³					chic12	good1978diccionario
41	pantalón	xichroj³o					chic12	good1978diccionario
42	huipil, traje	ri'nï²					chic12	good1978diccionario
43	pueblo	xuman'⁴an					chic12	good1978diccionario
44	casa	hue'³e		is this a mixtec loan?			chic12	good1978diccionario
45	camino, costumbre	chrej³e					chic12	good1978diccionario
46	horcón	$					chic12	good1978diccionario
47	petate	huue¹					chic12	good1978diccionario
48	cama, lecho	nna³					chic12	good1978diccionario
49	banco, asiento	rega'³a					chic12	good1978diccionario
50	animal	xucu³					chic12	good1978diccionario
51	pájaro	xataj⁴a					chic12	good1978diccionario
52	pez, pescado	xucuaj³a	xu-cuaj³a	animal-fish			chic12	good1978diccionario
53	culebra, serpiente	xucua¹	xu-cua¹	animal-snake			chic12	good1978diccionario
54	rana	xiriquïj³					chic12	good1978diccionario
55	gavilán	xinun'³un			maybe	Mixtec?	chic12	good1978diccionario
56	alacrán, escorpión	xiquïn⁴³					chic12	good1978diccionario
57	cucaracha	xiraquïn³					chic12	good1978diccionario
58	chapulín	xiriqui¹					chic12	good1978diccionario
59	abeja	xutan³					chic12	good1978diccionario
60	ratón	xutu⁴ nij³	xutu⁴-nij³				chic12	good1978diccionario
60	rata	xutu⁴ güi³⁵	xutu⁴-güi³⁵				chic12	good1978diccionario
61	venado	xutaj³					chic12	good1978diccionario
62	ardilla	xuhua¹					chic12	good1978diccionario
63	zorrillo	xan'an³					chic12	good1978diccionario
64	tlacuache	jnaquïnj³ïn					chic12	good1978diccionario
65	mapache	guyuj³					chic12	good1978diccionario
66	conejo	xato³					chic12	good1978diccionario
67	zopilote	xachru¹					chic12	good1978diccionario
68	perro	xuhue³					chic12	good1978diccionario
69	gato	xilu³					chic12	good1978diccionario
70	gallo	de'loj⁵o					chic12	good1978diccionario
71	gallina	xuche⁴					chic12	good1978diccionario
72	marrano, puerco, cerdo	xaca¹					chic12	good1978diccionario
73	caballo	guayu³					chic12	good1978diccionario
74	borrego, oveja	matsïj⁴ï					chic12	good1978diccionario
75	hormiga	xucua³					chic12	good1978diccionario
76	cuerno	si-cu¹ xuj³	si-cu¹-xuj³	thing?-bone-animal			chic12	good1978diccionario
77	pluma, lana	to³⁴					chic12	good1978diccionario
78	ala	si-gachi³ xuj³	si-gachi³-xuj³	thing?-?-animal			chic12	good1978diccionario
79	cola	dune'³e xuj³	dune'³e-xuj³	?-animal			chic12	good1978diccionario
80	árbol, palo, madera	chrun³					chic12	good1978diccionario
81	hierba (no comestible)	coj³o					chic12	good1978diccionario
82	zacate	gui⁴'yo⁵					chic12	good1978diccionario
82	pasto	chrin'³in					chic12	good1978diccionario
83	flor	yaj³a					chic12	good1978diccionario
84	maguey	huue³⁴					chic12	good1978diccionario
85	raíz, cuerda	ya'a⁴					chic12	good1978diccionario
86	espina	tanj³an					chic12	good1978diccionario
87	maíz	'nï¹					chic12	good1978diccionario
88	milpa	nna³⁵					chic12	good1978diccionario
89	elote	tsi³⁴					chic12	good1978diccionario
90	nixtamal	niyaj⁴a					chic12	good1978diccionario
91	masa	quïnj³ïn					chic12	good1978diccionario
92	tortilla	chra³					chic12	good1978diccionario
93	rastrojo	gui'yo⁵³					chic12	good1978diccionario
94	surco	ducuan¹					chic12	good1978diccionario
95	espiga	ca³⁴					chic12	good1978diccionario
96	frijol(es)	rune⁴					chic12	good1978diccionario
97	ejote	natan³					chic12	good1978diccionario
98	chile	ya'³aj					chic12	good1978diccionario
99	sal	yan³⁴					chic12	good1978diccionario
100	calabaza	can³					chic12	good1978diccionario
101	chayote (planta)	nitïn⁴					chic12	good1978diccionario
102	caña	yo³⁴					chic12	good1978diccionario
103	miel	gatsi'⁴ij					chic12	good1978diccionario
104	grasa, manteca	nami³⁴					chic12	good1978diccionario
105	blanquillo, huevo	chruj³					chic12	good1978diccionario
106	tomate	rinïj⁴ï					chic12	good1978diccionario
107	camote	mmi³⁴					chic12	good1978diccionario
108	aguacate	ru²ne³					chic12	good1978diccionario
109	plátano	nato⁴					chic12	good1978diccionario
110	nopal	dinï⁴					chic12	good1978diccionario
111	mamey	nato⁴ ro'oj⁵o	nato⁴ ro'oj⁵o	banana-red	partial	Spanish	chic12	good1978diccionario
111	zapote	reco⁴					chic12	good1978diccionario
112	chirimoya, anona	reco⁴ duhua³	reco⁴ duhua³	zapote-?			chic12	good1978diccionario
113	hongo	ran'an⁴³					chic12	good1978diccionario
114	carne	nne³⁵					chic12	good1978diccionario
115	comal	xio⁴					chic12	good1978diccionario
116	olla	ruj³					chic12	good1978diccionario
117	horno	guchrun'⁴					chic12	good1978diccionario
118	lumbre, fuego	yan³'an⁴					chic12	good1978diccionario
119	ceniza	yaj³					chic12	good1978diccionario
120	carbón (de humo; tizne)	yo'o⁵³					chic12	good1978diccionario
120	carbón (de leña)	ru'ui'³i					chic12	good1978diccionario
121	humo	gatse'⁴e					chic12	good1978diccionario
122	basura	aco⁵³					chic12	good1978diccionario
123	plato	go'o³					chic12	good1978diccionario
124	jícara	achru'⁴u					chic12	good1978diccionario
125	canasta	xuguti³					chic12	good1978diccionario
125	tenate	yo²					chic12	good1978diccionario
126	caja, cajón	chrun¹					chic12	good1978diccionario
127	hilo	'uej³e					chic12	good1978diccionario
128	peine	gutsï'⁴ïj					chic12	good1978diccionario
129	mecate, cuerda	nne'³e					chic12	good1978diccionario
130	agujero, hoyo	yu'uj⁴u					chic12	good1978diccionario
131	red, ayate	nnanj³					chic12	good1978diccionario
131	red	xinaj⁴					chic12	good1978diccionario
132	jabón	mmi'³i					chic12	good1978diccionario
133	anillo	se'ej⁵e					chic12	good1978diccionario
134	luna, mes	ahui⁴					chic12	good1978diccionario
135	nube	nga³					chic12	good1978diccionario
136	rayo	du'ui³					chic12	good1978diccionario
136	relámpago	ran³⁵					chic12	good1978diccionario
137	agua	nne³⁴					chic12	good1978diccionario
138	lluvia	guman⁵³					chic12	good1978diccionario
139	río	quïn³					chic12	good1978diccionario
140	rocío	nia⁵³					chic12	good1978diccionario
141	cerro, monte	quïj³ï					chic12	good1978diccionario
142	llano	ta³					chic12	good1978diccionario
143	piedra	yëj³					chic12	good1978diccionario
144	algodón	gachij⁴i					chic12	good1978diccionario
145	metal, hierro, botella	gaga'³a					chic12	good1978diccionario
146	papel	yanj³					chic12	good1978diccionario
147	cal	nan'anj⁴an					chic12	good1978diccionario
148	cera	yanj³an					chic12	good1978diccionario
149	lodo	siguë'³ë					chic12	good1978diccionario
