IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
1	madre	nã⁴³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
2	mamá!	nã³⁴²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
3	padre	ta⁴³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
4	papá!	ta³⁴²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
5	hijo/hija	da³ˀnĩ³²					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
6	hijo	da³ˀnĩ³² # na³ˀu³²	da³ˀnĩ³²-na³ˀu³²				chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
6	hijo	da³ˀnĩ³² # ta³ˀu³²	da³ˀnĩ³²-ta³ˀu³²				chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
7	hija	da³ˀnĩ³² # ʃa³na¹	da³ˀnĩ³²-ʃa³na¹	child-woman			chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
8	hermana/hermano de otro genero	ʒu³we³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
9	hermano de hombre	di³nĩ³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
10	hermana de mujer	ʒu³wi³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
11	tía	du³ˀwi³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
12	tío	da³ˀnẽ³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
13	hombre	si³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
14	mujer	ʃa³na¹					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
15	dueño	ri³ki³ˀ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
16	sacerdote	re³ʰ					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
17	sangre	tũ³					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
18	hueso	ku³⁵					chic12	hernandez-mendoza2020vocabulario																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
