IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	kinship	madre	sɨ̀hɨ̀	4149				colo11	stark1986diccionario
2	kinship	mamá!	míyàn	4150				colo11	stark1986diccionario
3	kinship	padre	jùtù	4151				colo11	stark1986diccionario
4	kinship	papá!	tyatyá	4152				colo11	stark1986diccionario
5	kinship	hijo/hija	sehe	4153				colo11	stark1986diccionario
6	kinship	hijo	$					colo11	stark1986diccionario
7	kinship	hija	$					colo11	stark1986diccionario
8	kinship	hermana/hermano de otro genero	cuhva	4154				colo11	stark1986diccionario
9	kinship	hermano de hombre	yáni	4155				colo11	stark1986diccionario
10	kinship	hermana de mujer	cùhvì	4156				colo11	stark1986diccionario
11	kinship	tía	tyíxi	4157				colo11	stark1986diccionario
12	kinship	tío	ìxtò	4158				colo11	stark1986diccionario
13	person	hombre	rayɨɨ	4159	3SG.M-male			colo11	stark1986diccionario
14	person	mujer	ñaha	4160				colo11	stark1986diccionario
15	person	dueño	játsíí	4161				colo11	stark1986diccionario
15	person	dueño	tsitóhò	4162				colo11	stark1986diccionario
16	person	sacerdote	jùtù	4163				colo11	stark1986diccionario
17	body	sangre	nɨ̀ñɨ̀	4164				colo11	stark1986diccionario
18	body	hueso	yɨquɨ	4165				colo11	stark1986diccionario
19	body	pelo	ixi	4166				colo11	stark1986diccionario
20	body	cara	nùù yò	4167				colo11	stark1986diccionario
21	body	lengua	$	4168				colo11	stark1986diccionario
22	body	diente	nuhu yo	4169				colo11	stark1986diccionario
23	body	boca	yuhu yo	4170				colo11	stark1986diccionario
24	body	oreja	sohó yo	4171				colo11	stark1986diccionario
25	body	nariz	ìxtyìn yò	4172				colo11	stark1986diccionario
26	body	cuello	jùcùn yò	4173				colo11	stark1986diccionario
27	body	mano	ndaha yo	4174				colo11	stark1986diccionario
28	body	uña	tyíñú yó	4175				colo11	stark1986diccionario
29	body	espalda	tsàtà yò	4176				colo11	stark1986diccionario
30	body	estómago, abdomen	tsitsi yo	4177				colo11	stark1986diccionario
31	body	tripas, intestinos	tsɨtɨ̀ yo	4178				colo11	stark1986diccionario
32	body	pie	tsàhà yo	4179				colo11	stark1986diccionario
33	body	enfermedad	cuehè	4180				colo11	stark1986diccionario
34	body	medicina	numerí	4181		yes?	Spanish?	colo11	stark1986diccionario
34	body	medicina inyectable	tàtàn	4182				colo11	stark1986diccionario
35	body	hinchazón, papera	cuiñu	4183				colo11	stark1986diccionario
36	body	grano	ndɨhyɨ	4184				colo11	stark1986diccionario
37	body	pus	ndacua	4185				colo11	stark1986diccionario
38	body	orina	làxà	4186				colo11	stark1986diccionario
39	clothing	tela, ropa	jahma	4187				colo11	stark1986diccionario
40	clothing	huarache	ndìtsàn	4188				colo11	stark1986diccionario
41	clothing	pantalón	$					colo11	stark1986diccionario
42	clothing	huipil	xìcùn	4189				colo11	stark1986diccionario
43	living	pueblo	ñúu	4190				colo11	stark1986diccionario
44	living	casa	vehe	4191				colo11	stark1986diccionario
45	living	camino	ityi	4192				colo11	stark1986diccionario
46	living	horcón	sɨ́hɨ̀n	4193				colo11	stark1986diccionario
47	living	petate	yuvi	4194				colo11	stark1986diccionario
48	living	cama, lecho	tsito	4195				colo11	stark1986diccionario
49	living	banquito, silla	tyáyu	4196				colo11	stark1986diccionario
50	animal	animal	quɨtɨ	4197				colo11	stark1986diccionario
51	animal	pájaro	sáa	4198				colo11	stark1986diccionario
52	animal	pescado	tyàca	4199				colo11	stark1986diccionario
53	animal	culebra	còò	4200				colo11	stark1986diccionario
54	animal	rana	sáhva	4201				colo11	stark1986diccionario
55	animal	gavilán	tàsù	4202				colo11	stark1986diccionario
56	animal	alacrán	tujuhma	4203	animal-tail			colo11	stark1986diccionario
57	animal	cucaracha americana (grande)	ticosó	4204	animal-			colo11	stark1986diccionario
57	animal	cucaracha (chica)	tucuáàn	4205	animal-			colo11	stark1986diccionario
58	animal	chapulín	tica xìyàmà	4206	butterfly-?			colo11	stark1986diccionario
59	animal	abeja	ñùñù	4207				colo11	stark1986diccionario
60	animal	ratón, rata	tɨñɨ́	4208				colo11	stark1986diccionario
61	animal	venado	isù	4209				colo11	stark1986diccionario
62	animal	ardilla	cuañu	4210				colo11	stark1986diccionario
63	animal	zorrillo	tiñɨ̀hɨ̀	4211				colo11	stark1986diccionario
64	animal	tlacuache	tsoco	4212				colo11	stark1986diccionario
65	animal	mapache	$					colo11	stark1986diccionario
66	animal	conejo	cuñexú	4213	Sp. loan	yes	Spanish	colo11	stark1986diccionario
67	animal	zopilote	ndìtsìì	4214				colo11	stark1986diccionario
68	animal	perro	inà	4215				colo11	stark1986diccionario
69	animal	gato	mistú	4216	Sp. loan	yes	Colonial Spanish	colo11	stark1986diccionario
69	animal	gato	mixtú	4217	Sp. loan	yes	Colonial Spanish	colo11	stark1986diccionario
70	animal	gallo	tsitoohó	4218				colo11	stark1986diccionario
71	animal	gallina, pollo	ndɨvɨ́	4219				colo11	stark1986diccionario
72	animal	marrano, puerco, cochino	quɨ́nɨ̀	4220				colo11	stark1986diccionario
73	animal	caballo	cuayú	4221		yes	Colonial Spanish	colo11	stark1986diccionario
74	animal	borrego, chivo, carnero	mbèè	4222				colo11	stark1986diccionario
74	animal	oveja, carnero	mbèè ticàtyì	4223	sheep-animal-cotton			colo11	stark1986diccionario
75	animal	hormiga	tyocó	4224				colo11	stark1986diccionario
76	animal	cuerno	ndɨquɨ	4225				colo11	stark1986diccionario
77	animal	pluma	tumi	4226				colo11	stark1986diccionario
78	animal	ala	ndìtsìn	4227				colo11	stark1986diccionario
79	animal	cola	jùhmà tɨ̀	4228	tɨ̀ = 3animal			colo11	stark1986diccionario
80	plant	árbol, palo	yutun	4229				colo11	stark1986diccionario
81	plant	hierba, verduras	yùcù	4230				colo11	stark1986diccionario
81	plant	hierba comestible	yúva	4231				colo11	stark1986diccionario
82	plant	zacate, pasto	ityà	4232				colo11	stark1986diccionario
83	plant	flor	ità	4233				colo11	stark1986diccionario
84	plant	maguey	yavi	4234				colo11	stark1986diccionario
85	plant	raíz	yoho	4235				colo11	stark1986diccionario
86	plant	espina	iñu	4236				colo11	stark1986diccionario
87	corn	maíz en grano	nùñì	4237				colo11	stark1986diccionario
88	corn	milpa	itù	4238				colo11	stark1986diccionario
89	corn	elote	nyixi	4239				colo11	stark1986diccionario
90	corn	nixtamal	nùñì tsaahá	4240				colo11	stark1986diccionario
