IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	nii³					copa11	hollenbach1992syntactic
2	mother!, mom!	'na³nii³					copa11	hollenbach1992syntactic
3	father	rex³					copa11	hollenbach1992syntactic
4	father!, dad!	'a³tax¹		Sp. tata	yes	Spanish	copa11	hollenbach1992syntactic
5	son/daughter, child	tahnii⁵					copa11	hollenbach1992syntactic
6	son	$					copa11	hollenbach1992syntactic
7	daughter	$					copa11	hollenbach1992syntactic
8	cross-sex sibling	rahwix³²		only translated as ‘brother of female'			copa11	hollenbach1992syntactic
9	brother of man	tinuu⁵					copa11	hollenbach1992syntactic
10	sister of woman	shuhwix³²					copa11	hollenbach1992syntactic
11	aunt	tuhwe³					copa11	hollenbach1992syntactic
12	uncle	tahnuh³					copa11	hollenbach1992syntactic
13	man	chii³					copa11	hollenbach1992syntactic
14	woman	sha³na¹					copa11	hollenbach1992syntactic
15	owner, boss	$		there are multiple terms depending on what is owned			copa11	hollenbach1992syntactic
16	priest	shrex³					copa11	hollenbach1992syntactic
17	blood	ton³²					copa11	hollenbach1992syntactic
18	bone	kuu⁵					copa11	hollenbach1992syntactic
19	hair	$					copa11	hollenbach1992syntactic
20	face	riaan³²					copa11	hollenbach1992syntactic
21	tongue	yaa³²					copa11	hollenbach1992syntactic
22	tooth	$					copa11	hollenbach1992syntactic
23	mouth	tuhwa³					copa11	hollenbach1992syntactic
24	ear	shree⁵					copa11	hollenbach1992syntactic
25	nose	takuun⁵					copa11	hollenbach1992syntactic
26	neck	shia⁴					copa11	hollenbach1992syntactic
27	hand	raha³					copa11	hollenbach1992syntactic
28	fingernail	$					copa11	hollenbach1992syntactic
29	back	shraa⁵					copa11	hollenbach1992syntactic
30	stomach	rke³					copa11	hollenbach1992syntactic
31	intestine, guts	$					copa11	hollenbach1992syntactic
32	foot	takoo⁵					copa11	hollenbach1992syntactic
32	feet	shehe⁴					copa11	hollenbach1992syntactic
33	sickness	shihii³¹					copa11	hollenbach1992syntactic
34	remedy	konoho⁴					copa11	hollenbach1992syntactic
35	swelling	$					copa11	hollenbach1992syntactic
36	pimple	$					copa11	hollenbach1992syntactic
37	pus	$					copa11	hollenbach1992syntactic
38	urine	$					copa11	hollenbach1992syntactic
39	clothing	sa³ganh¹					copa11	hollenbach1992syntactic
39	clothing, garment	yatsex⁵					copa11	hollenbach1992syntactic
39	clothing, garment	yatsix⁵					copa11	hollenbach1992syntactic
40	sandal, sandals	kanx³					copa11	hollenbach1992syntactic
41	pants	$					copa11	hollenbach1992syntactic
42	tunic	rohno⁴					copa11	hollenbach1992syntactic
43	town	shumanh³					copa11	hollenbach1992syntactic
44	house	weh³					copa11	hollenbach1992syntactic
45	trail	chrex³²					copa11	hollenbach1992syntactic
46	post	$					copa11	hollenbach1992syntactic
47	mat, sleeping mat, straw mat	$					copa11	hollenbach1992syntactic
48	bed	$					copa11	hollenbach1992syntactic
49	stool, chair	$					copa11	hollenbach1992syntactic
50	animal	shkuu³					copa11	hollenbach1992syntactic
51	bird	shtax³²		probably a compound with wax32 ‘move', see fish			copa11	hollenbach1992syntactic
52	fish	shkw-ax³²	shkw-ax³²	animal-move, with wax32 ‘move'			copa11	hollenbach1992syntactic
53	snake	shkw-aa⁵	shkw-aa⁵	animal-root, with yaa5 ‘root'			copa11	hollenbach1992syntactic
54	frog	ri³kix¹³					copa11	hollenbach1992syntactic
55	nighthawk	kuwix⁵					copa11	hollenbach1992syntactic
56	scorpion	$					copa11	hollenbach1992syntactic
57	cockroach	$					copa11	hollenbach1992syntactic
58	grasshopper	$					copa11	hollenbach1992syntactic
59	bumblebee	shongo⁴					copa11	hollenbach1992syntactic
60	mouse, rat	sh-tuu³²	sh-tuu³²	animal-stealing, with ituu32 ‘stealing'			copa11	hollenbach1992syntactic
61	deer	shtax³	sh-tax³	animal-?			copa11	hollenbach1992syntactic
62	squirrel	$					copa11	hollenbach1992syntactic
63	skunk	$					copa11	hollenbach1992syntactic
64	(o)possum	neko⁴					copa11	hollenbach1992syntactic
65	raccoon	kahux³					copa11	hollenbach1992syntactic
66	rabbit	tuku³ya³²					copa11	hollenbach1992syntactic
67	vulture	$					copa11	hollenbach1992syntactic
68	dog	shu-wee³	shu-wee³	animal-?			copa11	hollenbach1992syntactic
69	cat	$					copa11	hollenbach1992syntactic
70	rooster	tohloo³					copa11	hollenbach1992syntactic
71	hen, chicken	shuchee³²	shu-chee³²	animal-?			copa11	hollenbach1992syntactic
72	pig	$					copa11	hollenbach1992syntactic
73	horse	kwa³yo⁴		Sp. caballo	yes	Colonial Spanish	copa11	hollenbach1992syntactic
74	sheep	matsinx³²					copa11	hollenbach1992syntactic
75	ant	shkw-aa³	shkw-aa³	animal-?			copa11	hollenbach1992syntactic
76	horn (anatomy)	$					copa11	hollenbach1992syntactic
77	feather	$					copa11	hollenbach1992syntactic
78	wing	$					copa11	hollenbach1992syntactic
79	tail	tuneh⁴		not sure about basic tone, also appears as tuneh3			copa11	hollenbach1992syntactic
80	tree, wood, pole	chruun³					copa11	hollenbach1992syntactic
81	herb	$					copa11	hollenbach1992syntactic
82	grass	$					copa11	hollenbach1992syntactic
83	flower	yax³²					copa11	hollenbach1992syntactic
84	maguey, century plant	$					copa11	hollenbach1992syntactic
85	root	yaa⁵					copa11	hollenbach1992syntactic
86	thorn	tanx³²					copa11	hollenbach1992syntactic
87	corn	hnuu⁵					copa11	hollenbach1992syntactic
88	cornfield	naa³¹					copa11	hollenbach1992syntactic
89	ear of corn	tanh³					copa11	hollenbach1992syntactic
90	nixtamal	$					copa11	hollenbach1992syntactic
91	cornmeal, corn dough	$					copa11	hollenbach1992syntactic
92	tortilla	chraa³					copa11	hollenbach1992syntactic
