IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	ðɨ́hî					diux11	kuiper1991syntactic
2	mother!, mom!	nána					diux11	kuiper1991syntactic
3	father	taā					diux11	kuiper1991syntactic
4	father!, dad!	táta					diux11	kuiper1991syntactic
5	son/daughter, child	ðichí					diux11	kuiper1991syntactic
5	son/daughter, child	ðahyá					diux11	kuiper1991syntactic
6	son	$					diux11	kuiper1991syntactic
7	daughter	$					diux11	kuiper1991syntactic
8	cross-sex sibling	$					diux11	kuiper1991syntactic
9	brother of man	ñá'ní					diux11	kuiper1991syntactic
10	sister of woman	kú'hú					diux11	kuiper1991syntactic
11	aunt	ðíðî					diux11	kuiper1991syntactic
12	uncle	ðítô					diux11	kuiper1991syntactic
13	man	té-yɨ̄ɨ	té-yɨ̄ɨ	male-?			diux11	kuiper1991syntactic
14	woman	ña-ðíhî	ña-ðíhî	female-?			diux11	kuiper1991syntactic
15	owner, boss	shtóho					diux11	kuiper1991syntactic
16	priest	ðutú					diux11	kuiper1991syntactic
17	blood	ñí'ñí	ñíñí	tones are not basic form, only appears in one example			diux11	kuiper1991syntactic
18	bone	$					diux11	kuiper1991syntactic
19	hair	íðí					diux11	kuiper1991syntactic
20	face	nūú					diux11	kuiper1991syntactic
21	tongue	$					diux11	kuiper1991syntactic
22	tooth	$					diux11	kuiper1991syntactic
23	mouth	yūhu					diux11	kuiper1991syntactic
24	ear	ðóho					diux11	kuiper1991syntactic
25	nose	ðínhni					diux11	kuiper1991syntactic
26	neck	$					diux11	kuiper1991syntactic
27	hand	ndāha		not sure about basic tones			diux11	kuiper1991syntactic
28	fingernail	tnɨ́ñɨ		only as part of tɨ-tnɨ́ñɨ ‘mouse'			diux11	kuiper1991syntactic
29	back	yátâ					diux11	kuiper1991syntactic
30	stomach	shiti					diux11	kuiper1991syntactic
31	intestine, guts	$					diux11	kuiper1991syntactic
32	foot	shéhê					diux11	kuiper1991syntactic
33	illness, sickness	kwehe		not sure about tones			diux11	kuiper1991syntactic
34	medicine	tátná		not sure about tones			diux11	kuiper1991syntactic
35	swelling	$					diux11	kuiper1991syntactic
36	pimple	$					diux11	kuiper1991syntactic
37	pus	$					diux11	kuiper1991syntactic
38	urine	$					diux11	kuiper1991syntactic
39	cloth, clothes, clothing	ðanhma					diux11	kuiper1991syntactic
40	sandal, sandals	ndíshâ					diux11	kuiper1991syntactic
41	pants	shá'tú	shátú	not basic tones			diux11	kuiper1991syntactic
42	blouse	ðún'hnú	ðúnhnú	not basic tones			diux11	kuiper1991syntactic
43	town	ñûû					diux11	kuiper1991syntactic
44	house	vēhe					diux11	kuiper1991syntactic
45	road	īchi					diux11	kuiper1991syntactic
46	post	$					diux11	kuiper1991syntactic
47	mat, sleeping mat, straw mat	yúú		not basic tones			diux11	kuiper1991syntactic
48	bed	$					diux11	kuiper1991syntactic
49	chair	siyá		Sp. silla	yes	Spanish	diux11	kuiper1991syntactic
