IDlist	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	nnin³		21549				itun12	ChristianDiCanio
2	mamá!	nnanj⁴³		21550				itun12	ChristianDiCanio
3	padre	che³		21551				itun12	ChristianDiCanio
4	papá!	ta³tah⁴		21552				itun12	ChristianDiCanio
5	hijo/hija	ta³hninh⁵		21553				itun12	ChristianDiCanio
6	hijo	$						itun12	ChristianDiCanio
7	hija	$						itun12	ChristianDiCanio
8	hermana de hombre	chi³ka⁴hbi⁴³		21554				itun12	ChristianDiCanio
8	hermana/hermano de otro genero	chi³ko³hoj³		21555				itun12	ChristianDiCanio
9	hermano de hombre	cnanj⁵		21556				itun12	ChristianDiCanio
10	hermana de mujer	chu²kwi³hi³²		21557				itun12	ChristianDiCanio
11	tía	tu³hbih⁴		21558				itun12	ChristianDiCanio
12	tío	ta⁴hnu⁴		21559				itun12	ChristianDiCanio
13	hombre, persona	sinj⁵		21560				itun12	ChristianDiCanio
13	hombre	si⁴sno⁴³		21561				itun12	ChristianDiCanio
14	mujer	yu³hunj³		21562				itun12	ChristianDiCanio
15	dueño	chi³kih³		21563				itun12	ChristianDiCanio
15	dueño, persona que posee una cosa	si³hyaj³		21564				itun12	ChristianDiCanio
16	sacerdote	chej³ sno³ho³²		21565				itun12	ChristianDiCanio
17	sangre	ttun³		21566				itun12	ChristianDiCanio
18	hueso	kuj⁵		21567				itun12	ChristianDiCanio
19	pelo	bbe⁴		21568				itun12	ChristianDiCanio
20	cara	rian³²		21569				itun12	ChristianDiCanio
21	lengua	ya³²		21570				itun12	ChristianDiCanio
22	diente	yanh¹		21571				itun12	ChristianDiCanio
23	boca	tu³hba³		21572				itun12	ChristianDiCanio
24	oreja	cha³kij³		21573				itun12	ChristianDiCanio
25	nariz	ta³kinj⁵		21574				itun12	ChristianDiCanio
26	cuello	cha⁴		21575				itun12	ChristianDiCanio
27	mano	ra³ha³		21576				itun12	ChristianDiCanio
28	uña, garra	stin⁴		21577				itun12	ChristianDiCanio
29	espalda	chi³raj⁵		21578				itun12	ChristianDiCanio
30	panza, barriga	ri³ki³		21579				itun12	ChristianDiCanio
31	tripas, intestinos	chi³rih³		21580				itun12	ChristianDiCanio
32	pie	ta³koj⁵		21581				itun12	ChristianDiCanio
33	enfermedad	chi³hi¹		21582				itun12	ChristianDiCanio
34	medicina	ko³no³ho⁴		21583				itun12	ChristianDiCanio
35	hinchazón	$						itun12	ChristianDiCanio
36	grano del piel	nduj³		21584				itun12	ChristianDiCanio
36	grano, semilla	kkan³²		21585				itun12	ChristianDiCanio
37	pus, materia	kkwej³		21586				itun12	ChristianDiCanio
38	orina	nne³² ri¹hi¹		21587	water-urinate			itun12	ChristianDiCanio
39	tela, ropa	a⁴sij³		21588				itun12	ChristianDiCanio
40	huarache	kkanj³		21589				itun12	ChristianDiCanio
41	pantalones	chi³roj²		21590				itun12	ChristianDiCanio
42	huipil	chru³hnuhn⁴		21591				itun12	ChristianDiCanio
43	pueblo, origen	chi³yanj⁵		21592				itun12	ChristianDiCanio
43	pueblo	chu³manh³		21593				itun12	ChristianDiCanio
44	casa	beh³		21594				itun12	ChristianDiCanio
45	camino	cchej³²		21595				itun12	ChristianDiCanio
46	horcón	tu³kwa⁴hanj⁴		21596				itun12	ChristianDiCanio
47	petate	bbej⁵		21597				itun12	ChristianDiCanio
48	cama	nna³		21598				itun12	ChristianDiCanio
49	silla	chrun³ chi⁴la⁴³		21599	wood-seat	partial	Spanish	itun12	ChristianDiCanio
50	animal	chu³ku³		21600				itun12	ChristianDiCanio
51	pájaro	cha³taj²		21601				itun12	ChristianDiCanio
52	pescado	chu³kwaj²		21602				itun12	ChristianDiCanio
53	culebra	chu³kwaj⁵		21603				itun12	ChristianDiCanio
54	rana	kwa³hlah³		21604				itun12	ChristianDiCanio
55	gavilán	chi³nunh³		21605				itun12	ChristianDiCanio
56	alacrán	chi³kin³²		21606				itun12	ChristianDiCanio
57	cucaracha	chi²ra³kin³		21607				itun12	ChristianDiCanio
58	chapulín	chi³ri³kij⁵		21608				itun12	ChristianDiCanio
59	abeja	chu³taj³		21609				itun12	ChristianDiCanio
60	ratón	chu³tu³²		21610				itun12	ChristianDiCanio
60	rata	sma³te³he³		21611				itun12	ChristianDiCanio
61	venado	chu³taj³		21612				itun12	ChristianDiCanio
62	ardilla	chu³ba⁴		21613				itun12	ChristianDiCanio
63	zorrillo	chu³hman³		21614				itun12	ChristianDiCanio
64	tlacuache	cna⁴kinj⁴		21615				itun12	ChristianDiCanio
65	mapache	kwi⁴yuj⁴		21616				itun12	ChristianDiCanio
66	conejo	cha³to³		21617				itun12	ChristianDiCanio
67	zopilote	lo³ti³		21618				itun12	ChristianDiCanio
68	perro	chu³be³		21619				itun12	ChristianDiCanio
69	gato	chi³lu³		21620				itun12	ChristianDiCanio
70	gallo	to³hlo³		21621				itun12	ChristianDiCanio
71	gallina, pollo	chu³che³²		21622				itun12	ChristianDiCanio
72	marrano	cha³kaj⁵		21623				itun12	ChristianDiCanio
73	caballo	kwa⁴yu⁴³		21624		yes	Colonial Spanish	itun12	ChristianDiCanio
74	borrego	cha³chij²		21625				itun12	ChristianDiCanio
75	hormiga	chu³kwa³		21626				itun12	ChristianDiCanio
76	cuerno, hueso, botón	kuj⁵		21627				itun12	ChristianDiCanio
77	pluma, metate	tto³²		21628				itun12	ChristianDiCanio
