IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	sɨhɨ					jami11	johnson1988syntactic
2	mother!, mom!	$					jami11	johnson1988syntactic
3	father	sutu					jami11	johnson1988syntactic
4	father!, dad!	$					jami11	johnson1988syntactic
5	son/daughter, child	sēhe					jami11	johnson1988syntactic
6	son	$					jami11	johnson1988syntactic
7	daughter	$					jami11	johnson1988syntactic
8	cross-sex sibling	$					jami11	johnson1988syntactic
9	brother of man	yan̄i					jami11	johnson1988syntactic
10	sister of woman	kuhu					jami11	johnson1988syntactic
11	aunt	chishi					jami11	johnson1988syntactic
12	uncle	shító					jami11	johnson1988syntactic
13	man	ra-yɨɨ	ra-yɨɨ	male-?			jami11	johnson1988syntactic
14	woman	ñāhā					jami11	johnson1988syntactic
15	owner, boss	chi-toho	chi-toho				jami11	johnson1988syntactic
16	priest	sutu					jami11	johnson1988syntactic
17	blood	nɨñɨ					jami11	johnson1988syntactic
18	bone	$					jami11	johnson1988syntactic
19	hair	īshī					jami11	johnson1988syntactic
20	face	nuu					jami11	johnson1988syntactic
21	tongue	$					jami11	johnson1988syntactic
22	tooth	$					jami11	johnson1988syntactic
23	mouth	yūhū					jami11	johnson1988syntactic
24	ear	$					jami11	johnson1988syntactic
25	nose	shityin					jami11	johnson1988syntactic
26	neck	$					jami11	johnson1988syntactic
27	hand	ndāhā					jami11	johnson1988syntactic
28	fingernail	$					jami11	johnson1988syntactic
29	back	chata					jami11	johnson1988syntactic
30	stomach	chīchi					jami11	johnson1988syntactic
31	intestine, guts	$					jami11	johnson1988syntactic
32	foot	chaha					jami11	johnson1988syntactic
33	disease, illness, sickness	kwehe					jami11	johnson1988syntactic
34	medicine	tatan					jami11	johnson1988syntactic
35	swelling	$					jami11	johnson1988syntactic
36	pimple	$					jami11	johnson1988syntactic
37	pus	$					jami11	johnson1988syntactic
38	urine	$					jami11	johnson1988syntactic
39	cloth	sāhmā					jami11	johnson1988syntactic
40	sandal, sandals	$					jami11	johnson1988syntactic
41	pants	$					jami11	johnson1988syntactic
42	blouse, woven blouse	$					jami11	johnson1988syntactic
43	town	ñuu					jami11	johnson1988syntactic
44	house	vēhē					jami11	johnson1988syntactic
45	road, trail	ītyī					jami11	johnson1988syntactic
46	post	$					jami11	johnson1988syntactic
47	mat, sleeping mat, straw mat	$					jami11	johnson1988syntactic
48	bed	$					jami11	johnson1988syntactic
49	chair	tyayu					jami11	johnson1988syntactic
50	animal	kɨ̄tɨ̄					jami11	johnson1988syntactic
51	bird	$					jami11	johnson1988syntactic
52	fish	tī-yaka	tī-yaka	animal-fish			jami11	johnson1988syntactic
53	snake	$					jami11	johnson1988syntactic
54	frog	$					jami11	johnson1988syntactic
55	hawk	tású					jami11	johnson1988syntactic
56	scorpion	tī-suhma	tī-suhma	animal-tail			jami11	johnson1988syntactic
57	cockroach	$					jami11	johnson1988syntactic
58	grasshopper	$					jami11	johnson1988syntactic
59	bee	$					jami11	johnson1988syntactic
60	mouse, rat	$					jami11	johnson1988syntactic
61	deer	isu					jami11	johnson1988syntactic
62	squirrel	$					jami11	johnson1988syntactic
63	skunk	$					jami11	johnson1988syntactic
64	opossum	tɨ̄-maha	tɨ̄-maha	animal-?			jami11	johnson1988syntactic
65	raccoon	$					jami11	johnson1988syntactic
66	rabbit	kūñēshú		Sp. conejo	yes	Spanish	jami11	johnson1988syntactic
67	vulture	$					jami11	johnson1988syntactic
68	dog	ina					jami11	johnson1988syntactic
69	cat	chúmī					jami11	johnson1988syntactic
70	rooster	lóhó					jami11	johnson1988syntactic
71	hen	$					jami11	johnson1988syntactic
72	pig	$					jami11	johnson1988syntactic
73	horse	$					jami11	johnson1988syntactic
74	sheep	$					jami11	johnson1988syntactic
75	ant	tɨ̄-yoko	tɨ̄-yoko	animal-ant			jami11	johnson1988syntactic
76	horn (anatomy)	ndīkī					jami11	johnson1988syntactic
77	feather	tūmi					jami11	johnson1988syntactic
78	wing	$					jami11	johnson1988syntactic
79	tail	suhma					jami11	johnson1988syntactic
80	tree	yūtūn					jami11	johnson1988syntactic
81	herb	$					jami11	johnson1988syntactic
82	grass	$					jami11	johnson1988syntactic
83	flower	$					jami11	johnson1988syntactic
84	maguey, century plant	yāvī					jami11	johnson1988syntactic
85	root	$					jami11	johnson1988syntactic
86	thorn	$					jami11	johnson1988syntactic
87	grain of corn	nuñi					jami11	johnson1988syntactic
88	cornfield	itu					jami11	johnson1988syntactic
89	fresh ear of corn	$					jami11	johnson1988syntactic
90	nixtamal	$					jami11	johnson1988syntactic
91	cornmeal, corn dough	yūchān					jami11	johnson1988syntactic
92	tortilla	shita					jami11	johnson1988syntactic
93	cleared field, cornstalk	$					jami11	johnson1988syntactic
94	row	yukun					jami11	johnson1988syntactic
95	tassel, maize spike	$					jami11	johnson1988syntactic
96	bean	ndutyi					jami11	johnson1988syntactic
97	green bean	$					jami11	johnson1988syntactic
98	chili pepper	yāhā					jami11	johnson1988syntactic
99	salt	ñɨ̄ɨ̄					jami11	johnson1988syntactic
100	squash	$					jami11	johnson1988syntactic
101	chayote squash	$					jami11	johnson1988syntactic
102	sugar cane	$					jami11	johnson1988syntactic
103	honey	$					jami11	johnson1988syntactic
104	fat, lard, grease	$					jami11	johnson1988syntactic
105	egg	$					jami11	johnson1988syntactic
106	tomato	tɨ̄-nana	tɨ̄-nana	round-tomato?			jami11	johnson1988syntactic
107	sweet potato	ñahmi					jami11	johnson1988syntactic
108	avocado	tītyī					jami11	johnson1988syntactic
109	banana	ndyītyā		only listed as part of tūndyītyā ‘banana plant'			jami11	johnson1988syntactic
110	prickly pear cactus	$					jami11	johnson1988syntactic
111	mamey	$					jami11	johnson1988syntactic
112	custard apple	ndōkō		only listed as part of tūndōkō ‘custard apple tree'			jami11	johnson1988syntactic
113	mushroom	$					jami11	johnson1988syntactic
114	meat	$					jami11	johnson1988syntactic
115	griddle	$					jami11	johnson1988syntactic
116	pot, cooking pot	$					jami11	johnson1988syntactic
117	oven	$					jami11	johnson1988syntactic
118	fire	ñuhu					jami11	johnson1988syntactic
119	ash	$					jami11	johnson1988syntactic
120	charcoal	toon					jami11	johnson1988syntactic
121	smoke	ñuhma					jami11	johnson1988syntactic
122	garbage, trash	$					jami11	johnson1988syntactic
123	plate	$					jami11	johnson1988syntactic
124	gourd, gourd bowl	$					jami11	johnson1988syntactic
125	basket	tīkā					jami11	johnson1988syntactic
126	box, chest, trunk	$					jami11	johnson1988syntactic
127	thread	yuhya					jami11	johnson1988syntactic
128	comb	$					jami11	johnson1988syntactic
129	rope	yōhō					jami11	johnson1988syntactic
130	hole	$					jami11	johnson1988syntactic
131	net	$					jami11	johnson1988syntactic
132	soap	nama					jami11	johnson1988syntactic
133	ring	$					jami11	johnson1988syntactic
134	moon	yoo					jami11	johnson1988syntactic
135	cloud	$					jami11	johnson1988syntactic
136	lightning	$					jami11	johnson1988syntactic
137	water	ndūtyā					jami11	johnson1988syntactic
