IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	mother	náná					prog12	shields1988syntactic
2	mother!, mom!	naá					prog12	shields1988syntactic
3	father	tátá					prog12	shields1988syntactic
4	father!, dad!	taá					prog12	shields1988syntactic
5	son/daughter, child	xahyī					prog12	shields1988syntactic
6	son	xahyī taā	xahyī-taā	child-man			prog12	shields1988syntactic
7	daughter	$					prog12	shields1988syntactic
8	cross-sex sibling	kyahvā					prog12	shields1988syntactic
9	brother of man	ñānī					prog12	shields1988syntactic
10	sister of woman	kihvi					prog12	shields1988syntactic
11	aunt	xixi					prog12	shields1988syntactic
12	uncle	xito					prog12	shields1988syntactic
13	man	taā					prog12	shields1988syntactic
14	woman	ñáha					prog12	shields1988syntactic
15	owner, boss	$					prog12	shields1988syntactic
16	priest	xutu					prog12	shields1988syntactic
17	blood	$					prog12	shields1988syntactic
18	bone	yīkí					prog12	shields1988syntactic
19	hair	íxi					prog12	shields1988syntactic
20	face	nuu					prog12	shields1988syntactic
21	tongue	$					prog12	shields1988syntactic
22	tooth	$					prog12	shields1988syntactic
23	mouth	yúhu					prog12	shields1988syntactic
24	ear	xohō					prog12	shields1988syntactic
25	nose	$					prog12	shields1988syntactic
26	neck	xíkó					prog12	shields1988syntactic
27	hand	ndāha					prog12	shields1988syntactic
28	fingernail	chíin					prog12	shields1988syntactic
29	back	xata					prog12	shields1988syntactic
30	stomach	tishī					prog12	shields1988syntactic
31	intestine, guts	$					prog12	shields1988syntactic
32	foot	saha					prog12	shields1988syntactic
33	disease, illness, sickness	kwehe					prog12	shields1988syntactic
34	medicine	tata					prog12	shields1988syntactic
35	swelling	$					prog12	shields1988syntactic
36	pimple	$					prog12	shields1988syntactic
37	pus	$					prog12	shields1988syntactic
38	urine	$					prog12	shields1988syntactic
39	cloth	xáhma					prog12	shields1988syntactic
40	sandal, sandals	ndusa					prog12	shields1988syntactic
41	pants	sātī					prog12	shields1988syntactic
42	blouse, woven blouse	$					prog12	shields1988syntactic
43	village, town	ñūū					prog12	shields1988syntactic
44	house	vēhē					prog12	shields1988syntactic
45	road, trail	íchi					prog12	shields1988syntactic
46	post	$					prog12	shields1988syntactic
47	mat, sleeping mat, straw mat	$					prog12	shields1988syntactic
48	bed	$					prog12	shields1988syntactic
49	stool, chair	$					prog12	shields1988syntactic
50	animal	kíti					prog12	shields1988syntactic
51	bird	lāā					prog12	shields1988syntactic
52	fish	ti-yāká	ti-yāká	animal-fish			prog12	shields1988syntactic
53	snake	koō					prog12	shields1988syntactic
54	frog	$					prog12	shields1988syntactic
55	hawk	$					prog12	shields1988syntactic
56	scorpion	$					prog12	shields1988syntactic
57	cockroach	$					prog12	shields1988syntactic
58	grasshopper	tikā					prog12	shields1988syntactic
59	bee	$					prog12	shields1988syntactic
60	mouse	tiín					prog12	shields1988syntactic
61	deer	uxu					prog12	shields1988syntactic
62	squirrel	ndíkwání	ndí-kwání				prog12	shields1988syntactic
63	skunk	ti-n̄ihí	ti-n̄ihí	animal-skunk?			prog12	shields1988syntactic
64	(o)possum	$					prog12	shields1988syntactic
65	raccoon	$					prog12	shields1988syntactic
66	rabbit	kāñāxún		Sp. conejo	yes	Spanish	prog12	shields1988syntactic
67	vulture	$					prog12	shields1988syntactic
68	dog	tinā	t-inā	animal-dog			prog12	shields1988syntactic
69	cat	chító					prog12	shields1988syntactic
70	rooster	$					prog12	shields1988syntactic
71	hen	$					prog12	shields1988syntactic
72	pig	kóchí			yes	Spanish	prog12	shields1988syntactic
73	horse	kwáyi			yes	Colonial Spanish	prog12	shields1988syntactic
74	sheep	lānchī					prog12	shields1988syntactic
74	sheep	ndī-kāchī	ndī-kāchī	?-cotton			prog12	shields1988syntactic
75	ant	$					prog12	shields1988syntactic
