IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	madre	dzehe					tepo01	alvarado1593vocabulario
2	mamá!	$					tepo01	alvarado1593vocabulario
3	padre	taa		this could be the vocative form			tepo01	alvarado1593vocabulario
3	padre	dzutu		ñani is also given, but this is clearly ‘brother', cf. 9			tepo01	alvarado1593vocabulario
4	papá!	$					tepo01	alvarado1593vocabulario
5	hijo/hija	$					tepo01	alvarado1593vocabulario
6	hijo	dzaya		could be the general word, too			tepo01	alvarado1593vocabulario
6	hijo	deqtata		a compound with father?			tepo01	alvarado1593vocabulario
7	hija	dzayadzehe	dzaya dzehe	probably child-female			tepo01	alvarado1593vocabulario
8	hermana/hermano de otro genero	cuhua					tepo01	alvarado1593vocabulario
9	hermano de hombre	ñani					tepo01	alvarado1593vocabulario
10	hermana de mujer	cuvui					tepo01	alvarado1593vocabulario
11	tía	dzidzindi	dzidzi				tepo01	alvarado1593vocabulario
12	tío	dzito					tepo01	alvarado1593vocabulario
13	hombre	taiyee ~ tay yee	tay yee	man male?			tepo01	alvarado1593vocabulario
14	mujer	ñahadzehe	ñaha dzehe	woman female?			tepo01	alvarado1593vocabulario
15	dueño	tay dzi ~ si yahui	si yahui				tepo01	alvarado1593vocabulario
16	sacerdote	dzutu sandidzo ñuhu	dzutu				tepo01	alvarado1593vocabulario
17	sangre	neñe					tepo01	alvarado1593vocabulario
18	hueso	yeque					tepo01	alvarado1593vocabulario
19	pelo	idzi					tepo01	alvarado1593vocabulario
20	cara	nuu					tepo01	alvarado1593vocabulario
21	lengua	yaa					tepo01	alvarado1593vocabulario
22	diente	noho					tepo01	alvarado1593vocabulario
23	boca	yuhu					tepo01	alvarado1593vocabulario
24	oreja	tutnu					tepo01	alvarado1593vocabulario
24	oreja	dzoho					tepo01	alvarado1593vocabulario
25	naris	dzitni					tepo01	alvarado1593vocabulario
26	cuello	dzuq					tepo01	alvarado1593vocabulario
27	mano	daha					tepo01	alvarado1593vocabulario
28	uña	$					tepo01	alvarado1593vocabulario
29	espalda	sata					tepo01	alvarado1593vocabulario
30	barriga	chisi					tepo01	alvarado1593vocabulario
31	tripa, tripas	site					tepo01	alvarado1593vocabulario
32	pie	saha					tepo01	alvarado1593vocabulario
33	enfermedad	quahi					tepo01	alvarado1593vocabulario
34	medicina	yucu tatna	tatna	I think ‘herb medicine'			tepo01	alvarado1593vocabulario
35	hinchazón	sasicuiño ~ sacoo cuiño	cuiño				tepo01	alvarado1593vocabulario
35	hinchazón	sasisiño	siño				tepo01	alvarado1593vocabulario
36	grano	deye					tepo01	alvarado1593vocabulario
37	materia, podre	dacua					tepo01	alvarado1593vocabulario
38	orina	dzadza ~ dutadzadza ~ tadzadza	dzadza				tepo01	alvarado1593vocabulario
39	tela	ydza					tepo01	alvarado1593vocabulario
40	huarache	$					tepo01	alvarado1593vocabulario
41	pantalón	$					tepo01	alvarado1593vocabulario
42	huipil	dzico					tepo01	alvarado1593vocabulario
43	pueblo	ñuu					tepo01	alvarado1593vocabulario
44	casa	huahi					tepo01	alvarado1593vocabulario
45	camino	ichi					tepo01	alvarado1593vocabulario
46	horcón	$					tepo01	alvarado1593vocabulario
47	petate	yuvui					tepo01	alvarado1593vocabulario
48	cama, lecho	sito					tepo01	alvarado1593vocabulario
49	silla	tayu					tepo01	alvarado1593vocabulario
50	animal	quete					tepo01	alvarado1593vocabulario
51	paxaro	dzaa					tepo01	alvarado1593vocabulario
52	pescado	teyaca					tepo01	alvarado1593vocabulario
53	culebra	coo					tepo01	alvarado1593vocabulario
54	rana	tiyahua					tepo01	alvarado1593vocabulario
54	rana	dzahua					tepo01	alvarado1593vocabulario
55	gavilán	$					tepo01	alvarado1593vocabulario
56	alacrán	tedzuma					tepo01	alvarado1593vocabulario
57	cucaracha	$					tepo01	alvarado1593vocabulario
58	chapulín	$					tepo01	alvarado1593vocabulario
59	abeja	ñuñu					tepo01	alvarado1593vocabulario
60	ratón	tneñe					tepo01	alvarado1593vocabulario
61	venado	$					tepo01	alvarado1593vocabulario
62	ardilla	$					tepo01	alvarado1593vocabulario
63	zorrillo	teñehe					tepo01	alvarado1593vocabulario
64	tlacuache	$					tepo01	alvarado1593vocabulario
65	mapache	$					tepo01	alvarado1593vocabulario
66	conejo	idzocusa	idzo-cusa				tepo01	alvarado1593vocabulario
66	conejo	ydzondecusa	ydzonde-cusa				tepo01	alvarado1593vocabulario
67	zopilote	$					tepo01	alvarado1593vocabulario
68	perro	teina					tepo01	alvarado1593vocabulario
69	gato	ñaña					tepo01	alvarado1593vocabulario
69	gato	quetecau	quete cau	animal ?			tepo01	alvarado1593vocabulario
69	gato	misto					tepo01	alvarado1593vocabulario
70	gallo	tiñoo					tepo01	alvarado1593vocabulario
70	gallo	queteyee	quete yee	animal male			tepo01	alvarado1593vocabulario
71	gallina	teñoo					tepo01	alvarado1593vocabulario
72	puerco	quene					tepo01	alvarado1593vocabulario
73	caballo	$					tepo01	alvarado1593vocabulario
74	borrego	tecachidzuchi	tecachi-dzuchi				tepo01	alvarado1593vocabulario
74	borrego	tecachihuatu	tecachi-huatu				tepo01	alvarado1593vocabulario
75	hormiga	tiyoco					tepo01	alvarado1593vocabulario
75	hormiga	tidzuhu					tepo01	alvarado1593vocabulario
76	cuerno	deque					tepo01	alvarado1593vocabulario
77	pluma de aue pequeña	tnumi					tepo01	alvarado1593vocabulario
78	ala	disi					tepo01	alvarado1593vocabulario
79	cola	dzuma					tepo01	alvarado1593vocabulario
80	árbol	yutnu					tepo01	alvarado1593vocabulario
81	hierba	$					tepo01	alvarado1593vocabulario
82	zacate, pasto	$					tepo01	alvarado1593vocabulario
83	flor	ita					tepo01	alvarado1593vocabulario
84	maguey	$					tepo01	alvarado1593vocabulario
85	raíz	yoho					tepo01	alvarado1593vocabulario
86	espina	iño					tepo01	alvarado1593vocabulario
87	maíz en grano	nuni					tepo01	alvarado1593vocabulario
88	milpa	itu					tepo01	alvarado1593vocabulario
89	elote	$					tepo01	alvarado1593vocabulario
90	nixtamal	$					tepo01	alvarado1593vocabulario
91	masa	$					tepo01	alvarado1593vocabulario
92	tortilla	dzita		extracted from examples			tepo01	alvarado1593vocabulario
93	rastrojo	$					tepo01	alvarado1593vocabulario
94	surco de arado	sanicuvui sichi	sani-cuvui sichi	probably a phrase			tepo01	alvarado1593vocabulario
94	surco de arado	sanisanuusichi	sani-sa-nuu-sichi	probably a phrase			tepo01	alvarado1593vocabulario
94	surco de arado	sanicahi sichi	sani-cahi sichi	probably a phrase			tepo01	alvarado1593vocabulario
95	espiga de trigo	neñe nuni		? corn			tepo01	alvarado1593vocabulario
96	frisol(es)	duchi					tepo01	alvarado1593vocabulario
97	ejote	$					tepo01	alvarado1593vocabulario
98	chile	yaha					tepo01	alvarado1593vocabulario
99	sal	ñee					tepo01	alvarado1593vocabulario
100	calabaza	yeque					tepo01	alvarado1593vocabulario
101	chayote	naña					tepo01	alvarado1593vocabulario
102	caña de comer	doo					tepo01	alvarado1593vocabulario
103	miel	dudzi					tepo01	alvarado1593vocabulario
104	grasa, manteca	dzaha					tepo01	alvarado1593vocabulario
105	blanquillo, huevo	devui					tepo01	alvarado1593vocabulario
106	tomate	$					tepo01	alvarado1593vocabulario
107	camote	$					tepo01	alvarado1593vocabulario
108	aguacate	$					tepo01	alvarado1593vocabulario
109	plátano	chita					tepo01	alvarado1593vocabulario
109	plátano	dica					tepo01	alvarado1593vocabulario
110	nopal	$					tepo01	alvarado1593vocabulario
111	mamey, zapote	dicasaha	dica saha	banana ?			tepo01	alvarado1593vocabulario
112	chirimoya	$					tepo01	alvarado1593vocabulario
113	hongo	siye					tepo01	alvarado1593vocabulario
114	carne	coño					tepo01	alvarado1593vocabulario
115	comal	siyo					tepo01	alvarado1593vocabulario
116	olla	quedze					tepo01	alvarado1593vocabulario
117	horno	sitnu					tepo01	alvarado1593vocabulario
118	lumbre, fuego	ñuhu					tepo01	alvarado1593vocabulario
119	ceniza	yaa					tepo01	alvarado1593vocabulario
120	carbón	ñuñuhu					tepo01	alvarado1593vocabulario
121	humo	ñuma					tepo01	alvarado1593vocabulario
122	basura	mihi					tepo01	alvarado1593vocabulario
123	plato	coho					tepo01	alvarado1593vocabulario
124	xicara	yasi					tepo01	alvarado1593vocabulario
125	canasta	tesite					tepo01	alvarado1593vocabulario
125	canasta	tesiyo					tepo01	alvarado1593vocabulario
126	caja, cajón	$					tepo01	alvarado1593vocabulario
127	hilo	yuhua					tepo01	alvarado1593vocabulario
128	peine	cucua					tepo01	alvarado1593vocabulario
129	cuerda	yoho					tepo01	alvarado1593vocabulario
130	agujero, hoyo	yavui					tepo01	alvarado1593vocabulario
131	red	ñono					tepo01	alvarado1593vocabulario
132	jabón	nama					tepo01	alvarado1593vocabulario
133	anillo	dzahi					tepo01	alvarado1593vocabulario
134	luna	yoo					tepo01	alvarado1593vocabulario
135	nube	huico					tepo01	alvarado1593vocabulario
136	rayo del cielo	tasa					tepo01	alvarado1593vocabulario
137	agua	duta					tepo01	alvarado1593vocabulario
138	lluvia	dzavui					tepo01	alvarado1593vocabulario
139	río	yuta					tepo01	alvarado1593vocabulario
140	rocío	$					tepo01	alvarado1593vocabulario
141	cerro	yucu					tepo01	alvarado1593vocabulario
142	llanura de campo	yodzo					tepo01	alvarado1593vocabulario
143	piedra	yuu					tepo01	alvarado1593vocabulario
144	algodón	cachi					tepo01	alvarado1593vocabulario
145	hierro metal	caa					tepo01	alvarado1593vocabulario
145	hierro metal	tnoo					tepo01	alvarado1593vocabulario
146	papel blanco	tutu					tepo01	alvarado1593vocabulario
147	cal	caca					tepo01	alvarado1593vocabulario
148	cera	ñuma					tepo01	alvarado1593vocabulario
149	lodo	dayu					tepo01	alvarado1593vocabulario
150	espuma	teiño	te-iño	liquid-foam?			tepo01	alvarado1593vocabulario
150	espuma	itanduta	ita nduta	flower water			tepo01	alvarado1593vocabulario
151	polvo	ñuyaca mihi	mihi				tepo01	alvarado1593vocabulario
