IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
5	child	đá'ʔžá	đáʔžá	deleted stress mark			diux11	durr1987preliminary																																																								
5	child	đéʔè					peno11	durr1987preliminary																																																								
5	child	íʔšá					coat11	durr1987preliminary																																																								
5	child	sèʔē					moli11	durr1987preliminary																																																								
5	child	sèʔē					ocot11	durr1987preliminary																																																								
5	child	sèʔē					atat11	durr1987preliminary																																																								
5	child	sèʔē					gran11	durr1987preliminary																																																								
5	child	đèʔē					caca11	durr1987preliminary																																																								
5	child	đèʔē					xaya11	durr1987preliminary																																																								
5	child	sīʔè					ayut11	durr1987preliminary																																																								
5	child	sēʔē					metl11	durr1987preliminary																																																								
5	child	sāʔyā					cahu11	durr1987preliminary																																																								
5	child	sèʔē					mixt11	durr1987preliminary																																																								
5	child	hàʔžī					prog12	durr1987preliminary																																																								
5	child	séʔé					jica11	durr1987preliminary																																																								
5	child	θèʔē					chay11	durr1987preliminary																																																								
8	cross-sex sibling	kú'ʔá	kúʔá	deleted stress mark			diux11	durr1987preliminary																																																								
8	cross-sex sibling	kúʔà					peno11	durr1987preliminary																																																								
8	cross-sex sibling	kʷàʔā					moli11	durr1987preliminary																																																								
8	cross-sex sibling	kʷàʔā					ocot11	durr1987preliminary																																																								
8	cross-sex sibling	kʷàʔā					atat11	durr1987preliminary																																																								
8	cross-sex sibling	kʷàʔā					gran11	durr1987preliminary																																																								
8	cross-sex sibling	kùʔā					xaya11	durr1987preliminary																																																								
8	cross-sex sibling	kūʔƀā					metl11	durr1987preliminary																																																								
8	cross-sex sibling	kʸàʔƀà					prog12	durr1987preliminary																																																								
8	cross-sex sibling	kùʔƀā					chay11	durr1987preliminary																																																								
9	brother of man	'ñànì	ñànì	deleted stress mark			diux11	durr1987preliminary																																																								
9	brother of man	ñàní					peno11	durr1987preliminary																																																								
9	brother of man	éní̧					coat11	durr1987preliminary																																																								
9	brother of man	ñānì					ocot11	durr1987preliminary																																																								
9	brother of man	ñānī					atat11	durr1987preliminary																																																								
9	brother of man	ñānì					gran11	durr1987preliminary																																																								
9	brother of man	ñāñī̧					caca11	durr1987preliminary																																																								
9	brother of man	ñānī					xaya11	durr1987preliminary																																																								
9	brother of man	ñànì					ayut11	durr1987preliminary																																																								
9	brother of man	yānī					metl11	durr1987preliminary																																																								
9	brother of man	ñānī					cahu11	durr1987preliminary																																																								
9	brother of man	ñànì					prog12	durr1987preliminary																																																								
10	sister of woman	kú'ʔú	kúʔú	deleted stress mark			diux11	durr1987preliminary																																																								
10	sister of woman	kúʔú					peno11	durr1987preliminary																																																								
10	sister of woman	kùʔù					moli11	durr1987preliminary																																																								
10	sister of woman	kùʔù					ocot11	durr1987preliminary																																																								
10	sister of woman	kùʔù					atat11	durr1987preliminary																																																								
10	sister of woman	kùʔù					gran11	durr1987preliminary																																																								
10	sister of woman	kùʔù					caca11	durr1987preliminary																																																								
10	sister of woman	kùʔù					xaya11	durr1987preliminary																																																								
10	sister of woman	kūʔwà					ayut11	durr1987preliminary																																																								
10	sister of woman	kūʔƀī					metl11	durr1987preliminary																																																								
10	sister of woman	kìʔƀì					prog12	durr1987preliminary																																																								
11	aunt	'đìđí	đìđí	deleted stress mark			diux11	durr1987preliminary																																																								
11	aunt	đìđí					peno11	durr1987preliminary																																																								
11	aunt	đíđí					coat11	durr1987preliminary																																																								
11	aunt	sīsì					moli11	durr1987preliminary																																																								
11	aunt	šīšì					ocot11	durr1987preliminary																																																								
11	aunt	sīsī					atat11	durr1987preliminary																																																								
11	aunt	šīì					gran11	durr1987preliminary																																																								
11	aunt	đīđì					caca11	durr1987preliminary																																																								
11	aunt	đīđī					xaya11	durr1987preliminary																																																								
11	aunt	šìšì					ayut11	durr1987preliminary																																																								
11	aunt	šīšī					metl11	durr1987preliminary																																																								
11	aunt	sīsī					cahu11	durr1987preliminary																																																								
