IDlist	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
6	child	seʔe		6336				acat11	josserand1983mixtec
6	child	seʔe		6337				achi11	josserand1983mixtec
6	child	đaʔa		6338				adeq11	josserand1983mixtec
6	child	θeʔe		6339				ahue11	josserand1983mixtec
6	child	saʔya		6340				alac11	josserand1983mixtec
6	child	seʔe		6341				alco11	josserand1983mixtec
6	child	đeʔe		6342				amat11	josserand1983mixtec
6	child	đaʔa		6343				apas11	josserand1983mixtec
6	child	đaʔa		6344				apoa11	josserand1983mixtec
6	child	sèʔē		6345				atat11	josserand1983mixtec
6	child	haʔyi		6346				aten11	josserand1983mixtec
6	child	seʔe		6347				atoy11	josserand1983mixtec
6	child	siʔɛ		6348				ayut11	josserand1983mixtec
6	child	sʸēʔɛ		6349				ayut11	josserand1983mixtec
6	child	seʔe		6350				brav11	josserand1983mixtec
6	child	đee		6351				caca11	josserand1983mixtec
6	child	seʔe		6352				cahu11	josserand1983mixtec
6	child	seʔe		6353				chal11	josserand1983mixtec
6	child	seʔe		6354				chay11	josserand1983mixtec
6	child	seʔe		6355				chay12	josserand1983mixtec
6	child	sɨʔɨ		6356				chay12	josserand1983mixtec
6	child	đeʔe		6357				chaz11	josserand1983mixtec
6	child	đaʔa		6358				chic11	josserand1983mixtec
6	child	đeʔe		6359				chig11	josserand1983mixtec
6	child	iʔa		6360				chig11	josserand1983mixtec
6	child	iʔi		6361				coat11	josserand1983mixtec
6	child	sèʔe		6362				coic11	josserand1983mixtec
6	child	seʔe		6363				colo11	josserand1983mixtec
6	child	đeʔe		6364				coso11	josserand1983mixtec
6	child	đaʔa		6365				coxc11	josserand1983mixtec
6	child	seʔe		6366				cris11	josserand1983mixtec
6	child	sèʔe		6367				cuat11	josserand1983mixtec
6	child	iʔža		6368				cuau11	josserand1983mixtec
6	child	đeʔe		6369				cuil11	josserand1983mixtec
6	child	iʔya		6370				cuya11	josserand1983mixtec
6	child	đaʔya		6371				diux11	josserand1983mixtec
6	child	seʔe		6372				dura11	josserand1983mixtec
6	child	θaʔži		6373				esta11	josserand1983mixtec
6	child	đaʔža		6374				este11	josserand1983mixtec
6	child	đeʔi		6375				flor11	josserand1983mixtec
6	child	sēʔe		6376				gran11	josserand1983mixtec
6	child	đèʔe		6377				guad11	josserand1983mixtec
6	child	seʔe		6378				huaz11	josserand1983mixtec
6	child	đaʔa		6379				huit11	josserand1983mixtec
6	child	seʔe		6380				itun11	josserand1983mixtec
6	child	haʔži		6381				ixpa11	josserand1983mixtec
6	child	seʔe		6382				ixta11	josserand1983mixtec
6	child	đaʔa		6383				ixta12	josserand1983mixtec
6	child	đee		6384				ixta13	josserand1983mixtec
6	child	đeʔi		6385				ixta13	josserand1983mixtec
6	child	seʔe		6386				jami11	josserand1983mixtec
6	child	đaʔa		6387				jate11	josserand1983mixtec
6	child	seʔe		6388				jica11	josserand1983mixtec
6	child	seʔe		6389				jica12	josserand1983mixtec
6	child	đaʔa		6390				joco11	josserand1983mixtec
6	child	seʔe		6391				juxt11	josserand1983mixtec
6	child	seʔe		6392				lore11	josserand1983mixtec
6	child	seʔe		6393				mech11	josserand1983mixtec
6	child	séʔē		6394				metl11	josserand1983mixtec
6	child	đee		6395				mica11	josserand1983mixtec
6	child	seʔe		6396				mixt11	josserand1983mixtec
6	child	sēʔe		6397				moli11	josserand1983mixtec
6	child	haʔya		6398				mont12	josserand1983mixtec
6	child	seʔe		6399				mont13	josserand1983mixtec
6	child	heʔe		6400				more11	josserand1983mixtec
6	child (female speaking)	đaʔa		6401				ndua11	josserand1983mixtec
6	child (male speaking)	saʔa		6402				ndua11	josserand1983mixtec
6	child	haʔži		6403				nuch11	josserand1983mixtec
6	child	seʔe		6404				nund12	josserand1983mixtec
6	child	seʔe		6405				nund13	josserand1983mixtec
6	child	seʔe		6406				nuti11	josserand1983mixtec
6	child	đaʔža		6407				nuxa11	josserand1983mixtec
6	child	đaʔa		6408				nuxi11	josserand1983mixtec
6	child	sèʔya		6409				nuyo11	josserand1983mixtec
6	child	seʔē		6410				ocot11	josserand1983mixtec
6	child	seʔe		6411				pena12	josserand1983mixtec
6	child	đéʔè		6412				peno11	josserand1983mixtec
6	child	đaʔža		6413				pied11	josserand1983mixtec
6	child	seʔe		6414				pino11	josserand1983mixtec
6	child	seʔe		6415				pino12	josserand1983mixtec
6	child	šiʔa		6416				prog11	josserand1983mixtec
6	child	haʔži		6417				prog12	josserand1983mixtec
6	child	saʔyi		6418				prom01	josserand1983mixtec
6	child	seʔe		6419				reye11	josserand1983mixtec
6	child	seʔe		6420				sayu11	josserand1983mixtec
6	child	đaʔža		6421				sind11	josserand1983mixtec
6	child	seʔe		6422				sini11	josserand1983mixtec
6	child	šeʔe		6423				sini11	josserand1983mixtec
6	child	đaʔa		6424				soya11	josserand1983mixtec
6	child	đaʔža		6425				tama11	josserand1983mixtec
6	child	θeʔi		6426				tama12	josserand1983mixtec
6	child	đaʔi		6427				tata11	josserand1983mixtec
6	child	seʔe		6428				teco11	josserand1983mixtec
6	child	đeʔe		6429				teit11	josserand1983mixtec
6	child	seʔe		6430				tejo11	josserand1983mixtec
6	child	siʔi		6431				tejo11	josserand1983mixtec
6	child	đeʔe		6432				tepe11	josserand1983mixtec
6	child	seʔe		6433				tepe12	josserand1983mixtec
6	child	đaʔya		6434				tepo11	josserand1983mixtec
6	child	đaʔa		6435				tida11	josserand1983mixtec
6	child	θaʔya		6436				tila11	josserand1983mixtec
6	child	saʔa		6437				tlac11	josserand1983mixtec
6	child	đeʔe		6438				tlal11	josserand1983mixtec
6	child	đaʔža		6439				tlaz11	josserand1983mixtec
6	child	đeʔe		6440				tona11	josserand1983mixtec
6	child	đeʔe		6441				toto12	josserand1983mixtec
6	child	seʔe		6442				tutu11	josserand1983mixtec
6	child	đeʔe		6443				xaya11	josserand1983mixtec
6	child	đèʔē		6444				xaya12	josserand1983mixtec
6	child	seʔe		6445				yolo11	josserand1983mixtec
6	child	seʔe		6446				yolo12	josserand1983mixtec
6	child	seʔe		6447				yoso11	josserand1983mixtec
6	child	seʔe		6448				yucu11	josserand1983mixtec
6	child	sèʔyā		6449				yucu12	josserand1983mixtec
6	child	hèʔē		6450				yucu13	josserand1983mixtec
6	child	sèʔē		6451				yucu15	josserand1983mixtec
6	child (of male)	đeʔi		6452				yucu16	josserand1983mixtec
6	child (of female)	seʔe		6453				yucu16	josserand1983mixtec
6	child	đaʔa		6454				yuta11	josserand1983mixtec
6	child	đaʔža		6455				yuta12	josserand1983mixtec
6	child	seʔe		6456				zaca11	josserand1983mixtec
6	child	đeʔe		6457				zapo11	josserand1983mixtec
9	man's brother	ña̡ñi̡		6458				acat11	josserand1983mixtec
9	man's brother	ña̡ni̡		6459				achi11	josserand1983mixtec
9	man's brother	ña̡ni̡		6460				adeq11	josserand1983mixtec
9	man's brother	ña̡ni̡		6461				ahue11	josserand1983mixtec
9	man's brother	ña̡ni̡		6462				alac11	josserand1983mixtec
9	man's brother	ya̡ni̡		6463				alac11	josserand1983mixtec
9	man's brother	ña̡ni̡		6464				alco11	josserand1983mixtec
9	man's brother	ña̡ni̡		6465				amat11	josserand1983mixtec
9	man's brother	ña̡ni̡		6466				apas11	josserand1983mixtec
9	man's brother	ⁿdi-ya̡ni̡	ya̡ni̡	6467				apoa11	josserand1983mixtec
9	man's brother	ša̡ni̡		6468				apoa11	josserand1983mixtec
9	man's brother	ña̡ni̡		6469				atat11	josserand1983mixtec
9	man's brother	ña̡ni̡		6470				aten11	josserand1983mixtec
9	man's brother	ya̡ni̡		6471				atoy11	josserand1983mixtec
9	man's brother	ña̡ni̡		6472				ayut11	josserand1983mixtec
9	man's brother	ña̡ni̡		6473				brav11	josserand1983mixtec
9	man's brother	ña̡ni̡		6474				caca11	josserand1983mixtec
9	man's brother	ña̡ni̡		6475				cahu11	josserand1983mixtec
9	man's brother	ña̡ni̡		6476				chal11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6477				chay11	josserand1983mixtec
9	man's brother	ña̡ni̡		6478				chay12	josserand1983mixtec
9	man's brother	ña̡ni̡		6479				chaz11	josserand1983mixtec
9	man's brother	ša̡ni̡(-ni̡)	ša̡ni	6480				chic11	josserand1983mixtec
9	man's brother	ña̡ni̡		6481				chig11	josserand1983mixtec
9	man's brother	e̡ni̡		6482				coat11	josserand1983mixtec
9	man's brother	ña̡ni̡		6483				coic11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6484				colo11	josserand1983mixtec
9	man's brother	ña̡ni̡		6485				coso11	josserand1983mixtec
9	man's brother	ña̡ni̡		6486				coxc11	josserand1983mixtec
9	man's brother	ya̡ñu̡		6487				cris11	josserand1983mixtec
9	man's brother	ža̡ñu̡		6488				cris11	josserand1983mixtec
9	man's brother	ña̡ni̡		6489				cuat11	josserand1983mixtec
9	man's brother	ža̡ni̡		6490				cuau11	josserand1983mixtec
9	man's brother	ña̡ni̡		6491				cuil11	josserand1983mixtec
9	man's brother	ya̡ni̡		6492				cuya11	josserand1983mixtec
9	man's brother	ña̡ni̡		6493				dura11	josserand1983mixtec
9	man's brother	ña̡ni̡		6494				esta11	josserand1983mixtec
9	man's brother	ña̡ni̡		6495				este11	josserand1983mixtec
9	man's brother	ña̡ni̡		6496				flor11	josserand1983mixtec
9	man's brother	ña̡nī̡		6497				gran11	josserand1983mixtec
9	man's brother	ña̡ni̡		6498				guad11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6499				huaz11	josserand1983mixtec
9	man's brother	ña̡ni̡		6500				huit11	josserand1983mixtec
9	man's brother	y̡a̡ni̡		6501				huit11	josserand1983mixtec
9	man's brother	ye̡ni̡		6502				itun11	josserand1983mixtec
9	man's brother	ña̡ñi̡		6503				ixta11	josserand1983mixtec
9	man's brother	ña̡ni̡		6504				ixta12	josserand1983mixtec
9	man's brother	ña̡ni̡		6505				ixta13	josserand1983mixtec
9	man's brother	ya̡ñi̡		6506				jami11	josserand1983mixtec
9	man's brother	ya̡ni̡		6507				jica11	josserand1983mixtec
9	man's brother	ya̡ni̡		6508				jica12	josserand1983mixtec
9	man's brother	ša̡ni̡-đa	ša̡ni̡	6509				joco11	josserand1983mixtec
9	man's brother	ña̡ni̡		6510				juxt11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6511				lore11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6512				mech11	josserand1983mixtec
9	man's brother	ña̡ni̡		6513				mica11	josserand1983mixtec
9	man's brother	ña̡ni̡		6514				mixt11	josserand1983mixtec
9	man's brother	ña̡ni̡		6515				moli11	josserand1983mixtec
9	man's brother	ña̡ni̡		6516				mont13	josserand1983mixtec
9	man's brother	ña̡ni̡		6517				mont14	josserand1983mixtec
9	man's brother	ña̡ni̡		6518				more11	josserand1983mixtec
9	man's brother	ša̡ni̡		6519				ndua11	josserand1983mixtec
9	man's brother	ña̡ni̡		6520				nuch11	josserand1983mixtec
9	man's brother	kʷaʔni		6521				nund11	josserand1983mixtec
9	man's brother	ña̡ni̡		6522				nund12	josserand1983mixtec
9	man's brother	ña̡ni̡		6523				nund13	josserand1983mixtec
9	man's brother	ña̡ni̡		6524				nuxa11	josserand1983mixtec
9	man's brother	ña̡ni̡		6525				nuxi11	josserand1983mixtec
9	man's brother	ñā̡nī̡		6526				nuyo11	josserand1983mixtec
9	man's brother	ñā̡nì̡		6527				ocot11	josserand1983mixtec
9	man's brother	ña̡ni̡		6528				pena12	josserand1983mixtec
9	man's brother	ña̡̡ni̡̡		6529				peno11	josserand1983mixtec
9	man's brother	ña̡ni̡		6530				pied11	josserand1983mixtec
9	man's brother	ya̡ni̡		6531				pino11	josserand1983mixtec
9	man's brother	ya̡ni̡		6532				pino12	josserand1983mixtec
9	man's brother	ña̡ni̡		6533				prog11	josserand1983mixtec
9	man's brother	ña̡ni̡		6534				prog12	josserand1983mixtec
9	man's brother	yeni		6535				prom01	josserand1983mixtec
9	man's brother	ña̡ni̡		6536				reye11	josserand1983mixtec
9	man's brother	ya̡ñi̡		6537				sayu11	josserand1983mixtec
9	man's brother	ña̡ni̡		6538				sind11	josserand1983mixtec
9	man's brother	ña̡ni̡		6539				sini11	josserand1983mixtec
9	man's brother	ña̡ni̡		6540				soya11	josserand1983mixtec
9	man's brother	ña̡ni̡		6541				tama11	josserand1983mixtec
9	man's brother	ña̡ni̡		6542				tama12	josserand1983mixtec
9	man's brother	ña̡ni̡		6543				tata11	josserand1983mixtec
9	man's brother	ñā̡ñī̡(-ī̡)	ñā̡ñī̡	6544				teco11	josserand1983mixtec
9	man's brother	ña̡ni̡		6545				teit11	josserand1983mixtec
9	man's brother	ña̡ni̡		6546				tepe11	josserand1983mixtec
9	man's brother	ña̡ni̡		6547				tepe12	josserand1983mixtec
9	man's brother	ña̡ni̡		6548				tepo11	josserand1983mixtec
9	man's brother	ña̡ni̡		6549				tida11	josserand1983mixtec
9	man's brother	ña̡ni̡		6550				tila11	josserand1983mixtec
9	man's brother	ỹa̡ni̡		6551				tila11	josserand1983mixtec
9	man's brother	ña̡ni̡		6552				tlac11	josserand1983mixtec
9	man's brother	ña̡ni̡		6553				tlac12	josserand1983mixtec
9	man's brother	ña̡ni̡		6554				tlal11	josserand1983mixtec
9	man's brother	ña̡ni̡		6555				tlaz11	josserand1983mixtec
9	man's brother	ña̡ni̡		6556				tona11	josserand1983mixtec
9	man's brother	ña̡ni̡		6557				toto12	josserand1983mixtec
9	man's brother	ña̡ñi̡		6558				tutu11	josserand1983mixtec
9	man's brother	ña̡ni̡		6559				xaya11	josserand1983mixtec
9	man's brother	ñā̡nī̡		6560				xaya12	josserand1983mixtec
9	man's brother	ña̡ni̡		6561				yolo11	josserand1983mixtec
9	man's brother	ña̡ni̡		6562				yolo12	josserand1983mixtec
9	man's brother	ña̡ni̡		6563				yoso11	josserand1983mixtec
9	man's brother	ña̡ni̡		6564				yucu11	josserand1983mixtec
9	man's brother	ñà̡nī̡		6565				yucu12	josserand1983mixtec
9	man's brother	ña̡ni̡		6566				yucu13	josserand1983mixtec
9	man's brother	žā̡nì̡		6567				yucu15	josserand1983mixtec
9	man's brother	ña̡ni̡		6568				yucu16	josserand1983mixtec
9	man's brother	ña̡ni̡		6569				zaca11	josserand1983mixtec
9	man's brother	ña̡ni̡		6570				zapo11	josserand1983mixtec
13	man	ra-yɨɨ		6571				acat11	josserand1983mixtec
13	man	te-žii		6572				achi11	josserand1983mixtec
13	man	ȼee		6573				adeq11	josserand1983mixtec
13	man	tàā		6574				ahue11	josserand1983mixtec
13	man	taa		6575				alac11	josserand1983mixtec
13	man	taa		6576				alco11	josserand1983mixtec
13	man	ta-čaa		6577				amat11	josserand1983mixtec
13	man	čee		6578				apas11	josserand1983mixtec
13	man	tʸee		6579				apas11	josserand1983mixtec
13	man	čee		6580				apoa11	josserand1983mixtec
13	man	tēe		6581				atat11	josserand1983mixtec
13	man	tʸaa		6582				aten11	josserand1983mixtec
13	man	rai		6583				atoy11	josserand1983mixtec
13	man	tʸāa		6584				ayut11	josserand1983mixtec
13	man	taa		6585				brav11	josserand1983mixtec
13	man	te-ʔii		6586				caca11	josserand1983mixtec
13	man	taa		6587				cahu11	josserand1983mixtec
13	man	čaa		6588				chal11	josserand1983mixtec
13	man	ra-yɨɨ		6589				chay11	josserand1983mixtec
13	man	tʸaa		6590				chay12	josserand1983mixtec
13	man	tʸaa		6591				chaz11	josserand1983mixtec
13	man	tʸee		6592				chic11	josserand1983mixtec
13	man	ti-ii		6593				chig11	josserand1983mixtec
13	man	ña-tii		6594				coat11	josserand1983mixtec
13	man	tʸàa		6595				coic11	josserand1983mixtec
13	man	ra-yɨɨ		6596				colo11	josserand1983mixtec
