IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
5	hijo	sàʔjí					prom01	swanton2020observaciones																																																								
5	hijo	se¹ʔe³					alco11	swanton2020observaciones																																																								
5	hijo	se²ʔe²¹					zaca11	swanton2020observaciones																																																								
5	hijo	se¹ʔe²					chal11	swanton2020observaciones																																																								
5	hijo	θe¹ʔe²					yucu16	swanton2020observaciones																																																								
9	hermano de hombre	jénì					prom01	swanton2020observaciones																																																								
9	hermano de hombre	ɲa³ni²					alco11	swanton2020observaciones																																																								
9	hermano de hombre	ja²ni²					zaca11	swanton2020observaciones																																																								
9	hermano de hombre	ɲa²ni¹					chal11	swanton2020observaciones																																																								
9	hermano de hombre	ɲa²ni²					yucu16	swanton2020observaciones																																																								
17	sangre	nɨ̀jɨ̀ʔ					prom01	swanton2020observaciones																																																								
17	sangre	ni¹i⁴					alco11	swanton2020observaciones																																																								
17	sangre	ni²i²¹ʔ					zaca11	swanton2020observaciones																																																								
17	sangre	nɨ²ɲɨ¹+³					chal11	swanton2020observaciones																																																								
17	sangre	ɲi¹i¹		tipo I			yucu16	swanton2020observaciones																																																								
19	pelo	ísíʔ					prom01	swanton2020observaciones																																																								
19	pelo	i³ʃi⁴					alco11	swanton2020observaciones																																																								
19	pelo	i²ʃi²ʔ					zaca11	swanton2020observaciones																																																								
19	pelo	i²ʃi²+³					chal11	swanton2020observaciones																																																								
19	pelo	i³θi¹		tipo I			yucu16	swanton2020observaciones																																																								
21	lengua	ʔ-jààʔ					prom01	swanton2020observaciones																																																								
21	lengua	ja⁴¹a⁴					alco11	swanton2020observaciones																																																								
21	lengua	ja¹a¹ʔ					zaca11	swanton2020observaciones																																																								
21	lengua	ja³a²+³					chal11	swanton2020observaciones																																																								
21	lengua	ja³a¹					yucu16	swanton2020observaciones																																																								
23	boca, borde	júʔúʔ					prom01	swanton2020observaciones																																																								
23	boca, borde	ju³ʔu⁴					alco11	swanton2020observaciones																																																								
23	boca, borde	ju²ʔu²ʔ					zaca11	swanton2020observaciones																																																								
23	boca, borde	ju²u²+³					chal11	swanton2020observaciones																																																								
23	boca, borde	jy³y¹		tipo I			yucu16	swanton2020observaciones																																																								
28	uña	ʔ-tìjĩ̀ʔ					prom01	swanton2020observaciones																																																								
28	uña	ʧi⁴¹ĩ⁴					alco11	swanton2020observaciones																																																								
28	uña	ti¹ĩ¹ʔ					zaca11	swanton2020observaciones																																																								
28	uña	ti³i²+³					chal11	swanton2020observaciones																																																								
28	uña	ʧi³ĩ¹					yucu16	swanton2020observaciones																																																								
36	grano	ⁿdɨ̀ʔjɨ́					prom01	swanton2020observaciones																																																								
36	grano	ⁿdi¹ʔi³					alco11	swanton2020observaciones																																																								
36	grano	ⁿdi²ʔi²¹					zaca11	swanton2020observaciones																																																								
36	grano	ⁿdi¹ʔi²					chal11	swanton2020observaciones																																																								
40	huarache	ⁿdìxẽ̀ʔ					prom01	swanton2020observaciones																																																								
40	huarache	ⁿdi¹ʃã⁴					alco11	swanton2020observaciones																																																								
40	huarache	ⁿdi²ʧã²¹ʔ					zaca11	swanton2020observaciones																																																								
40	huarache	ⁿdi²xa¹+³					chal11	swanton2020observaciones																																																								
40	huarache	ⁿdy¹sa¹					yucu16	swanton2020observaciones																																																								
42	huipil	sìkõ̀					prom01	swanton2020observaciones																																																								
42	huipil	ʃi¹kũ¹					alco11	swanton2020observaciones																																																								
42	huipil	ʃi²kũ²¹					zaca11	swanton2020observaciones																																																								
42	huipil	θi¹ko¹					chal11	swanton2020observaciones																																																								
43	pueblo	júũ̀̀					prom01	swanton2020observaciones																																																								
43	pueblo	ɲu³u²					alco11	swanton2020observaciones																																																								
43	pueblo	ɲu²u²					zaca11	swanton2020observaciones																																																								
43	pueblo	ɲu²u¹					chal11	swanton2020observaciones																																																								
43	pueblo	ɲo²o²					yucu16	swanton2020observaciones																																																								
45	camino	ítíʔ					prom01	swanton2020observaciones																																																								
45	camino	i³ʧi⁴					alco11	swanton2020observaciones																																																								
45	camino	i²ti²ʔ					zaca11	swanton2020observaciones																																																								
45	camino	i²ʧi²+³					chal11	swanton2020observaciones																																																								
45	camino	i³ʧi¹		tipo I			yucu16	swanton2020observaciones																																																								
47	petate	júwíʔ					prom01	swanton2020observaciones																																																								
47	petate	i³bi⁴					alco11	swanton2020observaciones																																																								
47	petate	ju²bi²ʔ					zaca11	swanton2020observaciones																																																								
47	petate	ju²ʔu²+³					chal11	swanton2020observaciones																																																								
50	animal	kɨ́tɨ́ʔ					prom01	swanton2020observaciones																																																								
50	animal	ki³ti⁴					alco11	swanton2020observaciones																																																								
50	animal	ki²ti²ʔ					zaca11	swanton2020observaciones																																																								
50	animal	kɨ²tɨ²+³					chal11	swanton2020observaciones																																																								
50	animal	ki³ti¹		tipo I			yucu16	swanton2020observaciones																																																								
208	cuándo	áwã́					prom01	swanton2020observaciones																																																								
208	cuándo	a³ma³					alco11	swanton2020observaciones																																																								
208	cuándo	a²ma²					zaca11	swanton2020observaciones																																																								
208	cuándo	te²=a²ma²					chal11	swanton2020observaciones																																																								
58	chapulín	tɨ¹-íkà²					prom01	swanton2020observaciones																																																								
58	chapulín	ti²ka²					alco11	swanton2020observaciones																																																								
58	chapulín	ti²ka¹					zaca11	swanton2020observaciones																																																								
58	chapulín	tɨ¹ka²					chal11	swanton2020observaciones																																																								
58	chapulín	ti¹ka²					yucu16	swanton2020observaciones																																																								
62	ardilla	(ⁿdí)=(ʔ²)-kʷéjṍ					prom01	swanton2020observaciones																																																								
62	ardilla	ⁿdi³=kʷa⁴ɲu³	ⁿdi³-kʷa⁴ɲu³				alco11	swanton2020observaciones																																																								
62	ardilla	kʷa²ɲu²					zaca11	swanton2020observaciones																																																								
62	ardilla	kʷa³ɲu²					chal11	swanton2020observaciones																																																								
62	ardilla	ⁿdi²=kʷi³ĩ³	ⁿdi²-kʷi³ĩ³	tono inesperado			yucu16	swanton2020observaciones																																																								
68	perro	(tɨ¹-)ínà²	tɨ¹-ínà²	animal-dog			prom01	swanton2020observaciones																																																								
68	perro	ti²na²	t-i²na²	animal-dog			alco11	swanton2020observaciones																																																								
68	perro	i²na²					zaca11	swanton2020observaciones																																																								
68	perro	i²na¹					chal11	swanton2020observaciones																																																								
68	perro	ti¹na²	t-i¹na²	animal-dog			yucu16	swanton2020observaciones																																																								
77	pluma	ᴮ-tówĩ̀					prom01	swanton2020observaciones																																																								
77	pluma	tu²mi²					alco11	swanton2020observaciones																																																								
77	pluma	tu²mi¹					zaca11	swanton2020observaciones																																																								
77	pluma	tu¹ũ²					chal11	swanton2020observaciones																																																								
77	pluma	tu¹mi²					yucu16	swanton2020observaciones																																																								
80	árbol	jútṹʔ					prom01	swanton2020observaciones																																																								
80	árbol	i³tũ⁴					alco11	swanton2020observaciones																																																								
80	árbol	ju²tũ²ʔ					zaca11	swanton2020observaciones																																																								
80	árbol	ju²nu²+³					chal11	swanton2020observaciones																																																								
80	árbol	ji³to¹		tipo I			yucu16	swanton2020observaciones																																																								
81	hierba	jùkù					prom01	swanton2020observaciones																																																								
81	hierba	i¹ku¹					alco11	swanton2020observaciones																																																								
81	hierba	ju²ku²¹					zaca11	swanton2020observaciones																																																								
81	hierba	ju²ku¹					chal11	swanton2020observaciones																																																								
81	hierba	jy¹ky¹					yucu16	swanton2020observaciones																																																								
82	pasto	ítè					prom01	swanton2020observaciones																																																								
82	pasto	i³ca²					alco11	swanton2020observaciones																																																								
82	pasto	i²ta²					zaca11	swanton2020observaciones																																																								
82	pasto	i²ʧa¹					chal11	swanton2020observaciones																																																								
82	pasto	i²ta²					yucu16	swanton2020observaciones																																																								
83	flor	ítà					prom01	swanton2020observaciones																																																								
83	flor	i³ta²					alco11	swanton2020observaciones																																																								
83	flor	i²ta²					zaca11	swanton2020observaciones																																																								
83	flor	i²ta¹					chal11	swanton2020observaciones																																																								
83	flor	i²ta²					yucu16	swanton2020observaciones																																																								
86	espina	íjṍʔ					prom01	swanton2020observaciones																																																								
86	espina	i³ɲu⁴					alco11	swanton2020observaciones																																																								
86	espina	i²ɲu²ʔ					zaca11	swanton2020observaciones																																																								
86	espina	i²ɲu²+³					chal11	swanton2020observaciones																																																								
86	espina	i³õ¹		tipo I			yucu16	swanton2020observaciones																																																								
87	maíz	nònìʔ					prom01	swanton2020observaciones																																																								
87	maíz	nu¹ni⁴					alco11	swanton2020observaciones																																																								
87	maíz	nu²ni²¹ʔ					zaca11	swanton2020observaciones																																																								
87	maíz	nu²ni¹+³					chal11	swanton2020observaciones																																																								
87	maíz	no¹ni¹					yucu16	swanton2020observaciones																																																								
90	nixtamal	ʔ-xáʔà					prom01	swanton2020observaciones																																																								
90	nixtamal	ʃa⁴ʔa²					alco11	swanton2020observaciones																																																								
90	nixtamal	ʧa²ʔa³					zaca11	swanton2020observaciones																																																								
90	nixtamal	nu²ni¹+xa³ʔa³	xa³ʔa³	maíz+nixtamal			chal11	swanton2020observaciones																																																								
98	chile	jáʔáʔ					prom01	swanton2020observaciones																																																								
98	chile	ja³ʔa⁴					alco11	swanton2020observaciones																																																								
98	chile	ja²ʔa²ʔ					zaca11	swanton2020observaciones																																																								
98	chile	ja²ʔa²+³					chal11	swanton2020observaciones																																																								
98	chile	ja³ʔa¹		tipo I			yucu16	swanton2020observaciones																																																								
104	manteca	(ᴮ)-séʔẽ̀					prom01	swanton2020observaciones																																																								
104	manteca	ʃa²ʔã²					alco11	swanton2020observaciones																																																								
104	manteca	ʃa²ʔã²					zaca11	swanton2020observaciones																																																								
104	manteca	ʃa¹ʔã²					chal11	swanton2020observaciones																																																								
104	manteca	θa¹ʔa²					yucu16	swanton2020observaciones																																																								
105	huevo	ⁿdɨ̀wìʔ					prom01	swanton2020observaciones																																																								
105	huevo	ⁿdi¹bi⁴					alco11	swanton2020observaciones																																																								
105	huevo	ⁿdi²bi²¹ʔ					zaca11	swanton2020observaciones																																																								
105	huevo	ⁿdɨ²u¹+³					chal11	swanton2020observaciones																																																								
105	huevo	ⁿdy¹y¹					yucu16	swanton2020observaciones																																																								
107	camote	jáʔwĩ 					prom01	swanton2020observaciones																																																								
107	camote	ɲa³ʔmi²					alco11	swanton2020observaciones																																																								
107	camote	ɲa²ʔmi²					zaca11	swanton2020observaciones																																																								
107	camote	ɲa²ʔmi¹					chal11	swanton2020observaciones																																																								
107	camote	ɲa²ʔmi²					yucu16	swanton2020observaciones																																																								
114	carne	(ᴮ)-kójõ̀					prom01	swanton2020observaciones																																																								
114	carne	ku²ɲu²					alco11	swanton2020observaciones																																																								
114	carne	ku²ɲu²					zaca11	swanton2020observaciones																																																								
114	carne	ku¹ɲu²					chal11	swanton2020observaciones																																																								
114	carne	kɥi¹ĩ²					yucu16	swanton2020observaciones																																																								
115	comal	xìjòʔ					prom01	swanton2020observaciones																																																								
115	comal	ʃi¹jo⁴					alco11	swanton2020observaciones																																																								
115	comal	ʧi²jo²¹ʔ					zaca11	swanton2020observaciones																																																								
115	comal	ʃo²o¹+³					chal11	swanton2020observaciones																																																								
115	comal	ʃo¹o¹					yucu16	swanton2020observaciones																																																								
116	olla	kɨ̀sɨ́					prom01	swanton2020observaciones																																																								
116	olla	ki¹si³					alco11	swanton2020observaciones																																																								
116	olla	ki²si²¹					zaca11	swanton2020observaciones																																																								
116	olla	kɨ¹sɨ²					chal11	swanton2020observaciones																																																								
116	olla	ki¹θi²					yucu16	swanton2020observaciones																																																								
117	horno	xìtũ̀̀					prom01	swanton2020observaciones																																																								
117	horno	ʃi¹tũ¹					alco11	swanton2020observaciones																																																								
117	horno	ʧi²tũ²¹					zaca11	swanton2020observaciones																																																								
117	horno	xi²nu¹					chal11	swanton2020observaciones																																																								
117	horno	ʃi¹to¹					yucu16	swanton2020observaciones																																																								
121	humo	jùʔwẽ̀					prom01	swanton2020observaciones																																																								
121	humo	i¹ʔma¹					alco11	swanton2020observaciones																																																								
121	humo	ɲu²ʔma²¹					zaca11	swanton2020observaciones																																																								
121	humo	ɲu²ʔma¹					chal11	swanton2020observaciones																																																								
121	humo	ni¹ʔma¹					yucu16	swanton2020observaciones																																																								
124	jícara	jéxĩ́ʔ					prom01	swanton2020observaciones																																																								
124	jícara	ja³ʃĩ⁴					alco11	swanton2020observaciones																																																								
124	jícara	ja²ʧĩ²ʔ					zaca11	swanton2020observaciones																																																								
124	jícara	ja²ʃĩ²+³					chal11	swanton2020observaciones																																																								
124	jícara	ja³ʃi¹		tipo I			yucu16	swanton2020observaciones																																																								
127	hilo	jùʔwè					prom01	swanton2020observaciones																																																								
127	hilo	i¹ʔba¹					alco11	swanton2020observaciones																																																								
127	hilo	ju²ʔba²¹					zaca11	swanton2020observaciones																																																								
