IDlist,GLOSS,VALUE,FORM,ID,NOTES,LOAN,LOAN_SOURCE,DOCULECT,SOURCE
1,madre,si'³i⁴,,173,,,,yolo11,amith2020yoloxochitl
2,mamá!,$,,,,,,yolo11,amith2020yoloxochitl
3,padre,yu³ba⁴,,174,,,,yolo11,amith2020yoloxochitl
4,papá!,$,,,,,,yolo11,amith2020yoloxochitl
5,hijo/hija,se'¹e³,,175,,,,yolo11,amith2020yoloxochitl
6,hijo,$,,,,,,yolo11,amith2020yoloxochitl
7,hija,$,,,,,,yolo11,amith2020yoloxochitl
8,hermana/hermano de otro genero,ku'¹ba³,,176,check with Jonathan about exact meaning,,,yolo11,amith2020yoloxochitl
9,hermano de hombre,ya³ni²,,177,check with Jonathan about exact meaning,,,yolo11,amith2020yoloxochitl
10,hermana de mujer,ku'¹bi¹,,178,check with Jonathan about exact meaning,,,yolo11,amith2020yoloxochitl
11,tía,xi³xi²,,179,,,,yolo11,amith2020yoloxochitl
12,tío,xi³to²,,180,,,,yolo11,amith2020yoloxochitl
13,hombre,ta¹a³,,181,,,,yolo11,amith2020yoloxochitl
14,mujer,ña'³a⁴,,182,,,,yolo11,amith2020yoloxochitl
15,dueño,is¹to'³o²,,183,,,,yolo11,amith2020yoloxochitl
16,sacerdote,su¹tu¹,,184,,,,yolo11,amith2020yoloxochitl
17,sangre,ni¹i⁴,,185,,,,yolo11,amith2020yoloxochitl
18,hueso,i³ki⁴,,186,,,,yolo11,amith2020yoloxochitl
19,cabello,i³xi⁴,,187,,,,yolo11,amith2020yoloxochitl
20,cara,nu¹⁴u³,,188,,,,yolo11,amith2020yoloxochitl
21,lengua,ya⁴a²⁴,,189,,,,yolo11,amith2020yoloxochitl
22,diente,nu'¹u³,,190,,,,yolo11,amith2020yoloxochitl
23,boca,yu'³u⁴,,191,,,,yolo11,amith2020yoloxochitl
24,oreja,so'¹o³,,192,de un animal,,,yolo11,amith2020yoloxochitl
25,nariz,is¹tin⁴,,193,,,,yolo11,amith2020yoloxochitl
26,cuello,su¹kun⁴,,194,,,,yolo11,amith2020yoloxochitl
27,mano,nda'³a⁴,,195,,,,yolo11,amith2020yoloxochitl
28,uña,chi⁴in²⁴,,196,,,,yolo11,amith2020yoloxochitl
29,espalda,sa¹ta⁴,,197,,,,yolo11,amith2020yoloxochitl
30,barriga,ti¹xin³,,198,,,,yolo11,amith2020yoloxochitl
31,"tripa, tripas",si³ti²,,199,,,,yolo11,amith2020yoloxochitl
32,pie,xa'¹a⁴,,200,,,,yolo11,amith2020yoloxochitl
33,enfermedad,kwe'¹e¹,,201,,,,yolo11,amith2020yoloxochitl
34,medicina,ta¹tan⁴,,202,,,,yolo11,amith2020yoloxochitl
35,hinchazón,kwi³ñu³,,203,,,,yolo11,amith2020yoloxochitl
36,grano pequeño,ndi'¹i³,,204,also: granos de la piel,,,yolo11,amith2020yoloxochitl
36,grano relativamente grande,ndu¹xa¹,,205,also: grano de la piel,,,yolo11,amith2020yoloxochitl
37,"pus, materia",nda³kwa⁴,,206,,,,yolo11,amith2020yoloxochitl
38,orina,$,,,,,,yolo11,amith2020yoloxochitl
39,servilleta,sa'³ma⁴,,207,,,,yolo11,amith2020yoloxochitl
40,huarache,ndi¹xan⁴,,208,,,,yolo11,amith2020yoloxochitl
41,pantalón,$,,,,,,yolo11,amith2020yoloxochitl
42,huipil,xi¹kun¹,,209,,,,yolo11,amith2020yoloxochitl
43,pueblo,ñu³u²,,210,,,,yolo11,amith2020yoloxochitl
44,casa,be'³e³,,211,,,,yolo11,amith2020yoloxochitl
45,camino,i³chi⁴,,212,,,,yolo11,amith2020yoloxochitl
46,horcón,tu⁴-si'¹in¹,tu⁴-si'¹in¹,213,wood-horqueta,,,yolo11,amith2020yoloxochitl
47,petate,yu³bi⁴,,214,,,,yolo11,amith2020yoloxochitl
48,cama,is¹to³,,215,,,,yolo11,amith2020yoloxochitl
49,silla,ta³yu²,,216,,,,yolo11,amith2020yoloxochitl
