IDlist	CATEGORY	GLOSS	VALUE	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
1	kinship	mother	nanà	20584				yucu17	salazar2020yucunani
2	kinship	mother!, mom!	máá	20585		yes	Spanish	yucu17	salazar2020yucunani
3	kinship	father	tatà	20586		yes	Spanish	yucu17	salazar2020yucunani
4	kinship	father!, dad!	páá	20587		yes	Spanish	yucu17	salazar2020yucunani
5	kinship	son/daughter, child	sè'e	20588				yucu17	salazar2020yucunani
6	kinship	son	$					yucu17	salazar2020yucunani
7	kinship	daughter	$					yucu17	salazar2020yucunani
8	kinship	cross-sex sibling	kuà'a	20589				yucu17	salazar2020yucunani
9	kinship	brother of man	ñanì	20590				yucu17	salazar2020yucunani
10	kinship	sister of woman	kù'ù 	20591				yucu17	salazar2020yucunani
11	kinship	aunt	xitò	20592				yucu17	salazar2020yucunani
12	kinship	uncle	xixì	20593				yucu17	salazar2020yucunani
13	person	man	ña'á	20594				yucu17	salazar2020yucunani
14	person	woman	chàa	20595				yucu17	salazar2020yucunani
15	person	owner, boss	sto'ò	20596				yucu17	salazar2020yucunani
16	person	priest	sùtù	20597				yucu17	salazar2020yucunani
17	body	blood	nìí	20598				yucu17	salazar2020yucunani
18	body	bone	kiché'é	20599				yucu17	salazar2020yucunani
19	body	hair	ixǐ	20600				yucu17	salazar2020yucunani
20	body	face	nùú	20601				yucu17	salazar2020yucunani
21	body	tongue	yaǎ	20602				yucu17	salazar2020yucunani
22	body	tooth	nù'u	20603				yucu17	salazar2020yucunani
23	body	mouth	yu'ú	20604				yucu17	salazar2020yucunani
24	body	ear	sò'o	20605				yucu17	salazar2020yucunani
25	body	nose	xìchǐ	20606				yucu17	salazar2020yucunani
26	body	neck	sùkǔ	20607				yucu17	salazar2020yucunani
27	body	hand	nta'á	20608				yucu17	salazar2020yucunani
28	body	fingernail	chíǐn	20609				yucu17	salazar2020yucunani
29	body	back	sàtǎ	20610				yucu17	salazar2020yucunani
30	body	stomach, belly	tìtsi	20611				yucu17	salazar2020yucunani
31	body	tripe	tsitì	20612				yucu17	salazar2020yucunani
32	body	foot	tsà'ǎ	20613				yucu17	salazar2020yucunani
33	body	disease, illness, sickness	kuè'è	20614				yucu17	salazar2020yucunani
34	body	medicine, remedy	tàtǎ 	20615				yucu17	salazar2020yucunani
35	body	swelling	nìkǎa	20616				yucu17	salazar2020yucunani
36	body	pimple	ntì'i	20617				yucu17	salazar2020yucunani
37	body	pus	ntakuǎ	20618				yucu17	salazar2020yucunani
38	body	urine	lálá	20619				yucu17	salazar2020yucunani
39	clothing	cloth	télà	20620		yes	Spanish	yucu17	salazar2020yucunani
39		clothes	sa'mǎ	20621				yucu17	salazar2020yucunani
40	clothing	sandal, footwear	ntsìtsǎ	20622				yucu17	salazar2020yucunani
41	clothing	pants	tsatù	20623				yucu17	salazar2020yucunani
42	clothing	blouse, woven blouse	sa'mǎ	20624	same as clothes			yucu17	salazar2020yucunani
43	living	village, town	ñuù	20625				yucu17	salazar2020yucunani
44	living	house	ve'e	20626				yucu17	salazar2020yucunani
45	living	path, road, trail	ichǐ	20627				yucu17	salazar2020yucunani
46	living	house post	sì'ìn	20628				yucu17	salazar2020yucunani
47	living	mat, sleeping mat, straw mat	yuvǐ	20629				yucu17	salazar2020yucunani
48	living	bed	tsìto	20630				yucu17	salazar2020yucunani
49	living	stool, chair	chaì	20631				yucu17	salazar2020yucunani
50	animal	animal	kitǐ	20632				yucu17	salazar2020yucunani
51	animal	bird	saà	20633				yucu17	salazar2020yucunani
52	animal	fish	chakǎ	20634				yucu17	salazar2020yucunani
53	animal	snake	kòó	20635				yucu17	salazar2020yucunani
54	animal	frog	sa'và	20636				yucu17	salazar2020yucunani
55	animal	hawk	xí'an	20637				yucu17	salazar2020yucunani
56	animal	scorpion	tìsu'mà	20638				yucu17	salazar2020yucunani
57	animal	cockroach	ntiché'é	20639				yucu17	salazar2020yucunani
58	animal	grasshopper	tìka	20640				yucu17	salazar2020yucunani
59	animal	bee	ñùñǔ	20641				yucu17	salazar2020yucunani
60	animal	mouse	tǐ'in	20642				yucu17	salazar2020yucunani
61	animal	deer	isù	20643				yucu17	salazar2020yucunani
62	animal	squirrel	ntikuáin	20644				yucu17	salazar2020yucunani
63	animal	skunk	tǐ'in ità	20645				yucu17	salazar2020yucunani
64	animal	(o)possum	tsóko	20646				yucu17	salazar2020yucunani
65	animal	raccoon	má'à	20647				yucu17	salazar2020yucunani
66	animal	rabbit	lesû	20648				yucu17	salazar2020yucunani
67	animal	vulture	lóchí	20649		yes	Nahuatl	yucu17	salazar2020yucunani
68	animal	dog	tǐnà	20650				yucu17	salazar2020yucunani
69	animal	cat	vílú	20651				yucu17	salazar2020yucunani
70	animal	rooster	tó'lo	20652				yucu17	salazar2020yucunani
71	animal	hen, chicken	chùún	20653				yucu17	salazar2020yucunani
72	animal	pig	kinì	20654				yucu17	salazar2020yucunani
73	animal	horse	kuáì	20655		yes	Colonial Spanish	yucu17	salazar2020yucunani
74	animal	sheep	$					yucu17	salazar2020yucunani
75	animal	ant	chokǒ	20656				yucu17	salazar2020yucunani
76	animal	horn (anatomy)	ntikǐ	20657				yucu17	salazar2020yucunani
77	animal	feather	tùmi	20658				yucu17	salazar2020yucunani
78	animal	wing	ntsìtsǐ	20659				yucu17	salazar2020yucunani
