IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
3,"padre, papá",tata,,2964,,tlah11,oxnard2020
3,"padre, papá",tájtě,,2965,,pied12,oxnard2020
3,"padre, papá",táta,,2966,,flor12,oxnard2020
3,"padre, papá",tatá,,2967,,mont12,oxnard2020
3,"padre, papá",tatà ,,2968,,bate11,oxnard2020
5,hijo/hija,se'è,,2969,,tlah11,oxnard2020
5,hijo/hija,sè'e,,2970,,pied12,oxnard2020
5,hijo/hija,se'é,,2971,,flor12,oxnard2020
5,hijo/hija,jàya ,,2972,,mont12,oxnard2020
5,hijo/hija,sè'e,,2973,,bate11,oxnard2020
8,hermana/hermano de otro genero,kuva,,2974,,tlah11,oxnard2020
8,hermana/hermano de otro genero,kò'va,,2975,,pied12,oxnard2020
8,hermana/hermano de otro genero,kò'vì,,2976,,flor12,oxnard2020
8,hermana/hermano de otro genero,kìva,,2977,,mont12,oxnard2020
9,hermano de hombre,yani,,2978,,tlah11,oxnard2020
9,hermano de hombre,ñañî,,2979,,pied12,oxnard2020
9,hermano de hombre,ñanì,,2980,,flor12,oxnard2020
9,hermano de hombre,ñanì,,2981,,mont12,oxnard2020
9,hermano de hombre,ñanì,,2982,,bate11,oxnard2020
10,hermana de mujer,ku'vì,,2983,,tlah11,oxnard2020
10,hermana de mujer,ku'ù,,2984,,pied12,oxnard2020
10,hermana de mujer,ku'ì,,2985,,flor12,oxnard2020
10,hermana de mujer,kìvì,,2986,,mont12,oxnard2020
11,tía,xixi,,2987,,tlah11,oxnard2020
11,tía,xixi,,2988,,pied12,oxnard2020
11,tía,xíxi,,2989,,flor12,oxnard2020
12,tío,xito,,2990,,tlah11,oxnard2020
12,tío,xito,,2991,,pied12,oxnard2020
12,tío,xito,,2992,,flor12,oxnard2020
12,tío,xitò,,2993,,mont12,oxnard2020
13,hombre,tàa,,2994,,tlah11,oxnard2020
13,hombre,tsiàja ,,2995,,pied12,oxnard2020
13,hombre,tsiàja,,2996,,flor12,oxnard2020
13,hombre,tyàa,,2997,,mont12,oxnard2020
13,hombre,chàa,,2998,,bate11,oxnard2020
14,mujer,sí'i,,2999,,tlah11,oxnard2020
14,mujer,si'i,,3000,,flor12,oxnard2020
14,mujer,ñá'a,,3001,,tlah11,oxnard2020
15,dueño,xto'o,,3002,,tlah11,oxnard2020
15,dueño,xìto'ô,,3003,,pied12,oxnard2020
15,dueño,nà xi'ìn ña'à,,3004,,flor12,oxnard2020
15,dueño,sìtoò,,3005,,mont12,oxnard2020
15,dueño,sto'o,,3006,,bate11,oxnard2020
16,sacerdote,sùtu,,3007,,tlah11,oxnard2020
16,sacerdote,sujtù,,3008,,pied12,oxnard2020
16,sacerdote,sùjtù,,3009,,flor12,oxnard2020
16,sacerdote,jùtì,,3010,,mont12,oxnard2020
16,sacerdote,sùtù,,3011,,bate11,oxnard2020
17,sangre,nìín,,3012,,tlah11,oxnard2020
17,sangre,nìjǐ,,3013,,pied12,oxnard2020
17,sangre,nìjǐ,,3014,,flor12,oxnard2020
17,sangre,nììn,,3015,,mont12,oxnard2020
17,sangre,nìín,,3016,,bate11,oxnard2020
18,hueso,leké,,3017,,tlah11,oxnard2020
18,hueso,ìkin,,3018,,pied12,oxnard2020
18,hueso,ikǐ,,3019,,flor12,oxnard2020
18,hueso,lasa,,3020,,mont12,oxnard2020
18,hueso,íkí ché'é,,3021,,bate11,oxnard2020
19,pelo,ixin,,3022,,tlah11,oxnard2020
19,pelo,ixǐ,,3023,,pied12,oxnard2020
19,pelo,ijxǐ,,3024,,flor12,oxnard2020
19,pelo,ixì,,3025,,mont12,oxnard2020
19,pelo,ixî,,3026,,bate11,oxnard2020
20,cara,nùú,,3027,,tlah11,oxnard2020
20,cara,nùjǔ,,3028,,pied12,oxnard2020
20,cara,nùjǔn,,3029,,flor12,oxnard2020
20,cara,nòò,,3030,,mont12,oxnard2020
20,cara,nùún,,3031,,bate11,oxnard2020
21,lengua,yáǎ,,3032,,tlah11,oxnard2020
21,lengua,yajǎ,,3033,,pied12,oxnard2020
21,lengua,yajǎ,,3034,,flor12,oxnard2020
22,diente,ñù'un,,3035,,tlah11,oxnard2020
22,diente,nù'u,,3036,,pied12,oxnard2020
22,diente,nù'un,,3037,,flor12,oxnard2020
22,diente,nò'on,,3038,,mont12,oxnard2020
22,diente,nù'un,,3039,,bate11,oxnard2020
23,boca,yu'ú,,3040,,tlah11,oxnard2020
23,boca,yu'ǔ,,3041,,pied12,oxnard2020
23,boca,yu'ǔ,,3042,,flor12,oxnard2020
23,boca,yu'ù,,3043,,mont12,oxnard2020
23,boca,yu'ú,,3044,,bate11,oxnard2020
24,oreja,sò'o,,3045,,tlah11,oxnard2020
24,oreja,sò'o,,3046,,pied12,oxnard2020
24,oreja,sò'o,,3047,,flor12,oxnard2020
24,oreja,jò'o,,3048,,mont12,oxnard2020
24,oreja,só'o,,3049,,bate11,oxnard2020
25,nariz,xìtín,,3050,,tlah11,oxnard2020
25,nariz,xitsǐn,,3051,,pied12,oxnard2020
25,nariz,xijtsǐn,,3052,,flor12,oxnard2020
25,nariz,xìtì,,3053,,mont12,oxnard2020
25,nariz,xìchǐ,,3054,,bate11,oxnard2020
26,cuello ,sùkú,,3055,,tlah11,oxnard2020
26,cuello ,sokǔn,,3056,,pied12,oxnard2020
26,cuello ,sojkǔn,,3057,,flor12,oxnard2020
26,cuello ,jìkò,,3058,,mont12,oxnard2020
26,cuello ,sùkǔ,,3059,,bate11,oxnard2020
27,mano,nda'á,,3060,,tlah11,oxnard2020
27,mano,nta'ǎ,,3061,,pied12,oxnard2020
27,mano,nta'ǎ,,3062,,flor12,oxnard2020
27,mano,ndaà,,3063,,mont12,oxnard2020
27,mano,nda'á,,3064,,bate11,oxnard2020
28,uña,chiǐ,,3065,,tlah11,oxnard2020
28,uña,chíjǐn,,3066,,pied12,oxnard2020
28,uña,chíjǐn,,3067,,flor12,oxnard2020
28,uña,chiín,,3068,,mont12,oxnard2020
28,uña,chîín,,3069,,bate11,oxnard2020
29,espalda,sàtá,,3070,,tlah11,oxnard2020
29,espalda,sàjtǎ,,3071,,pied12,oxnard2020
29,espalda,sàtǎ,,3072,,flor12,oxnard2020
29,espalda,sàtà,,3073,,mont12,oxnard2020
29,espalda,sàta,,3074,,bate11,oxnard2020
30,estómago,tìxin,,3075,,tlah11,oxnard2020
30,estómago,nchìxìn,,3076,,pied12,oxnard2020
30,estómago,xìtsivà,,3077,,flor12,oxnard2020
30,estómago,tìsi,,3078,,mont12,oxnard2020
31,tripa,siti,,3079,,tlah11,oxnard2020
31,tripa,xitsîn,,3080,,pied12,oxnard2020
31,tripa,xitsi,,3081,,flor12,oxnard2020
31,tripa,sutì,,3082,,mont12,oxnard2020
31,tripa,tsitì,,3083,,bate11,oxnard2020
32,pie,xa'á,,3084,,tlah11,oxnard2020
32,pie,xà'ǎ,,3085,,pied12,oxnard2020
32,pie,xa'ǎ,,3086,,flor12,oxnard2020
32,pie,sà'à,,3087,,mont12,oxnard2020
32,pie,tsa'á,,3088,,bate11,oxnard2020
33,enfermedad,kuè'è,,3089,,tlah11,oxnard2020
33,enfermedad,kuè'è,,3090,,pied12,oxnard2020
33,enfermedad,kuè'è,,3091,,flor12,oxnard2020
33,enfermedad,kuè'è,,3092,,mont12,oxnard2020
33,enfermedad,kwè'è,,3093,,bate11,oxnard2020
34,medicina,tàtán,,3094,,tlah11,oxnard2020
34,medicina,tàjtǎn,,3095,,pied12,oxnard2020
34,medicina,tàjtǎn,,3096,,flor12,oxnard2020
35,hinchazón,kwiñu,,3097,,tlah11,oxnard2020
35,hinchazón,kuiñu,,3098,,pied12,oxnard2020
35,hinchazón,kuiñu,,3099,,flor12,oxnard2020
35,hinchazón,kuiñu,,3100,,mont12,oxnard2020
35,hinchazón,kwiñu,,3101,,bate11,oxnard2020
36,grano ,ndì'i,,3102,,tlah11,oxnard2020
36,grano ,ntsì'i,,3103,,pied12,oxnard2020
36,grano ,ntsi'í,,3104,,flor12,oxnard2020
36,grano ,ndì'i,,3105,,mont12,oxnard2020
36,grano ,ndì'in,,3106,,bate11,oxnard2020
37,pus,lakwá,,3107,,tlah11,oxnard2020
37,pus,ntajkuà,,3108,,pied12,oxnard2020
37,pus,ndajkua,,3109,,flor12,oxnard2020
37,pus,ndakuà,,3110,,mont12,oxnard2020
37,pus,ndakwà,,3111,,bate11,oxnard2020
38,orina,láxa,,3112,,tlah11,oxnard2020
38,orina,lǎxa,,3113,,pied12,oxnard2020
38,orina,láxa,,3114,,flor12,oxnard2020
38,orina,tìlàlá,,3115,,mont12,oxnard2020
38,orina,nché xàxà,,3116,,bate11,oxnard2020
39,ropa,samá,,3117,,tlah11,oxnard2020
39,ropa,tsiǎà,,3118,,pied12,oxnard2020
39,ropa,tsiǎà,,3119,,flor12,oxnard2020
39,ropa,jàmà,,3120,,mont12,oxnard2020
39,ropa,sa'mǎ,,3121,,bate11,oxnard2020
40,huarache,ndìxán,,3122,,tlah11,oxnard2020
40,huarache,nchìxǎn ,,3123,,pied12,oxnard2020
40,huarache,ntsìxǎn,,3124,,flor12,oxnard2020
40,huarache,ndìsà,,3125,,mont12,oxnard2020
40,huarache,ntsìtsǎ,,3126,,bate11,oxnard2020
41,pantalón,xatu,,3127,,tlah11,oxnard2020
41,pantalón,xajtû,,3128,,pied12,oxnard2020
41,pantalón,xajtû,,3129,,flor12,oxnard2020
41,pantalón,satì,,3130,,mont12,oxnard2020
41,pantalón,tsatù,,3131,,bate11,oxnard2020
42,huipil,sa'má ndá'vi,,3132,,tlah11,oxnard2020
42,huipil,sa'mǎ kwitsì,,3133,,bate11,oxnard2020
43,pueblo,ñuun,,3134,,tlah11,oxnard2020
43,pueblo,ñuù,,3135,,pied12,oxnard2020
43,pueblo,ñuù,,3136,,flor12,oxnard2020
43,pueblo,ñoò,,3137,,mont12,oxnard2020
43,pueblo,ñǔun,,3138,,bate11,oxnard2020
44,casa,ve'e,,3139,,tlah11,oxnard2020
44,casa,ve'e,,3140,,pied12,oxnard2020
44,casa,ve'e,,3141,,flor12,oxnard2020
44,casa,ve'e,,3142,,mont12,oxnard2020
44,casa,ve'e,,3143,,bate11,oxnard2020
45,camino,ichí,,3144,,tlah11,oxnard2020
45,camino,ichǐ,,3145,,pied12,oxnard2020
45,camino,ichǐ,,3146,,flor12,oxnard2020
45,camino,ichì,,3147,,mont12,oxnard2020
45,camino,ichǐ,,3148,,bate11,oxnard2020
46,horcón,si'ìn,,3149,,tlah11,oxnard2020
46,horcón,sì'ìn,,3150,,pied12,oxnard2020
46,horcón,si'ìn,,3151,,flor12,oxnard2020
46,horcón,tìjìn,,3152,,mont12,oxnard2020
47,petate,yuví,,3153,,tlah11,oxnard2020
47,petate,yivǐ,,3154,,pied12,oxnard2020
47,petate,yijvǐ,,3155,,flor12,oxnard2020
47,petate,yivì,,3156,,mont12,oxnard2020
47,petate,yuvǐ,,3157,,bate11,oxnard2020
48,cama,xìto,,3158,,tlah11,oxnard2020
48,cama,xìto,,3159,,pied12,oxnard2020
48,cama,xìjto,,3160,,flor12,oxnard2020
48,cama,sìto,,3161,,mont12,oxnard2020
48,cama,tsìto,,3162,,bate11,oxnard2020
49,silla,taì,,3163,,tlah11,oxnard2020
49,silla,tsiáyi,,3164,,pied12,oxnard2020
