ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6336	acat11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6337	achi11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6338	adeq11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6339	ahue11	hijo/hija	θeʔe	θeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6340	alac11	hijo/hija	saʔya	saʔya	6	NA	NA	NA	josserand1983mixtec	NA
6341	alco11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6342	amat11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6343	apas11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6344	apoa11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6345	atat11	hijo/hija	sèʔē	sèʔē	6	NA	NA	NA	josserand1983mixtec	NA
6346	aten11	hijo/hija	haʔyi	haʔyi	6	NA	NA	NA	josserand1983mixtec	NA
6347	atoy11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6348	ayut11	hijo/hija	sʸēʔɛ→siʔɛ	sʸēʔɛ→siʔɛ	6	NA	NA	NA	josserand1983mixtec	NA
6349	brav11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6350	caca11	hijo/hija	đee	đee	6	NA	NA	NA	josserand1983mixtec	NA
6351	cahu11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6352	chal11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6353	chay11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6354	chay12	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6355	chay12	hijo/hija	sɨʔɨ	sɨʔɨ	6	NA	NA	NA	josserand1983mixtec	NA
6356	chaz11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6357	chic11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6358	chig11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6359	chig11	hijo/hija	iʔa	iʔa	6	NA	NA	NA	josserand1983mixtec	NA
6360	coat11	hijo/hija	iʔi	iʔi	6	NA	NA	NA	josserand1983mixtec	NA
6361	coic11	hijo/hija	sèʔe	sèʔe	6	NA	NA	NA	josserand1983mixtec	NA
6362	colo11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6363	coso11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6364	coxc11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6365	cris11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6366	cuat11	hijo/hija	sèʔe	sèʔe	6	NA	NA	NA	josserand1983mixtec	NA
6367	cuau11	hijo/hija	iʔža	iʔža	6	NA	NA	NA	josserand1983mixtec	NA
6368	cuil11	hijo/hija	đeʔe	đeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6369	cuya11	hijo/hija	iʔya	iʔya	6	NA	NA	NA	josserand1983mixtec	NA
6370	diux11	hijo/hija	đaʔya	đaʔya	6	NA	NA	NA	josserand1983mixtec	NA
6371	dura11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6372	esta11	hijo/hija	θaʔži	θaʔži	6	NA	NA	NA	josserand1983mixtec	NA
6373	este11	hijo/hija	đaʔža	đaʔža	6	NA	NA	NA	josserand1983mixtec	NA
6374	flor11	hijo/hija	đeʔi	đeʔi	6	NA	NA	NA	josserand1983mixtec	NA
6375	gran11	hijo/hija	sēʔe	sēʔe	6	NA	NA	NA	josserand1983mixtec	NA
6376	guad11	hijo/hija	đèʔe	đèʔe	6	NA	NA	NA	josserand1983mixtec	NA
6377	huaz11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6378	huit11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6379	itun11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6380	ixpa11	hijo/hija	haʔži	haʔži	6	NA	NA	NA	josserand1983mixtec	NA
6381	ixta11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6382	ixta12	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6384	ixta13	hijo/hija	đee	đee	6	NA	NA	NA	josserand1983mixtec	NA
6383	ixta13	hijo/hija	đeʔi	đeʔi	6	NA	NA	NA	josserand1983mixtec	NA
6385	jami11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6386	jate11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6387	jica11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6388	jica12	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6389	joco11	hijo/hija	đaʔa	đaʔa	6	NA	NA	NA	josserand1983mixtec	NA
6390	juxt11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6391	lore11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6392	mech11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6393	metl11	hijo/hija	séʔē	séʔē	6	NA	NA	NA	josserand1983mixtec	NA
6394	mica11	hijo/hija	đee	đee	6	NA	NA	NA	josserand1983mixtec	NA
