ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6337	achi11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6458	achi11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6571	achi11	MAN	hombre	te-žii	te-žii	13	1554	NA	NA	josserand1983mixtec	NA
6700	achi11	OWNER	dueño	ma̧a̧-ⁿdi	ma̧a̧-ⁿdi	15	1036	NA	NA	josserand1983mixtec	NA
6787	achi11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6872	achi11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
6992	achi11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7082	achi11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
7174	achi11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7290	achi11	NOSE	nariz	šitNi̧	šitNi̧	25	1221	NA	NA	josserand1983mixtec	NA
7407	achi11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
7521	achi11	FINGERNAIL	uña	tNi̧i̧	tNi̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7640	achi11	INTESTINES	tripas	xiti	xiti	31	1991	NA	NA	josserand1983mixtec	NA
7758	achi11	FOOT	pie	si̧ʔi̧	si̧ʔi̧	32	1301	NA	NA	josserand1983mixtec	NA
7874	achi11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
7991	achi11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8199	achi11	PUS	moco	lakʷa	lakʷa	37	1808	NA	NA	josserand1983mixtec	NA
