ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6338	adeq11	CHILD (DESCENDANT)	hijo/hija	đaʔa	đaʔa	5	1801	NA	NA	josserand1983mixtec	NA
6459	adeq11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6572	adeq11	MAN	hombre	ȼee	ȼee	13	1554	NA	NA	josserand1983mixtec	NA
6873	adeq11	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
6993	adeq11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7175	adeq11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7291	adeq11	NOSE	nariz	đi̧(ʔ)ni̧	đi̧ʔni̧	25	1221	NA	NA	josserand1983mixtec	NA
7408	adeq11	NOSE	cuello	kʷežu	kʷežu	25	1221	NA	NA	josserand1983mixtec	NA
7522	adeq11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7641	adeq11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7759	adeq11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7875	adeq11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8086	adeq11	SWELLING	grano	ti-u̧ʔu̧	ti-u̧ʔu̧	35	1903	NA	NA	josserand1983mixtec	NA
8200	adeq11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8378	adeq11	SANDAL	huarache	ⁿčisa	ⁿčisa	40	NA	NA	NA	josserand1983mixtec	NA
8645	adeq11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8761	adeq11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
8962	adeq11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9086	adeq11	BED	tapanco	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9200	adeq11	STOOL	banquito	banku	banku	49	2058	NA	NA	josserand1983mixtec	NA
9323	adeq11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10077	adeq11	ANIMAL	rata	ti-Nni̧(i̧)	ti-Nni̧i̧	50	619	NA	NA	josserand1983mixtec	NA
9441	adeq11	BIRD	pájaro	tɨ-đaa	tɨ-đaa	51	937	NA	NA	josserand1983mixtec	NA
10219	adeq11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
10338	adeq11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9643	adeq11	FROG	rana	sapu	sapu	54	503	NA	NA	josserand1983mixtec	NA
10449	adeq11	BEE	gato	ƀilu	ƀilu	59	665	NA	NA	josserand1983mixtec	NA
10577	adeq11	ANT	cuerno	ⁿdeke	ⁿdeke	75	587	NA	NA	josserand1983mixtec	NA
10693	adeq11	FEATHER	pluma	Nnu̧u̧	nnu̧u̧	77	1201	NA	NA	josserand1983mixtec	NA
10900	adeq11	TAIL	cola	đu̧ʔa̧	đu̧ʔa̧	79	1220	NA	NA	josserand1983mixtec	NA
11018	adeq11	TREE	árbol	žu̧Nnu̧	žu̧Nnu̧	80	906	NA	NA	josserand1983mixtec	NA
11019	adeq11	TREE	árbol	žu̧ʔNnu̧	žu̧ʔNnu̧	80	906	NA	NA	josserand1983mixtec	NA
11238	adeq11	MAGUEY	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11237	adeq11	MAGUEY	maguey	žai	žai	84	NA	NA	NA	josserand1983mixtec	NA
11359	adeq11	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
11477	adeq11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
11594	adeq11	CORN DOUGH	masa	yusa̧	yusa̧	91	NA	NA	NA	josserand1983mixtec	NA
11714	adeq11	TORTILLA	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
12100	adeq11	TASSEL	frijol(es)	ⁿduči	ⁿduči	95	NA	NA	NA	josserand1983mixtec	NA
12301	adeq11	SALT	sal	ñi̧i̧	ñi̧i̧	99	1274	NA	NA	josserand1983mixtec	NA
12422	adeq11	PUMPKIN	calabaza	žiku̧	žiku̧	100	864	NA	NA	josserand1983mixtec	NA
12533	adeq11	SUGAR CANE	caña	ⁿdoo	ⁿdoo	102	146	NA	NA	josserand1983mixtec	NA
12647	adeq11	HONEY	miel	ⁿduđi	ⁿduđi	103	942	NA	NA	josserand1983mixtec	NA
