ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6339	ahue11	hijo/hija	θeʔe	θeʔe	6	NA	NA	NA	josserand1983mixtec	NA
6460	ahue11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6573	ahue11	hombre	tàā	tàā	13	NA	NA	NA	josserand1983mixtec	NA
6701	ahue11	dueño	stoʔo	stoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6788	ahue11	sacerdote	θütü	θütü	16	NA	NA	NA	josserand1983mixtec	NA
6874	ahue11	sangre	nī̧ǐ̧	nī̧ǐ̧	17	NA	NA	NA	josserand1983mixtec	NA
6994	ahue11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7083	ahue11	boca	žǘʔǚ	žǘʔǚ	23	NA	NA	NA	josserand1983mixtec	NA
7176	ahue11	oreja	θòʔó	θòʔó	24	NA	NA	NA	josserand1983mixtec	NA
7292	ahue11	nariz	θiti	θiti	25	NA	NA	NA	josserand1983mixtec	NA
7409	ahue11	cuello	θiko	θiko	26	NA	NA	NA	josserand1983mixtec	NA
7523	ahue11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7642	ahue11	tripas	šiti	šiti	31	NA	NA	NA	josserand1983mixtec	NA
7760	ahue11	pie	šaʔa	šaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7876	ahue11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
7992	ahue11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8087	ahue11	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8201	ahue11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8379	ahue11	huarache	ⁿdìšá	ⁿdìšá	40	NA	NA	NA	josserand1983mixtec	NA
8496	ahue11	calzón, pantalón	šati	šati	41	NA	NA	NA	josserand1983mixtec	NA
8646	ahue11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8762	ahue11	casa	veʔe	veʔe	44	NA	NA	NA	josserand1983mixtec	NA
8876	ahue11	horcón	ti-θi̧ʔi̧	ti-θi̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
8963	ahue11	petate	žiƀi	žiƀi	47	NA	NA	NA	josserand1983mixtec	NA
9087	ahue11	cama	šòó	šòó	48	NA	NA	NA	josserand1983mixtec	NA
9201	ahue11	banquito	teže	teže	49	NA	NA	NA	josserand1983mixtec	NA
9324	ahue11	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9442	ahue11	pájaro	laa	laa	51	NA	NA	NA	josserand1983mixtec	NA
9557	ahue11	culebra	kòo-káā	kòo-káā	53	NA	NA	NA	josserand1983mixtec	NA
9645	ahue11	rana	la-ko̧ⁿdo	la-ko̧ⁿdo	54	NA	NA	NA	josserand1983mixtec	NA
9644	ahue11	rana	laʔwa	laʔwa	54	NA	NA	NA	josserand1983mixtec	NA
9768	ahue11	gavilán	la-θʸa̧ʔa̧	la-θʸa̧ʔa̧	55	NA	NA	NA	josserand1983mixtec	NA
9769	ahue11	gavilán	ña̧a̧	ña̧a̧	55	NA	NA	NA	josserand1983mixtec	NA
9907	ahue11	alacrán	ti-hi̧ʔma̧	ti-hi̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
9993	ahue11	cucaracha	lā-káá	lā-káá	57	NA	NA	NA	josserand1983mixtec	NA
10079	ahue11	rata	ti-ti̧i̧	ti-ti̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10078	ahue11	rata	ti-žoto	ti-žoto	60	NA	NA	NA	josserand1983mixtec	NA
10220	ahue11	venado	ʔuθu	ʔuθu	61	NA	NA	NA	josserand1983mixtec	NA
10339	ahue11	ardilla	ⁿdi-kʷa̧ñi̧	ⁿdi-kʷa̧ñi̧	62	NA	NA	NA	josserand1983mixtec	NA
10450	ahue11	gato	(mi̧to)	mi̧to	69	NA	yes	Colonial Spanish	josserand1983mixtec	NA
10578	ahue11	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
10694	ahue11	pluma	tù̧mī̧	tù̧mī̧	77	NA	NA	NA	josserand1983mixtec	NA
10812	ahue11	ala	ⁿdiši	ⁿdiši	78	NA	NA	NA	josserand1983mixtec	NA
10901	ahue11	cola	ⁿdóʔō	ⁿdóʔō	79	NA	NA	NA	josserand1983mixtec	NA
11020	ahue11	árbol	ʔito	ʔito	80	NA	NA	NA	josserand1983mixtec	NA
11138	ahue11	hierba	žükü	žükü	81	NA	NA	NA	josserand1983mixtec	NA
11239	ahue11	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11360	ahue11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11478	ahue11	milpa	ʔutu	ʔutu	88	NA	NA	NA	josserand1983mixtec	NA
11595	ahue11	masa	žuša	žuša	91	NA	NA	NA	josserand1983mixtec	NA
11715	ahue11	tortilla	θìtǎ	θìtǎ	92	NA	NA	NA	josserand1983mixtec	NA
11836	ahue11	rastrojo	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11928	ahue11	surco	čiči	čiči	94	NA	NA	NA	josserand1983mixtec	NA
12011	ahue11	espiga	tiko-žoko	tiko-žoko	95	NA	NA	NA	josserand1983mixtec	NA
12101	ahue11	frijol(es)	ⁿdiči	ⁿdiči	96	NA	NA	NA	josserand1983mixtec	NA
12215	ahue11	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
12302	ahue11	sal	ñi̧i̧	ñi̧i̧	99	NA	NA	NA	josserand1983mixtec	NA
12423	ahue11	calabaza	žiki	žiki	100	NA	NA	NA	josserand1983mixtec	NA
12534	ahue11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12648	ahue11	miel	ñu̧ñu̧	ñu̧ñu̧	103	NA	NA	NA	josserand1983mixtec	NA
12772	ahue11	blanquillo, huevo	ⁿdiƀi	ⁿdiƀi	105	NA	NA	NA	josserand1983mixtec	NA
12890	ahue11	jitomate	tì-na̧na̧-kʷaʔá	tì-na̧na̧-kʷaʔá	106	NA	NA	NA	josserand1983mixtec	NA
12977	ahue11	nopal	tù-ƀi̧ʔⁿda	tù-ƀi̧ʔⁿda	110	NA	NA	NA	josserand1983mixtec	NA
13062	ahue11	mamey	ⁿdoko-kʷaʔa	ⁿdoko-kʷaʔa	111	NA	NA	NA	josserand1983mixtec	NA
13144	ahue11	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13268	ahue11	comal	šoo	šoo	115	NA	NA	NA	josserand1983mixtec	NA
13388	ahue11	olla	kìθí	kìθí	116	NA	NA	NA	josserand1983mixtec	NA
13583	ahue11	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	NA	NA	NA	josserand1983mixtec	NA
13698	ahue11	humo	ñi̧ʔma̧	ñi̧ʔma̧	121	NA	NA	NA	josserand1983mixtec	NA
13821	ahue11	basura	(šeʔe)	šeʔe	122	NA	NA	NA	josserand1983mixtec	NA
13915	ahue11	jícara	žāšǐ	žāšǐ	124	NA	NA	NA	josserand1983mixtec	NA
14039	ahue11	cajón	šato	šato	126	NA	NA	NA	josserand1983mixtec	NA
14143	ahue11	hilo	žiʔƀa	žiʔƀa	127	NA	NA	NA	josserand1983mixtec	NA
14260	ahue11	peine	kʷìkà	kʷìkà	128	NA	NA	NA	josserand1983mixtec	NA
14415	ahue11	red	ñu̧nu̧	ñu̧nu̧	131	NA	NA	NA	josserand1983mixtec	NA
14530	ahue11	agua	tì-kʷìí	tì-kʷìí	137	NA	NA	NA	josserand1983mixtec	NA
14664	ahue11	lluvia	(ku̧u̧)-θaƀi	ku̧u̧-θaƀi	138	NA	NA	NA	josserand1983mixtec	NA
14787	ahue11	río	kùčǔ	kùčǔ	139	NA	NA	NA	josserand1983mixtec	NA
14788	ahue11	río	žuta	žuta	139	NA	NA	NA	josserand1983mixtec	NA
14911	ahue11	rocío	žüžü	žüžü	140	NA	NA	NA	josserand1983mixtec	NA
15000	ahue11	cerro	žuku	žuku	141	NA	NA	NA	josserand1983mixtec	NA
15123	ahue11	llano	žoθo	žoθo	142	NA	NA	NA	josserand1983mixtec	NA
15252	ahue11	piedra	žüü	žüü	143	NA	NA	NA	josserand1983mixtec	NA
15373	ahue11	algodón	kači	kači	144	NA	NA	NA	josserand1983mixtec	NA
15486	ahue11	fierro	tù̧nì̧	tù̧nì̧	145	NA	NA	NA	josserand1983mixtec	NA
15567	ahue11	cera	ñi̧ma̧	ñi̧ma̧	148	NA	NA	NA	josserand1983mixtec	NA
15688	ahue11	lodo	ⁿdeʔe	ⁿdeʔe	149	NA	NA	NA	josserand1983mixtec	NA
15809	ahue11	espuma	či-ʔi̧ñu̧	či-ʔi̧ñu̧	150	NA	NA	NA	josserand1983mixtec	NA
15928	ahue11	rojo	kʷaʔa	kʷaʔa	152	NA	NA	NA	josserand1983mixtec	NA
16044	ahue11	amarillo	kʷa̧a̧	kʷa̧a̧	154	NA	NA	NA	josserand1983mixtec	NA
16158	ahue11	dos	ʔìvì	ʔìvì	158	NA	NA	NA	josserand1983mixtec	NA
16280	ahue11	tres	ʔu̧ni̧	ʔu̧ni̧	159	NA	NA	NA	josserand1983mixtec	NA
16400	ahue11	cuatro	kù̧mì̧	kù̧mì̧	160	NA	NA	NA	josserand1983mixtec	NA
16523	ahue11	cinco	ʔù̧ʔù̧	ʔù̧ʔù̧	161	NA	NA	NA	josserand1983mixtec	NA
16642	ahue11	seis	ʔi̧ñu̧	ʔi̧ñu̧	162	NA	NA	NA	josserand1983mixtec	NA
16760	ahue11	siete	ʔüša	ʔüša	163	NA	NA	NA	josserand1983mixtec	NA
16877	ahue11	ocho	ʔù̧nà̧	ʔù̧nà̧	164	NA	NA	NA	josserand1983mixtec	NA
16991	ahue11	diez	ʔüšü	ʔüšü	166	NA	NA	NA	josserand1983mixtec	NA
17108	ahue11	quince	šà̧ʔù̧	šà̧ʔù̧	167	NA	NA	NA	josserand1983mixtec	NA
17228	ahue11	pobre	ki-ⁿdaʔvi	ki-ⁿdaʔvi	169	NA	NA	NA	josserand1983mixtec	NA
17341	ahue11	frío	ƀiši	ƀiši	171	NA	NA	NA	josserand1983mixtec	NA
17462	ahue11	caliente	ʔi̧ʔni̧	ʔi̧ʔni̧	172	NA	NA	NA	josserand1983mixtec	NA
17553	ahue11	grande (sg.)	kaʔnu̧	kaʔnu̧	173	NA	NA	NA	josserand1983mixtec	NA
17671	ahue11	chico	loʔo	loʔo	175	NA	NA	NA	josserand1983mixtec	NA
17800	ahue11	bueno	ƀaʔa	ƀaʔa	179	NA	NA	NA	josserand1983mixtec	NA
17891	ahue11	dulce	ƀiθi	ƀiθi	180	NA	NA	NA	josserand1983mixtec	NA
18008	ahue11	salado	ʔoʔva	ʔoʔva	181	NA	NA	NA	josserand1983mixtec	NA
18099	ahue11	amargo	ʔoƀa	ʔoƀa	182	NA	NA	NA	josserand1983mixtec	NA
18185	ahue11	sabroso	ʔaθi	ʔaθi	183	NA	NA	NA	josserand1983mixtec	NA
18276	ahue11	floja	na̧-taži	na̧-taži	186	NA	NA	NA	josserand1983mixtec	NA
18275	ahue11	flojo	šuša	šuša	186	NA	NA	NA	josserand1983mixtec	NA
