ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6343	apas11	CHILD (DESCENDANT)	hijo/hija	đaʔa	đaʔa	5	1801	NA	NA	josserand1983mixtec	NA
6465	apas11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6577	apas11	MAN	hombre	čee	čee	13	1554	NA	NA	josserand1983mixtec	NA
6578	apas11	MAN	hombre	tʸee	tʸee	13	1554	NA	NA	josserand1983mixtec	NA
6704	apas11	OWNER	dueño	(s)toʔo	s-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6791	apas11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6878	apas11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
6997	apas11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7085	apas11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
7180	apas11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7297	apas11	NOSE	nariz	šiči	šiči	25	1221	NA	NA	josserand1983mixtec	NA
7413	apas11	NOSE	cuello	đuku	đuku	25	1221	NA	NA	josserand1983mixtec	NA
7527	apas11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7645	apas11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7764	apas11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7880	apas11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
7994	apas11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8091	apas11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8204	apas11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8313	apas11	URINE	orina	ⁿduȼa-đađa	ⁿduȼa-đađa	38	1142	NA	NA	josserand1983mixtec	NA
8383	apas11	SANDAL	huarache	ⁿǰisa	ⁿǰisa	40	NA	NA	NA	josserand1983mixtec	NA
