ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
5082	atat11	madre	náná	náná	1	NA	NA	NA	alexander1980gramatica	[C]
5083	atat11	mamá!	nánā	nánā	2	NA	NA	NA	alexander1980gramatica	[C]
5084	atat11	padre	tátá	tátá	3	NA	NA	NA	alexander1980gramatica	[C]
2053	atat11	child	sèʔē	sèʔē	5	NA	NA	NA	durr1987preliminary	NA
5085	atat11	hijo/hija	sēhe	sēhe	5	NA	NA	NA	alexander1980gramatica	[A]
6345	atat11	hijo/hija	sèʔē	sèʔē	6	NA	NA	NA	josserand1983mixtec	NA
2068	atat11	cross-sex sibling	kʷàʔā	kʷàʔā	8	NA	NA	NA	durr1987preliminary	NA
5086	atat11	hermana/hermano de otro genero	cuāha	cuāha	8	NA	NA	NA	alexander1980gramatica	[A]
2078	atat11	brother of man	ñānī	ñānī	9	NA	NA	NA	durr1987preliminary	NA
6468	atat11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
5087	atat11	hermano de hombre	ñani	ñani	9	NA	NA	NA	alexander1980gramatica	[C]
2090	atat11	sister of woman	kùʔù	kùʔù	10	NA	NA	NA	durr1987preliminary	NA
2102	atat11	aunt	sīsī	sīsī	11	NA	NA	NA	durr1987preliminary	NA
2116	atat11	uncle	stōō	stōō	12	NA	NA	NA	durr1987preliminary	NA
2129	atat11	man	tèē	tèē	13	NA	NA	NA	durr1987preliminary	NA
6580	atat11	hombre	tēe	tēe	13	NA	NA	NA	josserand1983mixtec	NA
5088	atat11	hombre	tēe	tēe	13	NA	NA	NA	alexander1980gramatica	[A]
2137	atat11	woman	ñā̧ʔā̧	ñā̧ʔā̧	14	NA	NA	NA	durr1987preliminary	NA
5089	atat11	mujer	ñahan	ñahan	14	NA	NA	NA	alexander1980gramatica	[A]
6706	atat11	dueño	xi-toʔo	xi-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
6793	atat11	sacerdote	sūtù	sūtù	16	NA	NA	NA	josserand1983mixtec	NA
5090	atat11	sacerdote	sutū	sutū	16	NA	NA	NA	alexander1980gramatica	[C]
6881	atat11	sangre	nɨ̧ñɨ̧̄	nɨ̧ñɨ̧̄	17	NA	NA	NA	josserand1983mixtec	NA
2146	atat11	bone	žɨ̄kɨ̄	žɨ̄kɨ̄	18	NA	NA	NA	durr1987preliminary	NA
5091	atat11	hueso	yɨquɨ	yɨquɨ	18	NA	NA	NA	alexander1980gramatica	[A]
2155	atat11	face	nūù	nūù	20	NA	NA	NA	durr1987preliminary	NA
5092	atat11	cara	nuū	nuū	20	NA	NA	NA	alexander1980gramatica	[C]
2165	atat11	tongue	žáá	žáá	21	NA	NA	NA	durr1987preliminary	NA
2177	atat11	tooth	Nù̧ʔū̧	nù̧ʔū̧	22	NA	NA	NA	durr1987preliminary	NA
6999	atat11	diente	nū̧ʔu̧	nū̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
2185	atat11	mouth	žūʔū	žūʔū	23	NA	NA	NA	durr1987preliminary	NA
7087	atat11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
