ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6347	atoy11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6470	atoy11	BROTHER (OF MAN)	hermano de hombre	ya̧ni̧	ya̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6582	atoy11	MAN	hombre	rai	rai	13	1554	NA	NA	josserand1983mixtec	NA
6708	atoy11	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6795	atoy11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6883	atoy11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
7001	atoy11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7089	atoy11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7184	atoy11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7301	atoy11	NOSE	nariz	šiti̧	šiti̧	25	1221	NA	NA	josserand1983mixtec	NA
7417	atoy11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
7531	atoy11	FINGERNAIL	uña	ti̧ñi̧	ti̧ñi̧	28	1258	NA	NA	josserand1983mixtec	NA
7649	atoy11	INTESTINES	tripas	čiti	čiti	31	1991	NA	NA	josserand1983mixtec	NA
7768	atoy11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7884	atoy11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8001	atoy11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8000	atoy11	SWELLING	hinchazón	ⁿdaa	ⁿdaa	35	1903	NA	NA	josserand1983mixtec	NA
8095	atoy11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8208	atoy11	PUS	pus	lakʷa	lakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8315	atoy11	URINE	orina	ⁿduta-čaša	ⁿduta-čaša	38	1142	NA	NA	josserand1983mixtec	NA
8387	atoy11	SANDAL	huarache	ⁿdiča̧ʔ	ⁿdiča̧ʔ	40	NA	NA	NA	josserand1983mixtec	NA
8500	atoy11	TROUSERS	calzón, pantalón	čatu	čatu	41	809	NA	NA	josserand1983mixtec	NA
8578	atoy11	BLOUSE (WOVEN)	huipil	šiku	šiku	42	NA	NA	NA	josserand1983mixtec	NA
8654	atoy11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8770	atoy11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8882	atoy11	PATH	horcón	si̧ʔi̧	si̧ʔi̧	45	2252	NA	NA	josserand1983mixtec	NA
8972	atoy11	MAT	petate	yuwi	yuwi	47	195	NA	NA	josserand1983mixtec	NA
9096	atoy11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
9209	atoy11	STOOL	banquito	tayu	tayu	49	2058	NA	NA	josserand1983mixtec	NA
9332	atoy11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10090	atoy11	ANIMAL	rata	ti̧ñi̧	ti̧ñi̧	50	619	NA	NA	josserand1983mixtec	NA
9450	atoy11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10229	atoy11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10346	atoy11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9564	atoy11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9653	atoy11	FROG	rana	saʔwa	saʔwa	54	503	NA	NA	josserand1983mixtec	NA
9781	atoy11	HAWK	gavilán	tasu̧	tasu̧	55	307	NA	NA	josserand1983mixtec	NA
