ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6349	brav11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6472	brav11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6584	brav11	MAN	hombre	taa	taa	13	1554	NA	NA	josserand1983mixtec	NA
6710	brav11	OWNER	dueño	štoʔo	štoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6797	brav11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6885	brav11	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
7003	brav11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
7091	brav11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7186	brav11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7303	brav11	NOSE	nariz	šitni̧	šitni̧	25	1221	NA	NA	josserand1983mixtec	NA
7419	brav11	NOSE	cuello	siku̧	siku̧	25	1221	NA	NA	josserand1983mixtec	NA
7533	brav11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7651	brav11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7770	brav11	FOOT	pie	šaʔa	šaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7886	brav11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8003	brav11	SWELLING	hinchazón	kʷi̧ño̧	kʷi̧ño̧	35	1903	NA	NA	josserand1983mixtec	NA
8097	brav11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8210	brav11	PUS	pus	lakʷa-ñȩ-na̧ʔa̧	lakʷa-ñȩ-na̧ʔa̧	37	1808	NA	NA	josserand1983mixtec	NA
8389	brav11	SANDAL	huarache	ⁿduša̧	ⁿduša̧	40	NA	NA	NA	josserand1983mixtec	NA
8502	brav11	TROUSERS	calzón, pantalón	šatu	šatu	41	809	NA	NA	josserand1983mixtec	NA
8580	brav11	BLOUSE (WOVEN)	huipil	šiko̧	šiko̧	42	NA	NA	NA	josserand1983mixtec	NA
8656	brav11	TOWN OR VILLAGE	pueblo	ño̧o̧	ño̧o̧	43	3609	NA	NA	josserand1983mixtec	NA
8773	brav11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8884	brav11	PATH	horcón	si̧ʔi̧	si̧ʔi̧	45	2252	NA	NA	josserand1983mixtec	NA
8974	brav11	MAT	petate	yiwi	yiwi	47	195	NA	NA	josserand1983mixtec	NA
9099	brav11	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9211	brav11	STOOL	banquito	tayi	tayi	49	2058	NA	NA	josserand1983mixtec	NA
9334	brav11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10092	brav11	ANIMAL	rata	tni̧i̧	tni̧i̧	50	619	NA	NA	josserand1983mixtec	NA
9452	brav11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10231	brav11	BIRD	venado	usu	usu	51	937	NA	NA	josserand1983mixtec	NA
10348	brav11	FISH	ardilla	ⁿdi-kʷa̧ñu̧	ⁿdi-kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9566	brav11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9655	brav11	FROG	rana	saʔwa	saʔwa	54	503	NA	NA	josserand1983mixtec	NA
9783	brav11	HAWK	gavilán	ši̧ʔña̧	ši̧ʔña̧	55	307	NA	NA	josserand1983mixtec	NA
9784	brav11	HAWK	gavilán	tasu̧	tasu̧	55	307	NA	NA	josserand1983mixtec	NA
9915	brav11	HAWK	alacrán	ti-su̧ʔma̧	ti-su̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
10001	brav11	COCKROACH	cucaracha	tʸu̧u̧	tʸu̧u̧	57	1575	NA	NA	josserand1983mixtec	NA
10466	brav11	BEE	gato	(mi̧štno̧)	mi̧štno̧	59	665	NA	NA	josserand1983mixtec	NA
10589	brav11	ANT	cuerno	ⁿdiki	ⁿdiki	75	587	NA	NA	josserand1983mixtec	NA
10704	brav11	FEATHER	pluma	tnu̧mi̧	tnu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10822	brav11	WING	ala	ⁿdiši̧	ⁿdiši̧	78	1257	NA	NA	josserand1983mixtec	NA
10911	brav11	TAIL	cola	su̧ʔma̧	su̧ʔma̧	79	1220	NA	NA	josserand1983mixtec	NA
11031	brav11	TREE	árbol	itnu̧	itnu̧	80	906	NA	NA	josserand1983mixtec	NA
11147	brav11	HERBACEOUS PLANT	hierba	yuyu	yuyu	81	NA	NA	NA	josserand1983mixtec	NA
11251	brav11	MAGUEY	maguey	yawi	yawi	84	NA	NA	NA	josserand1983mixtec	NA
11370	brav11	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
11491	brav11	CORN FIELD	milpa	utu	utu	88	449	NA	NA	josserand1983mixtec	NA
11605	brav11	CORN DOUGH	masa	yuša̧	yuša̧	91	NA	NA	NA	josserand1983mixtec	NA
11726	brav11	TORTILLA	tortilla	šita	šita	92	NA	NA	NA	josserand1983mixtec	NA
11847	brav11	CORN STALK	rastrojo	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11936	brav11	FURROW	surco	čiči	čiči	94	1794	NA	NA	josserand1983mixtec	NA
12020	brav11	TASSEL	espiga	yoko	yoko	95	NA	NA	NA	josserand1983mixtec	NA
12111	brav11	TASSEL	frijol(es)	ⁿduču	ⁿduču	95	NA	NA	NA	josserand1983mixtec	NA
12224	brav11	GREEN BEAN	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
