ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2055	caca11	CHILD (DESCENDANT)	child	đèʔē	đèʔē	5	1801	NA	NA	durr1987preliminary	NA
6350	caca11	CHILD (DESCENDANT)	hijo/hija	đee	đee	5	1801	NA	NA	josserand1983mixtec	NA
2080	caca11	BROTHER (OF MAN)	brother of man	ñāñī̧	ñāñī̧	9	559	NA	NA	durr1987preliminary	NA
6473	caca11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
2092	caca11	SISTER (OF WOMAN)	sister of woman	kùʔù	kùʔù	10	NA	NA	NA	durr1987preliminary	NA
2104	caca11	AUNT	aunt	đīđì	đīđì	11	1272	NA	NA	durr1987preliminary	NA
2118	caca11	UNCLE	uncle	đītò	đītò	12	1327	NA	NA	durr1987preliminary	NA
6585	caca11	MAN	hombre	te-ʔii	te-ʔii	13	1554	NA	NA	josserand1983mixtec	NA
6711	caca11	OWNER	dueño	is-tua(ʔa)	is-tuaʔa	15	1036	NA	NA	josserand1983mixtec	NA
6712	caca11	OWNER	dueño	na̧ʔa̧	na̧ʔa̧	15	1036	NA	NA	josserand1983mixtec	NA
6798	caca11	OWNER	sacerdote	đütü	đütü	15	1036	NA	NA	josserand1983mixtec	NA
6886	caca11	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
2167	caca11	TONGUE	tongue	žáà	žáà	21	1205	NA	NA	durr1987preliminary	NA
2179	caca11	TOOTH	tooth	nò̧ʔō̧	nò̧ʔō̧	22	1380	NA	NA	durr1987preliminary	NA
7004	caca11	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380	NA	NA	josserand1983mixtec	NA
2187	caca11	MOUTH	mouth	žūʔū 	žūʔū 	23	674	NA	NA	durr1987preliminary	NA
7092	caca11	MOUTH	boca	žüü	žüü	23	674	NA	NA	josserand1983mixtec	NA
2199	caca11	EAR	ear	đòʔō	đòʔō	24	1247	NA	NA	durr1987preliminary	NA
7187	caca11	EAR	oreja	loo	loo	24	1247	NA	NA	josserand1983mixtec	NA
7304	caca11	NOSE	nariz	điči̧	điči̧	25	1221	NA	NA	josserand1983mixtec	NA
7420	caca11	NOSE	cuello	điku̧	điku̧	25	1221	NA	NA	josserand1983mixtec	NA
2221	caca11	FINGERNAIL	fingernail	čí̧ì̧	čí̧ì̧	28	1258	NA	NA	durr1987preliminary	NA
7534	caca11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
2234	caca11	BELLY OR STOMACH	stomach	tìšī	tìšī	30	2114	NA	NA	durr1987preliminary	NA
7652	caca11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
2245	caca11	FOOT	foot	sàʔà	sàʔà	32	1301	NA	NA	durr1987preliminary	NA
7771	caca11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7887	caca11	DISEASE	enfermedad	küee	küee	33	1986	NA	NA	josserand1983mixtec	NA
2256	caca11	MEDICINE	medicine	tàtà 	tàtà 	34	1372	NA	NA	durr1987preliminary	NA
8004	caca11	SWELLING	hinchazón	kü-a̧o̧	kü-a̧o̧	35	1903	NA	NA	josserand1983mixtec	NA
8098	caca11	SWELLING	grano	ⁿdii	ⁿdii	35	1903	NA	NA	josserand1983mixtec	NA
8211	caca11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8317	caca11	URINE	orina	te-đeđe	te-đeđe	38	1142	NA	NA	josserand1983mixtec	NA
2267	caca11	CLOTHES	clothes	đāʔmà̧ 	đāʔmà̧ 	39	1895	NA	NA	durr1987preliminary	NA
2276	caca11	SANDAL	sandal	ⁿdìsà	ⁿdìsà	40	NA	NA	NA	durr1987preliminary	NA
8390	caca11	SANDAL	huarache	ⁿdisa̧	ⁿdisa̧	40	NA	NA	NA	josserand1983mixtec	NA
8503	caca11	TROUSERS	calzón, pantalón	sati	sati	41	809	NA	NA	josserand1983mixtec	NA
8581	caca11	BLOUSE (WOVEN)	huipil	đo̧no̧	đo̧no̧	42	NA	NA	NA	josserand1983mixtec	NA
2288	caca11	TOWN OR VILLAGE	town	ñō̧ò̧	ñō̧ò̧	43	3609	NA	NA	durr1987preliminary	NA
8657	caca11	TOWN OR VILLAGE	pueblo	ño̧o̧	ño̧o̧	43	3609	NA	NA	josserand1983mixtec	NA
2302	caca11	HOUSE	house	ƀēʔē	ƀēʔē	44	1252	NA	NA	durr1987preliminary	NA
8774	caca11	HOUSE	casa	wee	wee	44	1252	NA	NA	josserand1983mixtec	NA
8885	caca11	PATH	horcón	đi̧i̧	đi̧i̧	45	2252	NA	NA	josserand1983mixtec	NA
2326	caca11	MAT	straw mat	žūù 	žūù 	47	195	NA	NA	durr1987preliminary	NA
8975	caca11	MAT	petate	žüü	žüü	47	195	NA	NA	josserand1983mixtec	NA
9100	caca11	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
2336	caca11	STOOL	stool	tēì	tēì	49	2058	NA	NA	durr1987preliminary	NA
9212	caca11	STOOL	banquito	tei	tei	49	2058	NA	NA	josserand1983mixtec	NA
