ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6352	chal11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
5576	chal11	CHILD (DESCENDANT)	hijo	se¹Ɂe²	se¹Ɂe²	5	1801	NA	NA	swanton2020observaciones	NA
6475	chal11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
5581	chal11	BROTHER (OF MAN)	hermano de hombre	ɲa²ni¹	ɲa²ni¹	9	559	NA	NA	swanton2020observaciones	NA
6587	chal11	MAN	hombre	čaa	čaa	13	1554	NA	NA	josserand1983mixtec	NA
6714	chal11	OWNER	dueño	xi-toʔo	xi-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6800	chal11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6888	chal11	BLOOD	sangre	nɨ̧ñi̧	nɨ̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
5586	chal11	BLOOD	sangre	nɨ²ɲɨ¹	nɨ²ɲɨ¹	17	946	NA	NA	swanton2020observaciones	+³
5591	chal11	HAIR	pelo	i²ʃi²	i²ʃi²	19	1040	NA	NA	swanton2020observaciones	+³
5596	chal11	TONGUE	lengua	ja³a²	ja³a²	21	1205	NA	NA	swanton2020observaciones	+³
7006	chal11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7094	chal11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
5601	chal11	MOUTH	boca, borde	ju²u²	ju²u²	23	674	NA	NA	swanton2020observaciones	+³
7189	chal11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7306	chal11	NOSE	nariz	kutu	kutu	25	1221	NA	NA	josserand1983mixtec	NA
7422	chal11	NOSE	cuello	suku	suku	25	1221	NA	NA	josserand1983mixtec	NA
7536	chal11	FINGERNAIL	uña	ti̧i̧	ti̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
5606	chal11	FINGERNAIL	uña	ti³i²	ti³i²	28	1258	NA	NA	swanton2020observaciones	+³
7654	chal11	INTESTINES	tripas	xɨtɨ	xɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7773	chal11	FOOT	pie	xaʔa	xaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7890	chal11	DISEASE	enfermedad	kuʔu	kuʔu	33	1986	NA	NA	josserand1983mixtec	NA
7889	chal11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8006	chal11	SWELLING	hinchazón	kʷi̧ñi̧	kʷi̧ñi̧	35	1903	NA	NA	josserand1983mixtec	NA
8100	chal11	SWELLING	grano	ⁿdɨʔži	ⁿdɨʔži	35	1903	NA	NA	josserand1983mixtec	NA
