ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6354	chay12	hijo/hija	seʔe	seʔe	5	NA	NA	NA	josserand1983mixtec	NA
6355	chay12	hijo/hija	sɨʔɨ	sɨʔɨ	5	NA	NA	NA	josserand1983mixtec	NA
6477	chay12	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6589	chay12	hombre	tʸaa	tʸaa	13	NA	NA	NA	josserand1983mixtec	NA
6890	chay12	sangre	ñi̧i̧	ñi̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7191	chay12	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7308	chay12	nariz	hɨti	hɨti	25	NA	NA	NA	josserand1983mixtec	NA
7424	chay12	cuello	suku	suku	26	NA	NA	NA	josserand1983mixtec	NA
7538	chay12	uña	čii	čii	28	NA	NA	NA	josserand1983mixtec	NA
7656	chay12	tripas	(tiši)	tiši	31	NA	NA	NA	josserand1983mixtec	NA
7776	chay12	pie	šaʔa	šaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7775	chay12	pie	sʸaʔa	sʸaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7892	chay12	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8102	chay12	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8215	chay12	pus	na̧-teʔi	na̧-teʔi	37	NA	NA	NA	josserand1983mixtec	NA
8394	chay12	huarache	ⁿdiša	ⁿdiša	40	NA	NA	NA	josserand1983mixtec	NA
8661	chay12	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8778	chay12	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
8980	chay12	petate	žuƀi	žuƀi	47	NA	NA	NA	josserand1983mixtec	NA
9104	chay12	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9217	chay12	banquito	tei	tei	49	NA	NA	NA	josserand1983mixtec	NA
