ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
5906	chic12	madre	nni’²	nni’²	1	NA	NA	NA	good1978diccionario	NA
5907	chic12	padre	dre’²	dre’²	3	NA	NA	NA	good1978diccionario	NA
5908	chic12	hijo/hija	da’ni⁴⁵	da’ni⁴⁵	5	NA	NA	NA	good1978diccionario	NA
5909	chic12	hijo	da’ni⁴⁵ sna’u’⁴	da’ni⁴⁵-sna’u’⁴	6	child-male	NA	NA	good1978diccionario	NA
5910	chic12	hija	da’ni⁴⁵ xano’⁵	da’ni⁴⁵-xano’⁵	7	child-female	NA	NA	good1978diccionario	NA
5911	chic12	hermana/hermano de otro genero	xugüe’³	xugüe’³	8	NA	NA	NA	good1978diccionario	NA
5912	chic12	hermano de hombre	dinï’²	dinï’²	9	NA	NA	NA	good1978diccionario	NA
5913	chic12	hermana de mujer	xugüi’³	xugüi’³	10	NA	NA	NA	good1978diccionario	NA
5914	chic12	tía	du’ui’²	du’ui’²	11	NA	NA	NA	good1978diccionario	NA
5915	chic12	tío	da’nï’²	da’nï’²	12	NA	NA	NA	good1978diccionario	NA
5916	chic12	hombre	si¹	si¹	13	NA	NA	NA	good1978diccionario	NA
5917	chic12	mujer	si³ xana⁵	si³-xana⁵	14	?-woman	NA	NA	good1978diccionario	NA
5918	chic12	dueño	si¹ si-’yaj³	si¹-si-’yaj³	15	man-?-?	NA	NA	good1978diccionario	NA
5919	chic12	sacerdote	xi’² drej³	xi’²-drej³	16	NA	NA	NA	good1978diccionario	NA
5920	chic12	sangre	tun³	tun³	17	NA	NA	NA	good1978diccionario	NA
5921	chic12	hueso	cu¹	cu¹	18	NA	NA	NA	good1978diccionario	NA
5922	chic12	pelo	huue² ahui’²	huue²-ahui’²	19	hair-head	NA	NA	good1978diccionario	NA
5923	chic12	cara	riun’³⁴	riun’³⁴	20	NA	NA	NA	good1978diccionario	NA
5924	chic12	lengua	yyo’³⁴	yyo’³⁴	21	NA	NA	NA	good1978diccionario	NA
5925	chic12	diente	yun’²	yun’²	22	NA	NA	NA	good1978diccionario	NA
5926	chic12	boca	du’o’²	du’o’²	23	NA	NA	NA	good1978diccionario	NA
5927	chic12	oreja	raquï’²	raquï’²	24	NA	NA	NA	good1978diccionario	NA
5928	chic12	nariz	daquïn’²	daquïn’²	25	NA	NA	NA	good1978diccionario	NA
5929	chic12	cuello	xio’²	xio’²	26	NA	NA	NA	good1978diccionario	NA
5930	chic12	mano	ro’o’²	ro’o’²	27	NA	NA	NA	good1978diccionario	NA
5931	chic12	uña	cu¹ sitïn’²	cu¹-sitïn’²	28	bone-?	NA	NA	good1978diccionario	NA
5932	chic12	espalda	xichro’²	xichro’²	29	NA	NA	NA	good1978diccionario	NA
5933	chic12	panza, estómago	si-co’⁴³	si-co’⁴³	30	NA	NA	NA	good1978diccionario	NA
5934	chic12	tripa	xichri’³i	xichri’³i	31	NA	NA	NA	good1978diccionario	NA
5935	chic12	tripa, intestino	xichi’⁴’i	xichi’⁴’i	31	NA	NA	NA	good1978diccionario	NA
5936	chic12	pie	daco’²	daco’²	32	NA	NA	NA	good1978diccionario	NA
5937	chic12	enfermedad	xi’i⁵	xi’i⁵	33	NA	NA	NA	good1978diccionario	NA
5938	chic12	medicina, remedio	gono’o²	gono’o²	34	NA	NA	NA	good1978diccionario	NA
5939	chic12	hinchazón	gu’man³⁴	gu’man³⁴	35	NA	NA	NA	good1978diccionario	NA
5940	chic12	grano	nuj³	nuj³	36	NA	NA	NA	good1978diccionario	NA
5941	chic12	pus, materia	cuej³	cuej³	37	NA	NA	NA	good1978diccionario	NA
5942	chic12	orina	nne³⁴ ri’i’⁴	nne³⁴-ri’i’⁴	38	water-pee?	NA	NA	good1978diccionario	NA
5943	chic12	tela, ropa, trapo	atsij⁵i	atsij⁵i	39	NA	NA	NA	good1978diccionario	NA
