ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6358	chig11	CHILD (DESCENDANT)	hijo/hija	đeʔe	đeʔe	5	1801	NA	NA	josserand1983mixtec	NA
6359	chig11	CHILD (DESCENDANT)	hijo/hija	iʔa	iʔa	5	1801	NA	NA	josserand1983mixtec	NA
6480	chig11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6592	chig11	MAN	hombre	ti-ii	ti-ii	13	1554	NA	NA	josserand1983mixtec	NA
6718	chig11	OWNER	dueño	štoʔo	štoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6804	chig11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6893	chig11	BLOOD	sangre	nì̧ì̧	nì̧ì̧	17	946	NA	NA	josserand1983mixtec	NA
7010	chig11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7098	chig11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7194	chig11	EAR	oreja	tutnu̧	tutnu̧	24	1247	NA	NA	josserand1983mixtec	NA
7311	chig11	NOSE	nariz	đitni̧	đitni̧	25	1221	NA	NA	josserand1983mixtec	NA
7427	chig11	NOSE	cuello	đúkᵑ	đúkᵑ	25	1221	NA	NA	josserand1983mixtec	NA
7541	chig11	FINGERNAIL	uņa	či-či̧i̧	či-či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7659	chig11	INTESTINES	tripas	ṣ̌iȼi	ṣ̌iȼi	31	1991	NA	NA	josserand1983mixtec	NA
7779	chig11	FOOT	pie	ṣ̌aʔa	ṣ̌aʔa	32	1301	NA	NA	josserand1983mixtec	NA
7895	chig11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
