ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
881	coat11	MOTHER	mother	dɨhɨ̄	dɨhɨ̄	1	1216	NA	NA	small1990syntactic	NA
882	coat11	MOTHER VOCATIVE	mother!, mom!	ñāâ	ñāâ	2	NA	NA	NA	small1990syntactic	NA
883	coat11	FATHER	father	uvā	uvā	3	1217	NA	NA	small1990syntactic	NA
884	coat11	FATHER VOCATIVE	father!, dad!	ūvâ	ūvâ	4	NA	NA	NA	small1990syntactic	NA
885	coat11	CHILD (DESCENDANT)	son/daughter, child	ihshá	ihshá	5	1801	NA	NA	small1990syntactic	NA
2050	coat11	CHILD (DESCENDANT)	child	íʔšá	íʔšá	5	1801	NA	NA	durr1987preliminary	NA
6360	coat11	CHILD (DESCENDANT)	hijo/hija	iʔi	iʔi	5	1801	NA	NA	josserand1983mixtec	NA
886	coat11	DAUGHTER	daughter	dyōkó	dyōkó	7	1357	NA	NA	small1990syntactic	NA
887	coat11	BROTHER (OF MAN)	brother of man	ení	ení	9	559	NA	NA	small1990syntactic	NA
2076	coat11	BROTHER (OF MAN)	brother of man	éní̧	éní̧	9	559	NA	NA	durr1987preliminary	NA
6481	coat11	BROTHER (OF MAN)	hermano de hombre	ȩni̧	ȩni̧	9	559	NA	NA	josserand1983mixtec	NA
888	coat11	SISTER (OF WOMAN)	sister of woman	tahan	tahan	10	NA	NA	NA	small1990syntactic	NA
889	coat11	AUNT	aunt	ñāná	ñāná	11	1272	NA	NA	small1990syntactic	NA
2099	coat11	AUNT	aunt	đíđí	đíđí	11	1272	NA	NA	durr1987preliminary	NA
890	coat11	UNCLE	uncle	dītó	dītó	12	1327	NA	NA	small1990syntactic	NA
2113	coat11	UNCLE	uncle	đító	đító	12	1327	NA	NA	durr1987preliminary	NA
6593	coat11	MAN	hombre	ña-tii	ña-tii	13	1554	NA	NA	josserand1983mixtec	NA
891	coat11	OWNER	owner, boss	tōhó	tōhó	15	1036	NA	NA	small1990syntactic	NA
6719	coat11	OWNER	dueño	tθoʔo	tθoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6805	coat11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
892	coat11	PRIEST	priest	dutu	dutu	16	852	NA	NA	small1990syntactic	NA
6894	coat11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
893	coat11	HAIR	hair	idi	idi	19	1040	NA	NA	small1990syntactic	NA
894	coat11	FACE	face	núu	núu	20	1560	NA	NA	small1990syntactic	NA
2152	coat11	FACE	face	nú̧ǔ̧	nú̧ǔ̧	20	1560	NA	NA	durr1987preliminary	NA
2175	coat11	TOOTH	tooth	nù̧ʔú̧	nù̧ʔú̧	22	1380	NA	NA	durr1987preliminary	NA
7011	coat11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
895	coat11	MOUTH	mouth	shuhu	shuhu	23	674	NA	NA	small1990syntactic	NA
2182	coat11	MOUTH	mouth	šùʔù	šùʔù	23	674	NA	NA	durr1987preliminary	NA
7099	coat11	MOUTH	boca	šoʔo	šoʔo	23	674	NA	NA	josserand1983mixtec	NA
7195	coat11	EAR	oreja	loʔo	loʔo	24	1247	NA	NA	josserand1983mixtec	NA
896	coat11	NOSE	nose	dítsīn	dítsīn	25	1221	NA	NA	small1990syntactic	NA
7312	coat11	NOSE	nariz	điȼi̧	điȼi̧	25	1221	NA	NA	josserand1983mixtec	NA
7428	coat11	NOSE	cuello	đuku̧	đuku̧	25	1221	NA	NA	josserand1983mixtec	NA
897	coat11	NECK	neck	dukun	dukun	26	1333	NA	NA	small1990syntactic	NA
898	coat11	HAND	hand	ndaha	ndaha	27	1277	NA	NA	small1990syntactic	NA
2205	coat11	HAND	hand	ⁿdàʔà	ⁿdàʔà	27	1277	NA	NA	durr1987preliminary	NA
899	coat11	FINGERNAIL	fingernail	tsiin	tsiin	28	1258	NA	NA	small1990syntactic	NA
2218	coat11	FINGERNAIL	fingernail	ȼì̧ì̧	ȼì̧ì̧	28	1258	NA	NA	durr1987preliminary	NA
7542	coat11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
900	coat11	BACK	back	átā	átā	29	1291	NA	NA	small1990syntactic	NA
7660	coat11	INTESTINES	tripas	itɨ	itɨ	31	1991	NA	NA	josserand1983mixtec	NA
901	coat11	FOOT	foot	dɨ́hɨn	dɨ́hɨn	32	1301	NA	NA	small1990syntactic	NA
7780	coat11	FOOT	pie	đɨ̧ʔɨ̧	đɨ̧ʔɨ̧	32	1301	NA	NA	josserand1983mixtec	NA
902	coat11	DISEASE	disease, illness, sickness	kwíhí	kwíhí	33	1986	NA	NA	small1990syntactic	NA
7896	coat11	DISEASE	enfermedad	kʷiʔi	kʷiʔi	33	1986	NA	NA	josserand1983mixtec	NA
903	coat11	MEDICINE	herb, medicine	chóhō	chóhō	34	1372	NA	NA	small1990syntactic	NA
8011	coat11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8106	coat11	SWELLING	grano	ⁿdɨšɨ	ⁿdɨšɨ	35	1903	NA	NA	josserand1983mixtec	NA
8219	coat11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8323	coat11	URINE	orina	tete	tete	38	1142	NA	NA	josserand1983mixtec	NA
904	coat11	CLOTHES	cloth, clothes	doo	doo	39	1895	NA	NA	small1990syntactic	NA
2262	coat11	CLOTHES	clothes	đàʔmà̧	đàʔmà̧	39	1895	NA	NA	durr1987preliminary	NA
905	coat11	SANDAL	sandal, sandals	ndihshen	ndihshen	40	NA	NA	NA	small1990syntactic	NA
2273	coat11	SANDAL	sandal	ⁿdíʔšȩ̌	ⁿdíʔšȩ̌	40	NA	NA	NA	durr1987preliminary	NA
8398	coat11	SANDAL	huarache	ⁿdišȩ	ⁿdišȩ	40	NA	NA	NA	josserand1983mixtec	NA
8587	coat11	BLOUSE (WOVEN)	huipil	đu̧ʔnu̧	đu̧ʔnu̧	42	NA	NA	NA	josserand1983mixtec	NA
906	coat11	TOWN OR VILLAGE	village, town	ñuú	ñuú	43	3609	NA	NA	small1990syntactic	NA
2283	coat11	TOWN OR VILLAGE	town	ñù̧ú̧	ñù̧ú̧	43	3609	NA	NA	durr1987preliminary	NA
8665	coat11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
