ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
4149	colo11	MOTHER	madre	sɨ̀hɨ̀	sɨ̀hɨ̀	1	1216	NA	NA	stark1986diccionario	NA
4150	colo11	MOTHER VOCATIVE	mamá!	míyàn	míyàn	2	NA	NA	NA	stark1986diccionario	NA
4151	colo11	FATHER	padre	jùtù	jùtù	3	1217	NA	NA	stark1986diccionario	NA
4152	colo11	FATHER VOCATIVE	papá!	tyatyá	tyatyá	4	NA	NA	NA	stark1986diccionario	NA
4153	colo11	CHILD (DESCENDANT)	hijo/hija	sehe	sehe	5	1801	NA	NA	stark1986diccionario	NA
6362	colo11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
4154	colo11	CROSS-SEX SIBLING	hermana/hermano de otro genero	cuhva	cuhva	8	NA	NA	NA	stark1986diccionario	NA
4155	colo11	BROTHER (OF MAN)	hermano de hombre	yáni	yáni	9	559	NA	NA	stark1986diccionario	NA
6483	colo11	BROTHER (OF MAN)	hermano de hombre	ya̧ñi̧	ya̧ñi̧	9	559	NA	NA	josserand1983mixtec	NA
4156	colo11	SISTER (OF WOMAN)	hermana de mujer	cùhvì	cùhvì	10	NA	NA	NA	stark1986diccionario	NA
4157	colo11	AUNT	tía	tyíxi	tyíxi	11	1272	NA	NA	stark1986diccionario	NA
4158	colo11	UNCLE	tío	ìxtò	ìxtò	12	1327	NA	NA	stark1986diccionario	NA
4159	colo11	MAN	hombre	rayɨɨ	ra-yɨɨ	13	1554	NA	NA	stark1986diccionario	NA
6595	colo11	MAN	hombre	ra-yɨɨ	ra-yɨɨ	13	1554	NA	NA	josserand1983mixtec	NA
4160	colo11	WOMAN	mujer	ñaha	ñaha	14	962	NA	NA	stark1986diccionario	NA
4161	colo11	OWNER	dueño	játsíí	játsíí	15	1036	NA	NA	stark1986diccionario	NA
4162	colo11	OWNER	dueño	tsitóhò	tsi-tóhò	15	1036	NA	NA	stark1986diccionario	NA
6721	colo11	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6807	colo11	OWNER	sacerdote	hutu	hutu	15	1036	NA	NA	josserand1983mixtec	NA
4163	colo11	PRIEST	sacerdote	jùtù	jùtù	16	852	NA	NA	stark1986diccionario	NA
4164	colo11	BLOOD	sangre	nɨ̀ñɨ̀	nɨ̀ñɨ̀	17	946	NA	NA	stark1986diccionario	NA
6896	colo11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
4165	colo11	BONE	hueso	yɨquɨ	yɨquɨ	18	1394	NA	NA	stark1986diccionario	NA
4166	colo11	HAIR	pelo	ixi	ixi	19	1040	NA	NA	stark1986diccionario	NA
4167	colo11	FACE	cara	nùù yò	nùù	20	1560	NA	NA	stark1986diccionario	NA
4169	colo11	TOOTH	diente	nuhu yo	nuhu	22	1380	NA	NA	stark1986diccionario	NA
7013	colo11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
4170	colo11	MOUTH	boca	yuhu yo	yuhu	23	674	NA	NA	stark1986diccionario	NA
7101	colo11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
4171	colo11	EAR	oreja	sohó yo	sohó	24	1247	NA	NA	stark1986diccionario	NA
7197	colo11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
4172	colo11	NOSE	nariz	ìxtyìn yò	ìxtyìn	25	1221	NA	NA	stark1986diccionario	NA
7314	colo11	NOSE	nariz	šitʸi	šitʸi	25	1221	NA	NA	josserand1983mixtec	NA
7430	colo11	NOSE	cuello	huku̧	huku̧	25	1221	NA	NA	josserand1983mixtec	NA
4173	colo11	NECK	cuello	jùcùn yò	jùcùn	26	1333	NA	NA	stark1986diccionario	NA
4174	colo11	HAND	mano	ndaha yo	ndaha	27	1277	NA	NA	stark1986diccionario	NA
4175	colo11	FINGERNAIL	uña	tyíñú yó	tyíñú	28	1258	NA	NA	stark1986diccionario	NA
7544	colo11	FINGERNAIL	uña	tʸi̧ñu̧	tʸi̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
4176	colo11	BACK	espalda	tsàtà yò	tsàtà	29	1291	NA	NA	stark1986diccionario	NA
4177	colo11	BELLY OR STOMACH	estómago, abdomen	tsitsi yo	tsitsi	30	2114	NA	NA	stark1986diccionario	NA
4178	colo11	INTESTINES	tripas, intestinos	tsɨtɨ̀ yo	tsɨtɨ̀	31	1991	NA	NA	stark1986diccionario	NA
7662	colo11	INTESTINES	tripas	čɨtɨ	čɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
4179	colo11	FOOT	pie	tsàhà yo	tsàhà	32	1301	NA	NA	stark1986diccionario	NA
7782	colo11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
4180	colo11	DISEASE	enfermedad	cuehè	cuehè	33	1986	NA	NA	stark1986diccionario	NA
7898	colo11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
4181	colo11	MEDICINE	medicina	numerí	numerí	34	1372	yes?	Spanish?	stark1986diccionario	NA
4182	colo11	MEDICINE	medicina inyectable	tàtàn	tàtàn	34	1372	NA	NA	stark1986diccionario	NA
4183	colo11	SWELLING	hinchazón, papera	cuiñu	cuiñu	35	1903	NA	NA	stark1986diccionario	NA
8013	colo11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8108	colo11	SWELLING	grano	ⁿdɨʔyɨ	ⁿdɨʔyɨ	35	1903	NA	NA	josserand1983mixtec	NA
4184	colo11	PIMPLE	grano	ndɨhyɨ	ndɨhyɨ	36	1809	NA	NA	stark1986diccionario	NA
4185	colo11	PUS	pus	ndacua	ndacua	37	1808	NA	NA	stark1986diccionario	NA
8221	colo11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
4186	colo11	URINE	orina	làxà	làxà	38	1142	NA	NA	stark1986diccionario	NA
8325	colo11	URINE	orina	laša	laša	38	1142	NA	NA	josserand1983mixtec	NA
8324	colo11	URINE	orina	tʸatʸa-čaša	tʸatʸa-čaša	38	1142	NA	NA	josserand1983mixtec	NA
4187	colo11	CLOTHES	tela, ropa	jahma	jahma	39	1895	NA	NA	stark1986diccionario	NA
4188	colo11	SANDAL	huarache	ndìtsàn	ndìtsàn	40	NA	NA	NA	stark1986diccionario	NA
8400	colo11	SANDAL	huarache	ⁿdʸiča̧	ⁿdʸiča̧	40	NA	NA	NA	josserand1983mixtec	NA
8511	colo11	TROUSERS	calzón, pantalón	ti-čaʔa	ti-čaʔa	41	809	NA	NA	josserand1983mixtec	NA
4189	colo11	BLOUSE (WOVEN)	huipil	xìcùn	xìcùn	42	NA	NA	NA	stark1986diccionario	NA
8589	colo11	BLOUSE (WOVEN)	huipil	šiku̧	šiku̧	42	NA	NA	NA	josserand1983mixtec	NA
4190	colo11	TOWN OR VILLAGE	pueblo	ñúu	ñúu	43	3609	NA	NA	stark1986diccionario	NA
8667	colo11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
4191	colo11	HOUSE	casa	vehe	vehe	44	1252	NA	NA	stark1986diccionario	NA
4192	colo11	PATH	camino	ityi	ityi	45	2252	NA	NA	stark1986diccionario	NA
8894	colo11	PATH	horcón	sɨ̧ʔɨ̧	sɨ̧ʔɨ̧	45	2252	NA	NA	josserand1983mixtec	NA
4193	colo11	POST	horcón	sɨ́hɨ̀n	sɨ́hɨ̀n	46	281	NA	NA	stark1986diccionario	NA
4194	colo11	MAT	petate	yuvi	yuvi	47	195	NA	NA	stark1986diccionario	NA
8986	colo11	MAT	petate	yuwi	yuwi	47	195	NA	NA	josserand1983mixtec	NA
4195	colo11	BED	cama, lecho	tsito	tsito	48	1663	NA	NA	stark1986diccionario	NA
9109	colo11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
4196	colo11	STOOL	banquito, silla	tyáyu	tyáyu	49	2058	NA	NA	stark1986diccionario	NA
9223	colo11	STOOL	banquito	tʸayu	tʸayu	49	2058	NA	NA	josserand1983mixtec	NA
4197	colo11	ANIMAL	animal	quɨtɨ	quɨtɨ	50	619	NA	NA	stark1986diccionario	NA
9345	colo11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10103	colo11	ANIMAL	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
4198	colo11	BIRD	pájaro	sáa	sáa	51	937	NA	NA	stark1986diccionario	NA
9463	colo11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10242	colo11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
4199	colo11	FISH	pescado	tyàca	tyàca	52	227	NA	NA	stark1986diccionario	NA
10358	colo11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
4200	colo11	SNAKE	culebra	còò	còò	53	730	NA	NA	stark1986diccionario	NA
9575	colo11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
4201	colo11	FROG	rana	sáhva	sáhva	54	503	NA	NA	stark1986diccionario	NA
9666	colo11	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
4202	colo11	HAWK	gavilán	tàsù	tàsù	55	307	NA	NA	stark1986diccionario	NA
9799	colo11	HAWK	gavilán	tasu	tasu	55	307	NA	NA	josserand1983mixtec	NA
9925	colo11	HAWK	alacrán	tu-hu̧ʔma̧	tu-hu̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
4203	colo11	SCORPION	alacrán	tujuhma	tu-juhma	56	1538	NA	NA	stark1986diccionario	NA
4204	colo11	COCKROACH	cucaracha americana (grande)	ticosó	ti-cosó	57	1575	NA	NA	stark1986diccionario	NA
4205	colo11	COCKROACH	cucaracha (chica)	tucuáàn	tu-cuáàn	57	1575	NA	NA	stark1986diccionario	NA
10010	colo11	COCKROACH	cucaracha	tu-koso	tu-koso	57	1575	NA	NA	josserand1983mixtec	NA
4206	colo11	GRASSHOPPER	chapulín	tica xìyàmà	tica-xìyàmà	58	607	NA	NA	stark1986diccionario	NA
4207	colo11	BEE	abeja	ñùñù	ñùñù	59	665	NA	NA	stark1986diccionario	NA
10477	colo11	BEE	gato	(mi̧stu)	mi̧stu	59	665	NA	NA	josserand1983mixtec	NA
4208	colo11	MUROID (MOUSE OR RAT)	ratón, rata	tɨñɨ́	tɨñɨ́	60	2139	NA	NA	stark1986diccionario	NA
4209	colo11	DEER	venado	isù	isù	61	1936	NA	NA	stark1986diccionario	NA
4210	colo11	SQUIRREL	ardilla	cuañu	cuañu	62	1628	NA	NA	stark1986diccionario	NA
4211	colo11	SKUNK	zorrillo	tiñɨ̀hɨ̀	tiñɨ̀hɨ̀	63	NA	NA	NA	stark1986diccionario	NA
4212	colo11	POSSUM	tlacuache	tsoco	tsoco	64	470	NA	NA	stark1986diccionario	NA
4213	colo11	RABBIT	conejo	cuñexú	cuñexú	66	1136	yes	Spanish	stark1986diccionario	NA
4214	colo11	VULTURE	zopilote	ndìtsìì	ndìtsìì	67	1185	NA	NA	stark1986diccionario	NA
4215	colo11	DOG	perro	inà	inà	68	2009	NA	NA	stark1986diccionario	NA
4216	colo11	CAT	gato	mistú	mistú	69	1208	yes	Colonial Spanish	stark1986diccionario	NA
4217	colo11	CAT	gato	mixtú	mixtú	69	1208	yes	Colonial Spanish	stark1986diccionario	NA
4218	colo11	ROOSTER	gallo	tsitoohó	tsitoohó	70	1511	NA	NA	stark1986diccionario	NA
4219	colo11	HEN	gallina, pollo	ndɨvɨ́	ndɨvɨ́	71	1514	NA	NA	stark1986diccionario	NA
4220	colo11	PIG	marrano, puerco, cochino	quɨ́nɨ̀	quɨ́nɨ̀	72	1337	NA	NA	stark1986diccionario	NA
4221	colo11	HORSE	caballo	cuayú	cuayú	73	615	yes	Colonial Spanish	stark1986diccionario	NA
