ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
1489	copa11	mother	nii³	nii³	1	NA	NA	NA	hollenbach1992syntactic	NA
1490	copa11	mother!, mom!	'na³nii³	'na³nii³	2	NA	NA	NA	hollenbach1992syntactic	NA
1491	copa11	father	rex³	rex³	3	NA	NA	NA	hollenbach1992syntactic	NA
1492	copa11	father!, dad!	'a³tax¹	'a³tax¹	4	Sp. tata	yes	Spanish	hollenbach1992syntactic	NA
1493	copa11	son/daughter, child	tahnii⁵	tahnii⁵	5	NA	NA	NA	hollenbach1992syntactic	NA
1494	copa11	cross-sex sibling	rahwix³²	rahwix³²	8	only translated as ‘brother of female’	NA	NA	hollenbach1992syntactic	NA
1495	copa11	brother of man	tinuu⁵	tinuu⁵	9	NA	NA	NA	hollenbach1992syntactic	NA
1496	copa11	sister of woman	shuhwix³²	shuhwix³²	10	NA	NA	NA	hollenbach1992syntactic	NA
1497	copa11	aunt	tuhwe³	tuhwe³	11	NA	NA	NA	hollenbach1992syntactic	NA
1498	copa11	uncle	tahnuh³	tahnuh³	12	NA	NA	NA	hollenbach1992syntactic	NA
1499	copa11	man	chii³	chii³	13	NA	NA	NA	hollenbach1992syntactic	NA
1500	copa11	woman	sha³na¹	sha³na¹	14	NA	NA	NA	hollenbach1992syntactic	NA
1501	copa11	priest	shrex³	shrex³	16	NA	NA	NA	hollenbach1992syntactic	NA
1502	copa11	blood	ton³²	ton³²	17	NA	NA	NA	hollenbach1992syntactic	NA
1503	copa11	bone	kuu⁵	kuu⁵	18	NA	NA	NA	hollenbach1992syntactic	NA
1504	copa11	face	riaan³²	riaan³²	20	NA	NA	NA	hollenbach1992syntactic	NA
1505	copa11	tongue	yaa³²	yaa³²	21	NA	NA	NA	hollenbach1992syntactic	NA
1506	copa11	mouth	tuhwa³	tuhwa³	23	NA	NA	NA	hollenbach1992syntactic	NA
1507	copa11	ear	shree⁵	shree⁵	24	NA	NA	NA	hollenbach1992syntactic	NA
1508	copa11	nose	takuun⁵	takuun⁵	25	NA	NA	NA	hollenbach1992syntactic	NA
1509	copa11	neck	shia⁴	shia⁴	26	NA	NA	NA	hollenbach1992syntactic	NA
1510	copa11	hand	raha³	raha³	27	NA	NA	NA	hollenbach1992syntactic	NA
1511	copa11	back	shraa⁵	shraa⁵	29	NA	NA	NA	hollenbach1992syntactic	NA
1512	copa11	stomach	rke³	rke³	30	NA	NA	NA	hollenbach1992syntactic	NA
1513	copa11	foot	takoo⁵	takoo⁵	32	NA	NA	NA	hollenbach1992syntactic	NA
1514	copa11	feet	shehe⁴	shehe⁴	32	NA	NA	NA	hollenbach1992syntactic	NA
1515	copa11	sickness	shihii³¹	shihii³¹	33	NA	NA	NA	hollenbach1992syntactic	NA
1516	copa11	remedy	konoho⁴	konoho⁴	34	NA	NA	NA	hollenbach1992syntactic	NA
1517	copa11	clothing	sa³ganh¹	sa³ganh¹	39	NA	NA	NA	hollenbach1992syntactic	NA
1518	copa11	clothing, garment	yatsex⁵	yatsex⁵	39	NA	NA	NA	hollenbach1992syntactic	NA
