ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6364	coxc11	CHILD (DESCENDANT)	hijo/hija	đaʔa	đaʔa	5	1801	NA	NA	josserand1983mixtec	NA
6485	coxc11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6597	coxc11	MAN	hombre	ȼee	ȼee	13	1554	NA	NA	josserand1983mixtec	NA
6598	coxc11	MAN	hombre	see	see	13	1554	NA	NA	josserand1983mixtec	NA
6898	coxc11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
7015	coxc11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7200	coxc11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7316	coxc11	NOSE	nariz	đi̧(ʔ)ni̧	đi̧ʔni̧	25	1221	NA	NA	josserand1983mixtec	NA
7317	coxc11	NOSE	nariz	đi̧Nni̧	đi̧Nni̧	25	1221	NA	NA	josserand1983mixtec	NA
7432	coxc11	NOSE	cuello	đuku̧	đuku̧	25	1221	NA	NA	josserand1983mixtec	NA
7546	coxc11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7664	coxc11	INTESTINES	tripas	siti	siti	31	1991	NA	NA	josserand1983mixtec	NA
7665	coxc11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7784	coxc11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7900	coxc11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8110	coxc11	SWELLING	grano	ti-u̧ʔu̧	ti-u̧ʔu̧	35	1903	NA	NA	josserand1983mixtec	NA
8223	coxc11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8402	coxc11	SANDAL	huarache	ⁿčisa	ⁿčisa	40	NA	NA	NA	josserand1983mixtec	NA
8669	coxc11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8785	coxc11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
8988	coxc11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9111	coxc11	BED	tapanco	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9225	coxc11	STOOL	banquito	banku	banku	49	2058	NA	NA	josserand1983mixtec	NA
9347	coxc11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10106	coxc11	ANIMAL	rata	ti-ʔni̧ñi̧	ti-ʔni̧ñi̧	50	619	NA	NA	josserand1983mixtec	NA
9465	coxc11	BIRD	pájaro	tɨ-đaa	tɨ-đaa	51	937	NA	NA	josserand1983mixtec	NA
10244	coxc11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
10360	coxc11	FISH	ardilla	či-kʷa̧ñu̧	či-kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
10479	coxc11	BEE	gato	ƀilu	ƀilu	59	665	NA	NA	josserand1983mixtec	NA
10602	coxc11	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
10717	coxc11	FEATHER	pluma	ʔnu̧u̧	ʔnu̧u̧	77	1201	NA	NA	josserand1983mixtec	NA
10925	coxc11	TAIL	cola	đitu	đitu	79	1220	NA	NA	josserand1983mixtec	NA
10924	coxc11	TAIL	cola	đu̧ʔa̧	đu̧ʔa̧	79	1220	NA	NA	josserand1983mixtec	NA
11045	coxc11	TREE	árbol	žu̧ʔNnu̧	žu̧ʔNnu̧	80	906	NA	NA	josserand1983mixtec	NA
11044	coxc11	TREE	árbol	žu̧ʔnu̧	žu̧ʔnu̧	80	906	NA	NA	josserand1983mixtec	NA
11264	coxc11	MAGUEY	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11383	coxc11	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
11504	coxc11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
11618	coxc11	CORN DOUGH	masa	žusa̧	žusa̧	91	NA	NA	NA	josserand1983mixtec	NA
11741	coxc11	TORTILLA	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
12124	coxc11	TASSEL	frijol(es)	ⁿduči	ⁿduči	95	NA	NA	NA	josserand1983mixtec	NA
12325	coxc11	SALT	sal	ñi̧i̧	ñi̧i̧	99	1274	NA	NA	josserand1983mixtec	NA
12443	coxc11	PUMPKIN	calabaza	žɨku̧	žɨku̧	100	864	NA	NA	josserand1983mixtec	NA
12557	coxc11	SUGAR CANE	caña	ⁿdoo	ⁿdoo	102	146	NA	NA	josserand1983mixtec	NA
12670	coxc11	HONEY	miel	ⁿduđi	ⁿduđi	103	942	NA	NA	josserand1983mixtec	NA
12795	coxc11	EGG	blanquillo, huevo	ⁿdɨƀɨ	ⁿdɨƀɨ	105	744	NA	NA	josserand1983mixtec	NA
13173	coxc11	MEAT	carne	ku̧ñu̧	ku̧ñu̧	114	634	NA	NA	josserand1983mixtec	NA
13291	coxc11	GRIDDLE	comal	šio	šio	115	NA	NA	NA	josserand1983mixtec	NA
13497	coxc11	OVEN	horno	ši̧ʔnu̧	ši̧ʔnu̧	117	1143	NA	NA	josserand1983mixtec	NA
13607	coxc11	FIRE	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	221	NA	NA	josserand1983mixtec	NA
13723	coxc11	SMOKE (EXHAUST)	humo	ñu̧ʔa̧	ñu̧ʔa̧	121	778	NA	NA	josserand1983mixtec	NA
13939	coxc11	GOURD BOWL	jícara	žaši	žaši	124	NA	NA	NA	josserand1983mixtec	NA
14060	coxc11	BASKET	cajón	kaxa	kaxa	125	1539	NA	NA	josserand1983mixtec	NA
14167	coxc11	THREAD	hilo	žuʔa	žuʔa	127	1161	NA	NA	josserand1983mixtec	NA
14438	coxc11	NET	red	ñu̧nu̧	ñu̧nu̧	131	2963	NA	NA	josserand1983mixtec	NA
14560	coxc11	WATER	agua	ⁿduča	ⁿduča	137	948	NA	NA	josserand1983mixtec	NA
14559	coxc11	WATER	agua	ⁿdusa	ⁿdusa	137	948	NA	NA	josserand1983mixtec	NA
14690	coxc11	RAIN (PRECIPITATION)	lluvia	đaƀi	đaƀi	138	658	NA	NA	josserand1983mixtec	NA
14811	coxc11	RIVER	río	žuča	žuča	139	666	NA	NA	josserand1983mixtec	NA
15023	coxc11	MOUNTAIN OR HILL	cerro	žuku	žuku	141	2118	NA	NA	josserand1983mixtec	NA
15150	coxc11	PLAIN	llano	žođo	žođo	142	652	NA	NA	josserand1983mixtec	NA
15276	coxc11	STONE OR ROCK	piedra	žuu	žuu	143	2125	NA	NA	josserand1983mixtec	NA
15590	coxc11	BEESWAX	cera	ñu̧·a̧	ñu̧·a̧	148	1931	NA	NA	josserand1983mixtec	NA
15591	coxc11	BEESWAX	cera	ñu̧u̧	ñu̧u̧	148	1931	NA	NA	josserand1983mixtec	NA
15712	coxc11	MUD	lodo	ⁿdoʔyo	ⁿdoʔyo	149	640	NA	NA	josserand1983mixtec	NA
15713	coxc11	MUD	lodo	ⁿdoʔžo	ⁿdoʔžo	149	640	NA	NA	josserand1983mixtec	NA
15831	coxc11	FOAM	espuma	ti-ʔi̧ñu̧	ti-ʔi̧ñu̧	150	1768	NA	NA	josserand1983mixtec	NA
16424	coxc11	FOAM	cuatro	ko̧n	ko̧n	150	1768	NA	NA	josserand1983mixtec	NA
16423	coxc11	FOAM	cuatro	ko̧u̧ⁿ	ko̧u̧ⁿ	150	1768	NA	NA	josserand1983mixtec	NA
16548	coxc11	DUST	cinco	o̧ʔo̧	o̧ʔo̧	151	2	NA	NA	josserand1983mixtec	NA
16547	coxc11	DUST	cinco	u̧ʔu̧	u̧ʔu̧	151	2	NA	NA	josserand1983mixtec	NA
15951	coxc11	RED	rojo	kʷaʔa	kʷaʔa	152	156	NA	NA	josserand1983mixtec	NA
16667	coxc11	RED	seis	i̧ñu̧	i̧ñu̧	152	156	NA	NA	josserand1983mixtec	NA
16783	coxc11	GREEN	siete	usa	usa	153	1425	NA	NA	josserand1983mixtec	NA
16067	coxc11	YELLOW	amarillo	kʷa̧a̧	kʷa̧a̧	154	1424	NA	NA	josserand1983mixtec	NA
16901	coxc11	YELLOW	ocho	u̧na̧	u̧na̧	154	1424	NA	NA	josserand1983mixtec	NA
17014	coxc11	BLACK	diez	uši	uši	155	163	NA	NA	josserand1983mixtec	NA
17131	coxc11	ONE	quince	sa̧ʔa̧	sa̧ʔa̧	157	1493	NA	NA	josserand1983mixtec	NA
16182	coxc11	TWO	dos	uu	uu	158	1498	NA	NA	josserand1983mixtec	NA
16305	coxc11	THREE	tres	o̧ni̧	o̧ni̧	159	492	NA	NA	josserand1983mixtec	NA
16304	coxc11	THREE	tres	u̧ni̧	u̧ni̧	159	492	NA	NA	josserand1983mixtec	NA
17250	coxc11	THREE	pobre	ⁿdaʔƀi	ⁿdaʔƀi	159	492	NA	NA	josserand1983mixtec	NA
17366	coxc11	COLD	frío	ƀiši	ƀiši	171	1287	NA	NA	josserand1983mixtec	NA
17577	coxc11	BIG (SINGULAR)	grande (sg.)	kaʔnu̧	kaʔnu̧	173	NA	NA	NA	josserand1983mixtec	NA
17696	coxc11	SMALL (SINGULAR)	chico	luči	luči	175	NA	NA	NA	josserand1983mixtec	NA
17914	coxc11	SWEET	dulce	ƀiđi	ƀiđi	180	717	NA	NA	josserand1983mixtec	NA
18120	coxc11	BITTER	amargo	ua	ua	182	887	NA	NA	josserand1983mixtec	NA
18316	coxc11	NEW	flojo	đusa	đusa	185	1231	NA	NA	josserand1983mixtec	NA
18570	coxc11	NEAR	está cerca	ya	ya	189	1942	NA	NA	josserand1983mixtec	NA
18676	coxc11	HEAVY	pesado	ƀee	ƀee	191	1210	NA	NA	josserand1983mixtec	NA
18906	coxc11	SLOW	despacio	kʷee	kʷee	194	701	NA	NA	josserand1983mixtec	NA
19020	coxc11	YESTERDAY	ayer	iku	iku	195	1174	NA	NA	josserand1983mixtec	NA
19135	coxc11	YESTERDAY	año	kʷia	kʷia	195	1174	NA	NA	josserand1983mixtec	NA
19438	coxc11	DAY (24 HOURS)	día	kiƀi	kiƀi	200	1260	NA	NA	josserand1983mixtec	NA
19561	coxc11	HALF	mitad	đaƀa	đaƀa	202	816	NA	NA	josserand1983mixtec	NA
19801	coxc11	WORD	palabra	tnu̧ʔu̧	tnu̧ʔu̧	205	1599	NA	NA	josserand1983mixtec	NA
20006	coxc11	WHEN	cuándo	na̧-kii	na̧-kii	208	1238	NA	NA	josserand1983mixtec	NA
