ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6366	cuat11	hijo/hija	sèʔe	sèʔe	6	NA	NA	NA	josserand1983mixtec	NA
6488	cuat11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6600	cuat11	hombre	taa	taa	13	NA	NA	NA	josserand1983mixtec	NA
6723	cuat11	dueño	štoʔo	štoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6809	cuat11	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
6900	cuat11	sangre	nī̧ì̧	nī̧ì̧	17	NA	NA	NA	josserand1983mixtec	NA
7016	cuat11	diente	no̧ʔo̧	no̧ʔo̧	22	NA	NA	NA	josserand1983mixtec	NA
7103	cuat11	boca	yuʔu	yuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7202	cuat11	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7319	cuat11	nariz	šiti̧	šiti̧	25	NA	NA	NA	josserand1983mixtec	NA
7434	cuat11	cuello	siku̧	siku̧	26	NA	NA	NA	josserand1983mixtec	NA
7548	cuat11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7667	cuat11	tripas	šiti	šiti	31	NA	NA	NA	josserand1983mixtec	NA
7786	cuat11	pie	šaʔa	šaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7902	cuat11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8015	cuat11	hinchazón	kʷi̧ño̧	kʷi̧ño̧	35	NA	NA	NA	josserand1983mixtec	NA
8112	cuat11	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8225	cuat11	pus	lakʷa	lakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8404	cuat11	huarache	ⁿduša̧	ⁿduša̧	40	NA	NA	NA	josserand1983mixtec	NA
8513	cuat11	calzón, pantalón	šati	šati	41	NA	NA	NA	josserand1983mixtec	NA
8592	cuat11	huipil	šiko̧	šiko̧	42	NA	NA	NA	josserand1983mixtec	NA
8591	cuat11	huipil	šiku̧	šiku̧	42	NA	NA	NA	josserand1983mixtec	NA
8671	cuat11	pueblo	ño̧o̧	ño̧o̧	43	NA	NA	NA	josserand1983mixtec	NA
8787	cuat11	casa	weʔe	weʔe	44	NA	NA	NA	josserand1983mixtec	NA
8896	cuat11	horcón	si̧ʔi̧	si̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
8990	cuat11	petate	yiwi	yiwi	47	NA	NA	NA	josserand1983mixtec	NA
9113	cuat11	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9227	cuat11	banquito	tayi	tayi	49	NA	NA	NA	josserand1983mixtec	NA
9349	cuat11	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9467	cuat11	pájaro	saa	saa	51	NA	NA	NA	josserand1983mixtec	NA
9577	cuat11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9670	cuat11	rana	saʔwa	saʔwa	54	NA	NA	NA	josserand1983mixtec	NA
9801	cuat11	gavilán	ši̧ʔña̧	ši̧ʔña̧	55	NA	NA	NA	josserand1983mixtec	NA
9927	cuat11	alacrán	ti-si̧ʔma̧	ti-si̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10012	cuat11	cucaracha	tʸu̧u̧	tʸu̧u̧	57	NA	NA	NA	josserand1983mixtec	NA
10109	cuat11	rata	ti-yoto	ti-yoto	60	NA	NA	NA	josserand1983mixtec	NA
10108	cuat11	rata	ti̧i̧	ti̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10246	cuat11	venado	yusu	yusu	61	NA	NA	NA	josserand1983mixtec	NA
10362	cuat11	ardilla	ⁿdi-kʷa̧ñu̧	ⁿdi-kʷa̧ñu̧	62	NA	NA	NA	josserand1983mixtec	NA
10482	cuat11	gato	(mi̧stu̧)	mi̧stu̧	69	NA	yes	Colonial Spanish	josserand1983mixtec	NA
