ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6367	cuau11	CHILD (DESCENDANT)	hijo/hija	iʔža	iʔža	5	1801	NA	NA	josserand1983mixtec	NA
6489	cuau11	BROTHER (OF MAN)	hermano de hombre	ža̧ni̧	ža̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6601	cuau11	MAN	hombre	tii	tii	13	1554	NA	NA	josserand1983mixtec	NA
6724	cuau11	OWNER	dueño	ži-toʔo	ži-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6810	cuau11	OWNER	sacerdote	đuʰtu	đuʰtu	15	1036	NA	NA	josserand1983mixtec	NA
6901	cuau11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7017	cuau11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7104	cuau11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7203	cuau11	EAR	oreja	tuʰtu	tuʰtu	24	1247	NA	NA	josserand1983mixtec	NA
7320	cuau11	NOSE	nariz	đi̧ʰȼi̧	đi̧ʰȼi̧	25	1221	NA	NA	josserand1983mixtec	NA
7435	cuau11	NOSE	cuello	đu̧ʰku̧	đu̧ʰku̧	25	1221	NA	NA	josserand1983mixtec	NA
7549	cuau11	FINGERNAIL	uña	tɨ-ȼi̧i̧	tɨ-ȼi̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7668	cuau11	INTESTINES	tripas	žɨtɨ	žɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7787	cuau11	FOOT	pie	žeʔe	žeʔe	32	1301	NA	NA	josserand1983mixtec	NA
7903	cuau11	DISEASE	enfermedad	kʷiʔi	kʷiʔi	33	1986	NA	NA	josserand1983mixtec	NA
8016	cuau11	SWELLING	hinchazón	ka-ȼiʰtu	ka-ȼiʰtu	35	1903	NA	NA	josserand1983mixtec	NA
8113	cuau11	SWELLING	grano	ⁿdɨʔžɨ	ⁿdɨʔžɨ	35	1903	NA	NA	josserand1983mixtec	NA
8226	cuau11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8328	cuau11	URINE	orina	ⁿdute-đeđe	ⁿdute-đeđe	38	1142	NA	NA	josserand1983mixtec	NA
8327	cuau11	URINE	orina	tete	tete	38	1142	NA	NA	josserand1983mixtec	NA
8405	cuau11	SANDAL	huarache	ⁿdi̧Nñȩ	ⁿdi̧Nñȩ	40	NA	NA	NA	josserand1983mixtec	NA
8514	cuau11	TROUSERS	calzón, pantalón	đɨʔɨ	đɨʔɨ	41	809	NA	NA	josserand1983mixtec	NA
8593	cuau11	BLOUSE (WOVEN)	huipil	điʰku̧	điʰku̧	42	NA	NA	NA	josserand1983mixtec	NA
8672	cuau11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8788	cuau11	HOUSE	casa	wiʔi	wiʔi	44	1252	NA	NA	josserand1983mixtec	NA
8897	cuau11	PATH	horcón	ȼeʔe	ȼeʔe	45	2252	NA	NA	josserand1983mixtec	NA
8991	cuau11	MAT	petate	žuwi	žuwi	47	195	NA	NA	josserand1983mixtec	NA
9114	cuau11	BED	cama	žito	žito	48	1663	NA	NA	josserand1983mixtec	NA
9228	cuau11	STOOL	banquito	teyu	teyu	49	2058	NA	NA	josserand1983mixtec	NA
9350	cuau11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10110	cuau11	ANIMAL	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
