ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6369	cuya11	CHILD (DESCENDANT)	hijo/hija	iʔya	iʔya	5	1801	NA	NA	josserand1983mixtec	NA
6491	cuya11	BROTHER (OF MAN)	hermano de hombre	ya̧ni̧	ya̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6603	cuya11	MAN	hombre	tii	tii	13	1554	NA	NA	josserand1983mixtec	NA
6725	cuya11	OWNER	dueño	toʔo	toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6811	cuya11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6903	cuya11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7019	cuya11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7106	cuya11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7205	cuya11	EAR	oreja	tutu	tutu	24	1247	NA	NA	josserand1983mixtec	NA
7322	cuya11	NOSE	nariz	điʰči	điʰči	25	1221	NA	NA	josserand1983mixtec	NA
7437	cuya11	NOSE	cuello	đuxu̧	đuxu̧	25	1221	NA	NA	josserand1983mixtec	NA
7551	cuya11	FINGERNAIL	uña	tɨ-či̧i̧	tɨ-či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7670	cuya11	INTESTINES	tripas	žɨtɨ	žɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7789	cuya11	FOOT	pie	žeʔe	žeʔe	32	1301	NA	NA	josserand1983mixtec	NA
7905	cuya11	DISEASE	enfermedad	kʷiʔi	kʷiʔi	33	1986	NA	NA	josserand1983mixtec	NA
8017	cuya11	SWELLING	hinchazón	čiʰtu	čiʰtu	35	1903	NA	NA	josserand1983mixtec	NA
8115	cuya11	SWELLING	grano	ⁿdɨʔyɨ	ⁿdɨʔyɨ	35	1903	NA	NA	josserand1983mixtec	NA
8228	cuya11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8329	cuya11	URINE	orina	ⁿdute-đeđe	ⁿdute-đeđe	38	1142	NA	NA	josserand1983mixtec	NA
8407	cuya11	SANDAL	huarache	ⁿdi̧ñȩ	ⁿdi̧ñȩ	40	NA	NA	NA	josserand1983mixtec	NA
8515	cuya11	TROUSERS	calzón, pantalón	ti̧ʔi̧	ti̧ʔi̧	41	809	NA	NA	josserand1983mixtec	NA
8594	cuya11	BLOUSE (WOVEN)	huipil	điʰku̧	điʰku̧	42	NA	NA	NA	josserand1983mixtec	NA
8674	cuya11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8790	cuya11	HOUSE	casa	wiʔi	wiʔi	44	1252	NA	NA	josserand1983mixtec	NA
