ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6371	dura11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6492	dura11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6605	dura11	hombre	čàā	čàā	13	NA	NA	NA	josserand1983mixtec	NA
6726	dura11	dueño	ʔes-toʔo	ʔes-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
6812	dura11	sacerdote	siti	siti	16	NA	NA	NA	josserand1983mixtec	NA
6905	dura11	sangre	ni̧i̧	ni̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7020	dura11	diente	nù̧ʔu̧	nù̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7107	dura11	boca	žūʔù	žūʔù	23	NA	NA	NA	josserand1983mixtec	NA
7207	dura11	oreja	suʔu	suʔu	24	NA	NA	NA	josserand1983mixtec	NA
7324	dura11	nariz	šiči	šiči	25	NA	NA	NA	josserand1983mixtec	NA
7439	dura11	cuello	suku̧	suku̧	26	NA	NA	NA	josserand1983mixtec	NA
7553	dura11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7672	dura11	tripas	šiȼi	šiȼi	31	NA	NA	NA	josserand1983mixtec	NA
7791	dura11	pie	šàʔà	šàʔà	32	NA	NA	NA	josserand1983mixtec	NA
7907	dura11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8018	dura11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8117	dura11	grano	ⁿčiʔi	ⁿčiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8230	dura11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8409	dura11	huarache	ⁿčiša̧	ⁿčiša̧	40	NA	NA	NA	josserand1983mixtec	NA
8516	dura11	calzón, pantalón	šati	šati	41	NA	NA	NA	josserand1983mixtec	NA
8676	dura11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8792	dura11	casa	veʔe	veʔe	44	NA	NA	NA	josserand1983mixtec	NA
8900	dura11	horcón	si̧ʔi̧	si̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
8996	dura11	petate	žiƀi	žiƀi	47	NA	NA	NA	josserand1983mixtec	NA
9118	dura11	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9232	dura11	banquito	čei	čei	49	NA	NA	NA	josserand1983mixtec	NA
9354	dura11	animal	kīȼì	kīȼì	50	NA	NA	NA	josserand1983mixtec	NA
9472	dura11	pájaro	laa	laa	51	NA	NA	NA	josserand1983mixtec	NA
9581	dura11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9675	dura11	rana	ku̧ⁿdu	ku̧ⁿdu	54	NA	NA	NA	josserand1983mixtec	NA
9676	dura11	rana	laʔwa	laʔwa	54	NA	NA	NA	josserand1983mixtec	NA
9805	dura11	gavilán	šà̧ʔà̧	šà̧ʔà̧	55	NA	NA	NA	josserand1983mixtec	NA
9804	dura11	gavilán	tasi	tasi	55	NA	NA	NA	josserand1983mixtec	NA
9930	dura11	alacrán	či-su̧ʔma̧	či-su̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10015	dura11	cucaracha	ȼʸeʔe	ȼʸeʔe	57	NA	NA	NA	josserand1983mixtec	NA
10114	dura11	rata	čoko	čoko	60	NA	NA	NA	josserand1983mixtec	NA
10113	dura11	rata	ȼi̧i̧	ȼi̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10251	dura11	venado	ʔisi	ʔisi	61	NA	NA	NA	josserand1983mixtec	NA
10367	dura11	ardilla	ⁿči-kʷa̧ñi̧	ⁿči-kʷa̧ñi̧	62	NA	NA	NA	josserand1983mixtec	NA
10487	dura11	gato	(čiti)	čiti	69	NA	NA	NA	josserand1983mixtec	NA
10609	dura11	cuerno	ⁿčiki̧	ⁿčiki̧	76	NA	NA	NA	josserand1983mixtec	NA
10724	dura11	pluma	tù̧mī̧	tù̧mī̧	77	NA	NA	NA	josserand1983mixtec	NA
10837	dura11	ala	ⁿčiši̧	ⁿčiši̧	78	NA	NA	NA	josserand1983mixtec	NA
10932	dura11	cola	ⁿdoʔo	ⁿdoʔo	79	NA	NA	NA	josserand1983mixtec	NA
