ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6373	este11	CHILD (DESCENDANT)	hijo/hija	đaʔža	đaʔža	5	1801	NA	NA	josserand1983mixtec	NA
6494	este11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6607	este11	MAN	hombre	tee	tee	13	1554	NA	NA	josserand1983mixtec	NA
6728	este11	OWNER	dueño	ši-toʔo	ši-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6814	este11	OWNER	sacerdote	đutu	đutu	15	1036	NA	NA	josserand1983mixtec	NA
6907	este11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7022	este11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7109	este11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
7209	este11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7326	este11	NOSE	nariz	đi̧tni̧	đi̧tni̧	25	1221	NA	NA	josserand1983mixtec	NA
7441	este11	NOSE	cuello	đuku̧	đuku̧	25	1221	NA	NA	josserand1983mixtec	NA
7555	este11	FINGERNAIL	uña	tnɨ̧ñu̧	tnɨ̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
7674	este11	INTESTINES	tripas	šɨ̧tɨ̧	šɨ̧tɨ̧	31	1991	NA	NA	josserand1983mixtec	NA
7793	este11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7909	este11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8020	este11	SWELLING	hinchazón	nȩñu̧	nȩñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8119	este11	SWELLING	grano	ⁿdɨʔžɨ	ⁿdɨʔžɨ	35	1903	NA	NA	josserand1983mixtec	NA
8233	este11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8331	este11	URINE	orina	lele	lele	38	1142	NA	NA	josserand1983mixtec	NA
8411	este11	SANDAL	huarache	čau	čau	40	NA	NA	NA	josserand1983mixtec	NA
8596	este11	BLOUSE (WOVEN)	huipil	điku̧	điku̧	42	NA	NA	NA	josserand1983mixtec	NA
8679	este11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8794	este11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8902	este11	PATH	horcón	(nu̧)-đɨ̧ʔɨ̧	nu̧-đɨ̧ʔɨ̧	45	2252	NA	NA	josserand1983mixtec	NA
8999	este11	MAT	petate	žuu	žuu	47	195	NA	NA	josserand1983mixtec	NA
9120	este11	BED	cama	šito	šito	48	1663	NA	NA	josserand1983mixtec	NA
9234	este11	STOOL	banquito	težu	težu	49	2058	NA	NA	josserand1983mixtec	NA
9356	este11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10118	este11	ANIMAL	rata	čoto	čoto	50	619	NA	NA	josserand1983mixtec	NA
10117	este11	ANIMAL	rata	tnɨ̧ñɨ̧	tnɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
9474	este11	BIRD	pájaro	tɨ-đaa	tɨ-đaa	51	937	NA	NA	josserand1983mixtec	NA
10253	este11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
10369	este11	FISH	ardilla	kʷȩñu̧	kʷȩñu̧	52	227	NA	NA	josserand1983mixtec	NA
9583	este11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9679	este11	FROG	rana	laʔwa	laʔwa	54	503	NA	NA	josserand1983mixtec	NA
9809	este11	HAWK	gavilán	đi̧ʔña̧	đi̧ʔña̧	55	307	NA	NA	josserand1983mixtec	NA
9810	este11	HAWK	gavilucha	tađu̧	tađu̧	55	307	NA	NA	josserand1983mixtec	NA
9808	este11	HAWK	á́guila	žaʔa	žaʔa	55	307	NA	NA	josserand1983mixtec	NA
9932	este11	HAWK	alacrán	ⁿdɨ-lu̧ʔmȩ	ⁿdɨ-lu̧ʔmȩ	55	307	NA	NA	josserand1983mixtec	NA
10017	este11	COCKROACH	cucaracha	tɨ-đita	tɨ-đita	57	1575	NA	NA	josserand1983mixtec	NA
10490	este11	BEE	gato	mi̧či	mi̧či	59	665	NA	NA	josserand1983mixtec	NA
10611	este11	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
10726	este11	FEATHER	pluma	tu̧mi̧	tu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10839	este11	WING	ala	ⁿdiši	ⁿdiši	78	1257	NA	NA	josserand1983mixtec	NA
10934	este11	TAIL	cola	lu̧ʔmȩ	lu̧ʔmȩ	79	1220	NA	NA	josserand1983mixtec	NA
11055	este11	TREE	árbol	žutnu̧	žutnu̧	80	906	NA	NA	josserand1983mixtec	NA
11170	este11	HERBACEOUS PLANT	hierba	kuʔu	kuʔu	81	NA	NA	NA	josserand1983mixtec	NA
11273	este11	MAGUEY	maguey	žau	žau	84	NA	NA	NA	josserand1983mixtec	NA
11392	este11	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
11514	este11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
11628	este11	CORN DOUGH	masa	žasa̧	žasa̧	91	NA	NA	NA	josserand1983mixtec	NA
11750	este11	TORTILLA	tortilla	đita	đita	92	NA	NA	NA	josserand1983mixtec	NA
11864	este11	CORN STALK	rastrojo	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11951	este11	FURROW	surco	žuku̧	žuku̧	94	1794	NA	NA	josserand1983mixtec	NA
12037	este11	TASSEL	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
12133	este11	TASSEL	frijol(es)	ⁿduči	ⁿduči	95	NA	NA	NA	josserand1983mixtec	NA
12241	este11	GREEN BEAN	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
12335	este11	SALT	sal	ñɨ̧ɨ̧	ñɨ̧ɨ̧	99	1274	NA	NA	josserand1983mixtec	NA
12566	este11	SUGAR CANE	caña	ⁿdoo	ⁿdoo	102	146	NA	NA	josserand1983mixtec	NA
12679	este11	HONEY	miel	ⁿduđi	ⁿduđi	103	942	NA	NA	josserand1983mixtec	NA
12804	este11	EGG	blanquillo, huevo	ⁿdɨwɨ	ⁿdɨwɨ	105	744	NA	NA	josserand1983mixtec	NA
12917	este11	EGG	jitomate	tɨ-na̧na̧	tɨ-na̧na̧	105	744	NA	NA	josserand1983mixtec	NA
13003	este11	PRICKLY PEAR CACTUS	nopal	wi̧ʔⁿde	wi̧ʔⁿde	110	NA	NA	NA	josserand1983mixtec	NA
13088	este11	MAMEY	mamey	ⁿǰika	ⁿǰika	111	NA	NA	NA	josserand1983mixtec	NA
13182	este11	MEAT	carne	ku̧ñu̧	ku̧ñu̧	114	634	NA	NA	josserand1983mixtec	NA
13300	este11	GRIDDLE	comal	šio	šio	115	NA	NA	NA	josserand1983mixtec	NA
13416	este11	GRIDDLE	olla	kɨđɨ	kɨđɨ	115	NA	NA	NA	josserand1983mixtec	NA
13506	este11	OVEN	horno	šitnu̧	šitnu̧	117	1143	NA	NA	josserand1983mixtec	NA
13616	este11	FIRE	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	221	NA	NA	josserand1983mixtec	NA
13732	este11	SMOKE (EXHAUST)	humo	ñu̧ʔmȩ	ñu̧ʔmȩ	121	778	NA	NA	josserand1983mixtec	NA
13850	este11	GARBAGE	basura	mi̧ʔi̧	mi̧ʔi̧	122	909	NA	NA	josserand1983mixtec	NA
13949	este11	GOURD BOWL	jícara	žaši	žaši	124	NA	NA	NA	josserand1983mixtec	NA
14069	este11	BASKET	cajón	šatnu̧	šatnu̧	125	1539	NA	NA	josserand1983mixtec	NA
14176	este11	THREAD	hilo	žuʔa	žuʔa	127	1161	NA	NA	josserand1983mixtec	NA
14287	este11	COMB	peine	kuka	kuka	128	1475	NA	NA	josserand1983mixtec	NA
14365	este11	HOLE	agujero	žau	žau	130	1667	NA	NA	josserand1983mixtec	NA
14448	este11	NET	red	ñu̧nu̧	ñu̧nu̧	131	2963	NA	NA	josserand1983mixtec	NA
14571	este11	WATER	agua	ⁿdute	ⁿdute	137	948	NA	NA	josserand1983mixtec	NA
14700	este11	RAIN (PRECIPITATION)	lluvia	đau	đau	138	658	NA	NA	josserand1983mixtec	NA
14822	este11	RIVER	río	žute	žute	139	666	NA	NA	josserand1983mixtec	NA
14936	este11	DEW	rocío	žužu	žužu	140	1977	NA	NA	josserand1983mixtec	NA
15035	este11	MOUNTAIN OR HILL	cerro	čɨɨ	čɨɨ	141	2118	NA	NA	josserand1983mixtec	NA
15036	este11	MOUNTAIN OR HILL	cerro	žuku	žuku	141	2118	NA	NA	josserand1983mixtec	NA
15159	este11	PLAIN	llano	žođo	žođo	142	652	NA	NA	josserand1983mixtec	NA
15285	este11	STONE OR ROCK	piedra	žuu	žuu	143	2125	NA	NA	josserand1983mixtec	NA
15404	este11	COTTON	algodón	kači	kači	144	1850	NA	NA	josserand1983mixtec	NA
15508	este11	METAL	fierro	tnu̧ni̧	tnu̧ni̧	145	2244	NA	NA	josserand1983mixtec	NA
15507	este11	METAL	fierro	xer̃u	xer̃u	145	2244	NA	NA	josserand1983mixtec	NA
15600	este11	BEESWAX	cera	ñu̧mȩ	ñu̧mȩ	148	1931	NA	NA	josserand1983mixtec	NA
15725	este11	MUD	lodo	ⁿdeʔžu	ⁿdeʔžu	149	640	NA	NA	josserand1983mixtec	NA
15840	este11	FOAM	espuma	tni̧u̧	tni̧u̧	150	1768	NA	NA	josserand1983mixtec	NA
16434	este11	FOAM	cuatro	ku̧mi̧	ku̧mi̧	150	1768	NA	NA	josserand1983mixtec	NA
16557	este11	DUST	cinco	u̧ʔu̧	u̧ʔu̧	151	2	NA	NA	josserand1983mixtec	NA
15960	este11	RED	rojo	kʷeʔe	kʷeʔe	152	156	NA	NA	josserand1983mixtec	NA
16676	este11	RED	seis	i̧ñu̧	i̧ñu̧	152	156	NA	NA	josserand1983mixtec	NA
16792	este11	GREEN	siete	usa	usa	153	1425	NA	NA	josserand1983mixtec	NA
16076	este11	YELLOW	amarillo	kʷa̧a̧	kʷa̧a̧	154	1424	NA	NA	josserand1983mixtec	NA
16910	este11	YELLOW	ocho	u̧na̧	u̧na̧	154	1424	NA	NA	josserand1983mixtec	NA
17024	este11	BLACK	diez	uši	uši	155	163	NA	NA	josserand1983mixtec	NA
17140	este11	ONE	quince	sa̧ʔu̧	sa̧ʔu̧	157	1493	NA	NA	josserand1983mixtec	NA
16191	este11	TWO	dos	uu	uu	158	1498	NA	NA	josserand1983mixtec	NA
16315	este11	THREE	tres	u̧ni̧	u̧ni̧	159	492	NA	NA	josserand1983mixtec	NA
17259	este11	THREE	pobre	ⁿdaʔu	ⁿdaʔu	159	492	NA	NA	josserand1983mixtec	NA
17375	este11	COLD	frío	wiši	wiši	171	1287	NA	NA	josserand1983mixtec	NA
17489	este11	HOT	caliente	i̧ʔni̧	i̧ʔni̧	172	1286	NA	NA	josserand1983mixtec	NA
17586	este11	BIG (SINGULAR)	grande (sg.)	kaʔnu̧	kaʔnu̧	173	NA	NA	NA	josserand1983mixtec	NA
17705	este11	SMALL (SINGULAR)	chico	liʔli	liʔli	175	NA	NA	NA	josserand1983mixtec	NA
17828	este11	GOOD	bueno	waʔa	waʔa	179	1035	NA	NA	josserand1983mixtec	NA
17923	este11	SWEET	dulce	wiđi	wiđi	180	717	NA	NA	josserand1983mixtec	NA
18037	este11	SALTY	salado	uʔa	uʔa	181	1091	NA	NA	josserand1983mixtec	NA
18126	este11	BITTER	amargo	ua	ua	182	887	NA	NA	josserand1983mixtec	NA
18329	este11	NEW	floja	ⁿda-taža	ⁿda-taža	185	1231	NA	NA	josserand1983mixtec	NA
18328	este11	NEW	flojo	ña̧-ku̧ʔⁿdu	ña̧-ku̧ʔⁿdu	185	1231	NA	NA	josserand1983mixtec	NA
18475	este11	UGLY	feo	kini̧	kini̧	187	1548	NA	NA	josserand1983mixtec	NA
18474	este11	UGLY	feo	kʷeʔe	kʷeʔe	187	1548	NA	NA	josserand1983mixtec	NA
18578	este11	NEAR	está cerca	žatni̧	žatni̧	189	1942	NA	NA	josserand1983mixtec	NA
18685	este11	HEAVY	pesado	wee	wee	191	1210	NA	NA	josserand1983mixtec	NA
18799	este11	SMOOTH	lisa, liso	ⁿdɨʔwɨ	ⁿdɨʔwɨ	193	1234	NA	NA	josserand1983mixtec	NA
18915	este11	SLOW	despacio	kʷee	kʷee	194	701	NA	NA	josserand1983mixtec	NA
19029	este11	YESTERDAY	ayer	iku	iku	195	1174	NA	NA	josserand1983mixtec	NA
19144	este11	YESTERDAY	año	kʷia	kʷia	195	1174	NA	NA	josserand1983mixtec	NA
19258	este11	NOW OR TODAY	ahora	ta-wii	ta-wii	197	2097	NA	NA	josserand1983mixtec	NA
19259	este11	NOW OR TODAY	today	witna̧	witna̧	197	2097	NA	NA	josserand1983mixtec	NA
19350	este11	NIGHT TIME	toda la noche	nɨ̧ɨ̧-ni̧u̧	nɨ̧ɨ̧-ni̧u̧	199	NA	NA	NA	josserand1983mixtec	NA
19448	este11	DAY (24 HOURS)	día	ⁿduu	ⁿduu	200	1260	NA	NA	josserand1983mixtec	NA
19571	este11	HALF	mitad	đawa	đawa	202	816	NA	NA	josserand1983mixtec	NA
19687	este11	WORKING OR WORK	trabajo	tni̧u̧	tni̧u̧	204	2281	NA	NA	josserand1983mixtec	NA
19810	este11	WORD	palabra	tu̧ʔu̧	tu̧ʔu̧	205	1599	NA	NA	josserand1983mixtec	NA
19918	este11	WORD	culpa	kʷeči	kʷeči	205	1599	NA	NA	josserand1983mixtec	NA
20015	este11	WHEN	cuándo	a̧ma̧	a̧ma̧	208	1238	NA	NA	josserand1983mixtec	NA
