ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6374	flor11	CHILD (DESCENDANT)	hijo/hija	đeʔi	đeʔi	5	1801	NA	NA	josserand1983mixtec	NA
6495	flor11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
6608	flor11	MAN	hombre	čaa	čaa	13	1554	NA	NA	josserand1983mixtec	NA
6908	flor11	BLOOD	sangre	Nni̧i̧	nni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
7210	flor11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7327	flor11	NOSE	nariz	šiti	šiti	25	1221	NA	NA	josserand1983mixtec	NA
7442	flor11	NOSE	cuello	điko	điko	25	1221	NA	NA	josserand1983mixtec	NA
7556	flor11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7675	flor11	INTESTINES	tripas	siti	siti	31	1991	NA	NA	josserand1983mixtec	NA
7794	flor11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7910	flor11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8120	flor11	SWELLING	grano	ⁿǰiʔi	ⁿǰiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8234	flor11	PUS	pus	si-pushu̧	si-pushu̧	37	1808	NA	NA	josserand1983mixtec	NA
8412	flor11	SANDAL	huarache	ⁿdisa	ⁿdisa	40	NA	NA	NA	josserand1983mixtec	NA
8680	flor11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8795	flor11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9000	flor11	MAT	petate	žiƀi	žiƀi	47	195	NA	NA	josserand1983mixtec	NA
9121	flor11	BED	cama	šitu	šitu	48	1663	NA	NA	josserand1983mixtec	NA
9235	flor11	STOOL	banquito	tei	tei	49	2058	NA	NA	josserand1983mixtec	NA
9357	flor11	ANIMAL	animal	kiči	kiči	50	619	NA	NA	josserand1983mixtec	NA
10120	flor11	ANIMAL	rata	(či-čii?)	či-čii?	50	619	NA	NA	josserand1983mixtec	NA
10119	flor11	ANIMAL	rata	čiči	čiči	50	619	NA	NA	josserand1983mixtec	NA
9475	flor11	BIRD	pájaro	ⁿdi-laa	ⁿdi-laa	51	937	NA	NA	josserand1983mixtec	NA
9476	flor11	BIRD	pájaro	ti-laa	ti-laa	51	937	NA	NA	josserand1983mixtec	NA
10254	flor11	BIRD	venado	sa-kʷaa	sa-kʷaa	51	937	NA	NA	josserand1983mixtec	NA
10370	flor11	FISH	ardilla	mu̧tu	mu̧tu	52	227	NA	NA	josserand1983mixtec	NA
9680	flor11	FROG	rana	laʔwa	laʔwa	54	503	NA	NA	josserand1983mixtec	NA
10491	flor11	BEE	gato	(ⁿdi-miči)	ⁿdi-miči	59	665	NA	NA	josserand1983mixtec	NA
10612	flor11	ANT	cuerno	ⁿdiki	ⁿdiki	75	587	NA	NA	josserand1983mixtec	NA
10727	flor11	FEATHER	pluma	to̧mi̧	to̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10935	flor11	TAIL	cola	ⁿdoʔo	ⁿdoʔo	79	1220	NA	NA	josserand1983mixtec	NA
11056	flor11	TREE	árbol	yitu	yitu	80	906	NA	NA	josserand1983mixtec	NA
11274	flor11	MAGUEY	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11393	flor11	CORN	maíz	nu̧ni̧	nu̧ni̧	87	506	NA	NA	josserand1983mixtec	NA
