ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2966	flor12	padre, papá	táta	táta	3	NA	NA	NA	oxnard2020	NA
2971	flor12	hijo/hija	se'é	se'é	5	NA	NA	NA	oxnard2020	NA
2976	flor12	hermana/hermano de otro genero	kò'vì	kò'vì	8	NA	NA	NA	oxnard2020	NA
2980	flor12	hermano de hombre	ñanì	ñanì	9	NA	NA	NA	oxnard2020	NA
2985	flor12	hermana de mujer	ku'ì	ku'ì	10	NA	NA	NA	oxnard2020	NA
2989	flor12	tía	xíxi	xíxi	11	NA	NA	NA	oxnard2020	NA
2992	flor12	tío	xito	xito	12	NA	NA	NA	oxnard2020	NA
2996	flor12	hombre	tsiàja	tsiàja	13	NA	NA	NA	oxnard2020	NA
3000	flor12	mujer	si'i	si'i	14	NA	NA	NA	oxnard2020	NA
3004	flor12	dueño	nà xi'ìn ña'à	nà-xi'ìn-ña'à	15	thing-?-thing	NA	NA	oxnard2020	NA
3009	flor12	sacerdote	sùjtù	sùjtù	16	NA	NA	NA	oxnard2020	NA
3014	flor12	sangre	nìjǐ	nìjǐ	17	NA	NA	NA	oxnard2020	NA
3019	flor12	hueso	ikǐ	ikǐ	18	NA	NA	NA	oxnard2020	NA
3024	flor12	pelo	ijxǐ	ijxǐ	19	NA	NA	NA	oxnard2020	NA
3029	flor12	cara	nùjǔn	nùjǔn	20	NA	NA	NA	oxnard2020	NA
3034	flor12	lengua	yajǎ	yajǎ	21	NA	NA	NA	oxnard2020	NA
3037	flor12	diente	nù'un	nù'un	22	NA	NA	NA	oxnard2020	NA
3042	flor12	boca	yu'ǔ	yu'ǔ	23	NA	NA	NA	oxnard2020	NA
3047	flor12	oreja	sò'o	sò'o	24	NA	NA	NA	oxnard2020	NA
3052	flor12	nariz	xijtsǐn	xijtsǐn	25	NA	NA	NA	oxnard2020	NA
3057	flor12	cuello 	sojkǔn	sojkǔn	26	NA	NA	NA	oxnard2020	NA
3062	flor12	mano	nta'ǎ	nta'ǎ	27	NA	NA	NA	oxnard2020	NA
3067	flor12	uña	chíjǐn	chíjǐn	28	NA	NA	NA	oxnard2020	NA
3072	flor12	espalda	sàtǎ	sàtǎ	29	NA	NA	NA	oxnard2020	NA
3077	flor12	estómago	xìtsivà	xìtsivà	30	NA	NA	NA	oxnard2020	NA
3081	flor12	tripa	xitsi	xitsi	31	NA	NA	NA	oxnard2020	NA
3086	flor12	pie	xa'ǎ	xa'ǎ	32	NA	NA	NA	oxnard2020	NA
3091	flor12	enfermedad	kuè'è	kuè'è	33	NA	NA	NA	oxnard2020	NA
3096	flor12	medicina	tàjtǎn	tàjtǎn	34	NA	NA	NA	oxnard2020	NA
