ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6376	guad11	hijo/hija	đèʔe	đèʔe	6	NA	NA	NA	josserand1983mixtec	NA
6497	guad11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6610	guad11	hombre	ȼ̣ʸàa	ȼ̣ʸàa	13	NA	NA	NA	josserand1983mixtec	NA
6730	guad11	dueño	stoʔo	stoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6816	guad11	sacerdote	đuti	đuti	16	NA	NA	NA	josserand1983mixtec	NA
6910	guad11	sangre	nì̧ì̧	nì̧ì̧	17	NA	NA	NA	josserand1983mixtec	NA
7024	guad11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7111	guad11	boca	yüʔü	yüʔü	23	NA	NA	NA	josserand1983mixtec	NA
7212	guad11	oreja	đoʔo	đoʔo	24	NA	NA	NA	josserand1983mixtec	NA
7329	guad11	nariz	šiȼi	šiȼi	25	NA	NA	NA	josserand1983mixtec	NA
7444	guad11	cuello	điko	điko	26	NA	NA	NA	josserand1983mixtec	NA
7558	guad11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7677	guad11	tripas	siȼi	siȼi	31	NA	NA	NA	josserand1983mixtec	NA
7796	guad11	pie	saʔa	saʔa	32	NA	NA	NA	josserand1983mixtec	NA
7912	guad11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8022	guad11	hinchazón	na̧i̧	na̧i̧	35	NA	NA	NA	josserand1983mixtec	NA
8122	guad11	grano	ⁿdziʔi	ⁿdziʔi	36	NA	NA	NA	josserand1983mixtec	NA
8236	guad11	pus	ⁿdako	ⁿdako	37	NA	NA	NA	josserand1983mixtec	NA
8414	guad11	huarache	ⁿdisa	ⁿdisa	40	NA	NA	NA	josserand1983mixtec	NA
8518	guad11	calzón, pantalón	saȼi	saȼi	41	NA	NA	NA	josserand1983mixtec	NA
8682	guad11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8797	guad11	casa	veʔe	veʔe	44	NA	NA	NA	josserand1983mixtec	NA
8904	guad11	horcón	ȼ̣i-đi̧ʔi̧	ȼ̣i-đi̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
9002	guad11	petate	yiƀi	yiƀi	47	NA	NA	NA	josserand1983mixtec	NA
9123	guad11	cama	sito	sito	48	NA	NA	NA	josserand1983mixtec	NA
9237	guad11	banquito	ȼ̣eye	ȼ̣eye	49	NA	NA	NA	josserand1983mixtec	NA
9359	guad11	animal	kīȼì	kīȼì	50	NA	NA	NA	josserand1983mixtec	NA
9478	guad11	pájaro	laa	laa	51	NA	NA	NA	josserand1983mixtec	NA
9585	guad11	culebra	kòò-káa	kòò-káa	53	NA	NA	NA	josserand1983mixtec	NA
9682	guad11	rana	laʔwa	laʔwa	54	NA	NA	NA	josserand1983mixtec	NA
9813	guad11	gavilán	šaʔa	šaʔa	55	NA	NA	NA	josserand1983mixtec	NA
9935	guad11	alacrán	ȼ̣i-đi̧ʔma̧	ȼ̣i-đi̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10019	guad11	cucaracha	ȼ̣i̧u̧	ȼ̣i̧u̧	57	NA	NA	NA	josserand1983mixtec	NA
10123	guad11	rata	ȼ̣i-ti̧i̧	ȼ̣i-ti̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10122	guad11	rata	ȼ̣i-yoto	ȼ̣i-yoto	60	NA	NA	NA	josserand1983mixtec	NA
10256	guad11	venado	sa-kʷaa	sa-kʷaa	61	NA	NA	NA	josserand1983mixtec	NA
10372	guad11	ardilla	mu̧tu	mu̧tu	62	NA	maybe	NA	josserand1983mixtec	NA
10493	guad11	gato	(čitu)	čitu	69	NA	NA	NA	josserand1983mixtec	NA
10614	guad11	cuerno	ⁿdziki	ⁿdziki	76	NA	NA	NA	josserand1983mixtec	NA
10729	guad11	pluma	tu̧mi̧	tu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10841	guad11	ala	ⁿdzìsì	ⁿdzìsì	78	NA	NA	NA	josserand1983mixtec	NA
10937	guad11	cola	ⁿdoʔo	ⁿdoʔo	79	NA	NA	NA	josserand1983mixtec	NA
11058	guad11	árbol	yito	yito	80	NA	NA	NA	josserand1983mixtec	NA
11172	guad11	hierba	yuku	yuku	81	NA	NA	NA	josserand1983mixtec	NA
11276	guad11	maguey	yāƀì	yāƀì	84	NA	NA	NA	josserand1983mixtec	NA
11395	guad11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11517	guad11	milpa	ʔiȼi	ʔiȼi	88	NA	NA	NA	josserand1983mixtec	NA
11631	guad11	masa	yusa	yusa	91	NA	NA	NA	josserand1983mixtec	NA
11753	guad11	tortilla	šita	šita	92	NA	NA	NA	josserand1983mixtec	NA
11867	guad11	rastrojo	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11953	guad11	surco	čiči	čiči	94	NA	NA	NA	josserand1983mixtec	NA
12039	guad11	espiga	ȼiki-yoko	ȼiki-yoko	95	NA	NA	NA	josserand1983mixtec	NA
12135	guad11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12243	guad11	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
12338	guad11	sal	ñi̧i̧	ñi̧i̧	99	NA	NA	NA	josserand1983mixtec	NA
12455	guad11	calabaza	yiki	yiki	100	NA	NA	NA	josserand1983mixtec	NA
12569	guad11	caña	ⁿdòò	ⁿdòò	102	NA	NA	NA	josserand1983mixtec	NA
12682	guad11	miel	ñu̧ñu̧	ñu̧ñu̧	103	NA	NA	NA	josserand1983mixtec	NA
12807	guad11	blanquillo, huevo	ⁿdzìƀì	ⁿdzìƀì	105	NA	NA	NA	josserand1983mixtec	NA
12919	guad11	jitomate	ȼi-na̧na̧-na̧ʔnu̧	ȼi-na̧na̧-na̧ʔnu̧	106	NA	NA	NA	josserand1983mixtec	NA
13005	guad11	nopal	tu-ƀi̧ʔⁿdza	tu-ƀi̧ʔⁿdza	110	NA	NA	NA	josserand1983mixtec	NA
13090	guad11	mamey	ⁿdoko-kʷaʔa	ⁿdoko-kʷaʔa	111	NA	NA	NA	josserand1983mixtec	NA
13185	guad11	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13303	guad11	comal	sìò	sìò	115	NA	NA	NA	josserand1983mixtec	NA
13418	guad11	olla	kìđì	kìđì	116	NA	NA	NA	josserand1983mixtec	NA
13509	guad11	horno	sito	sito	117	NA	NA	NA	josserand1983mixtec	NA
13619	guad11	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	NA	NA	NA	josserand1983mixtec	NA
13734	guad11	humo	ñi̧ʔma̧	ñi̧ʔma̧	121	NA	NA	NA	josserand1983mixtec	NA
