ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6380	ixpa11	hijo/hija	haʔži	haʔži	5	NA	NA	NA	josserand1983mixtec	NA
6614	ixpa11	hombre	čaa	čaa	13	NA	NA	NA	josserand1983mixtec	NA
6734	ixpa11	dueño	stoʔo	stoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6820	ixpa11	sacerdote	xùtù	xùtù	16	NA	NA	NA	josserand1983mixtec	NA
6914	ixpa11	sangre	nì̧ì̧	nì̧ì̧	17	NA	NA	NA	josserand1983mixtec	NA
7028	ixpa11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7115	ixpa11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7216	ixpa11	oreja	hoʔo	hoʔo	24	NA	NA	NA	josserand1983mixtec	NA
7333	ixpa11	nariz	šìtì	šìtì	25	NA	NA	NA	josserand1983mixtec	NA
7448	ixpa11	cuello	hiko	hiko	26	NA	NA	NA	josserand1983mixtec	NA
7562	ixpa11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7681	ixpa11	tripas	siti	siti	31	NA	NA	NA	josserand1983mixtec	NA
7800	ixpa11	pie	sàʔà	sàʔà	32	NA	NA	NA	josserand1983mixtec	NA
7916	ixpa11	enfermedad	kʷèʔè	kʷèʔè	33	NA	NA	NA	josserand1983mixtec	NA
8028	ixpa11	hinchazón	kà-kʷi̧ñu̧	kà-kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8126	ixpa11	grano	ⁿčiʔi	ⁿčiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8240	ixpa11	pus	ⁿdākʷà	ⁿdākʷà	37	NA	NA	NA	josserand1983mixtec	NA
8418	ixpa11	huarache	ⁿdùsà	ⁿdùsà	40	NA	NA	NA	josserand1983mixtec	NA
8522	ixpa11	calzón, pantalón	sači	sači	41	NA	NA	NA	josserand1983mixtec	NA
8686	ixpa11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8801	ixpa11	casa	veʔe	veʔe	44	NA	NA	NA	josserand1983mixtec	NA
