ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
375	jami11	mother	sɨhɨ	sɨhɨ	1	NA	NA	NA	johnson1988syntactic	NA
376	jami11	father	sutu	sutu	3	NA	NA	NA	johnson1988syntactic	NA
377	jami11	son/daughter, child	sēhe	sēhe	5	NA	NA	NA	johnson1988syntactic	NA
6385	jami11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
378	jami11	brother of man	yan̄i	yan̄i	9	NA	NA	NA	johnson1988syntactic	NA
6505	jami11	hermano de hombre	ya̧ñi̧	ya̧ñi̧	9	NA	NA	NA	josserand1983mixtec	NA
379	jami11	sister of woman	kuhu	kuhu	10	NA	NA	NA	johnson1988syntactic	NA
380	jami11	aunt	chishi	chishi	11	NA	NA	NA	johnson1988syntactic	NA
381	jami11	uncle	shító	shító	12	NA	NA	NA	johnson1988syntactic	NA
382	jami11	man	ra-yɨɨ	ra-yɨɨ	13	male-?	NA	NA	johnson1988syntactic	NA
6619	jami11	hombre	ra-yɨɨ	ra-yɨɨ	13	NA	NA	NA	josserand1983mixtec	NA
383	jami11	woman	ñāhā	ñāhā	14	NA	NA	NA	johnson1988syntactic	NA
384	jami11	owner, boss	chi-toho	chi-toho	15	NA	NA	NA	johnson1988syntactic	NA
6737	jami11	dueño	či-toʔo	či-toʔo	15	NA	NA	NA	josserand1983mixtec	NA
385	jami11	priest	sutu	sutu	16	NA	NA	NA	johnson1988syntactic	NA
6823	jami11	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
386	jami11	blood	nɨñɨ	nɨñɨ	17	NA	NA	NA	johnson1988syntactic	NA
6918	jami11	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	NA	NA	NA	josserand1983mixtec	NA
387	jami11	hair	īshī	īshī	19	NA	NA	NA	johnson1988syntactic	NA
388	jami11	face	nuu	nuu	20	NA	NA	NA	johnson1988syntactic	NA
7031	jami11	diente	no̧ʔo̧	no̧ʔo̧	22	NA	NA	NA	josserand1983mixtec	NA
389	jami11	mouth	yūhū	yūhū	23	NA	NA	NA	johnson1988syntactic	NA
7118	jami11	boca	yuʔu	yuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7220	jami11	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
390	jami11	nose	shityin	shityin	25	NA	NA	NA	johnson1988syntactic	NA
7337	jami11	nariz	šitʸi̧	šitʸi̧	25	NA	NA	NA	josserand1983mixtec	NA
7452	jami11	cuello	suku̧	suku̧	26	NA	NA	NA	josserand1983mixtec	NA
391	jami11	hand	ndāhā	ndāhā	27	NA	NA	NA	johnson1988syntactic	NA
7566	jami11	uña	tʸi̧i̧	tʸi̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
392	jami11	back	chata	chata	29	NA	NA	NA	johnson1988syntactic	NA
393	jami11	stomach	chīchi	chīchi	30	NA	NA	NA	johnson1988syntactic	NA
7685	jami11	tripas	čɨtɨ	čɨtɨ	31	NA	NA	NA	josserand1983mixtec	NA
394	jami11	foot	chaha	chaha	32	NA	NA	NA	johnson1988syntactic	NA
7804	jami11	pie	čaʔa	čaʔa	32	NA	NA	NA	josserand1983mixtec	NA
395	jami11	disease, illness, sickness	kwehe	kwehe	33	NA	NA	NA	johnson1988syntactic	NA
7920	jami11	enfermedad	kʷweʔe	kʷweʔe	33	NA	NA	NA	josserand1983mixtec	NA
396	jami11	medicine	tatan	tatan	34	NA	NA	NA	johnson1988syntactic	NA
8031	jami11	hinchazón	kʷa-ñu̧ʔu̧	kʷa-ñu̧ʔu̧	35	NA	NA	NA	josserand1983mixtec	NA
8130	jami11	grano	ⁿdɨʔyɨ	ⁿdɨʔyɨ	36	NA	NA	NA	josserand1983mixtec	NA
8244	jami11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8341	jami11	orina	čaša	čaša	38	NA	NA	NA	josserand1983mixtec	NA
397	jami11	cloth	sāhmā	sāhmā	39	NA	NA	NA	johnson1988syntactic	NA
8422	jami11	huarache	ⁿdiča̧	ⁿdiča̧	40	NA	NA	NA	josserand1983mixtec	NA
8525	jami11	calzón, pantalón	kutu-čaʔa	kutu-čaʔa	41	NA	NA	NA	josserand1983mixtec	NA
8603	jami11	huipil	šiku̧	šiku̧	42	NA	NA	NA	josserand1983mixtec	NA
398	jami11	town	ñuu	ñuu	43	NA	NA	NA	johnson1988syntactic	NA
8691	jami11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
399	jami11	house	vēhē	vēhē	44	NA	NA	NA	johnson1988syntactic	NA
8805	jami11	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
400	jami11	road, trail	ītyī	ītyī	45	NA	NA	NA	johnson1988syntactic	NA
8911	jami11	horcón	sɨ̧ʔñɨ̧	sɨ̧ʔñɨ̧	46	NA	NA	NA	josserand1983mixtec	NA
9010	jami11	petate	yuƀi	yuƀi	47	NA	NA	NA	josserand1983mixtec	NA
9130	jami11	cama	čito	čito	48	NA	NA	NA	josserand1983mixtec	NA
401	jami11	chair	tyayu	tyayu	49	NA	NA	NA	johnson1988syntactic	NA
9246	jami11	banquito	tʸayu	tʸayu	49	NA	NA	NA	josserand1983mixtec	NA
402	jami11	animal	kɨ̄tɨ̄	kɨ̄tɨ̄	50	NA	NA	NA	johnson1988syntactic	NA
9367	jami11	animal	kɨtɨ	kɨtɨ	50	NA	NA	NA	josserand1983mixtec	NA
9485	jami11	pájaro	saa	saa	51	NA	NA	NA	josserand1983mixtec	NA
403	jami11	fish	tī-yaka	tī-yaka	52	animal-fish	NA	NA	johnson1988syntactic	NA
9592	jami11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9691	jami11	rana	saʔƀa	saʔƀa	54	NA	NA	NA	josserand1983mixtec	NA
404	jami11	hawk	tású	tású	55	NA	NA	NA	johnson1988syntactic	NA
9824	jami11	gavilán	tasu̧	tasu̧	55	NA	NA	NA	josserand1983mixtec	NA
405	jami11	scorpion	tī-suhma	tī-suhma	56	animal-tail	NA	NA	johnson1988syntactic	NA
9942	jami11	alacrán	tɨ-su̧ʔma̧	tɨ-su̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10027	jami11	cucaracha	ti-tʸaʔya	ti-tʸaʔya	57	NA	NA	NA	josserand1983mixtec	NA
10131	jami11	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	60	NA	NA	NA	josserand1983mixtec	NA
406	jami11	deer	isu	isu	61	NA	NA	NA	johnson1988syntactic	NA
10264	jami11	venado	isu	isu	61	NA	NA	NA	josserand1983mixtec	NA
10380	jami11	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	62	NA	NA	NA	josserand1983mixtec	NA
407	jami11	opossum	tɨ̄-maha	tɨ̄-maha	64	animal-?	NA	NA	johnson1988syntactic	NA
408	jami11	rabbit	kūñēshú	kūñēshú	66	Sp. conejo	yes	Spanish	johnson1988syntactic	NA
409	jami11	dog	ina	ina	68	NA	NA	NA	johnson1988syntactic	NA
410	jami11	cat	chúmī	chúmī	69	NA	NA	NA	johnson1988syntactic	NA
10501	jami11	gato	(čumi̧)	čumi̧	69	NA	NA	NA	josserand1983mixtec	NA
411	jami11	rooster	lóhó	lóhó	70	NA	NA	NA	johnson1988syntactic	NA
412	jami11	ant	tɨ̄-yoko	tɨ̄-yoko	75	animal-ant	NA	NA	johnson1988syntactic	NA
413	jami11	horn (anatomy)	ndīkī	ndīkī	76	NA	NA	NA	johnson1988syntactic	NA
10622	jami11	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	76	NA	NA	NA	josserand1983mixtec	NA
414	jami11	feather	tūmi	tūmi	77	NA	NA	NA	johnson1988syntactic	NA
10737	jami11	pluma	tu̧mi̧	tu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10848	jami11	ala	ⁿdiči	ⁿdiči	78	NA	NA	NA	josserand1983mixtec	NA
415	jami11	tail	suhma	suhma	79	NA	NA	NA	johnson1988syntactic	NA
