ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2062	jica11	CHILD (DESCENDANT)	child	séʔé	séʔé	5	1801	NA	NA	durr1987preliminary	NA
6387	jica11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6506	jica11	BROTHER (OF MAN)	hermano de hombre	ya̧ni̧	ya̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
2110	jica11	AUNT	aunt	čīšī	čīšī	11	1272	NA	NA	durr1987preliminary	NA
2125	jica11	UNCLE	uncle	šītō	šītō	12	1327	NA	NA	durr1987preliminary	NA
6622	jica11	MAN	hombre	rai	rai	13	1554	NA	NA	josserand1983mixtec	NA
2143	jica11	WOMAN	woman	ñà̧ʔà̧	ñà̧ʔà̧	14	962	NA	NA	durr1987preliminary	NA
6738	jica11	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6824	jica11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6920	jica11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
2161	jica11	FACE	face	nú̧ú̧	nú̧ú̧	20	1560	NA	NA	durr1987preliminary	NA
7033	jica11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7119	jica11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
2203	jica11	EAR	ear	sóʔó	sóʔó	24	1247	NA	NA	durr1987preliminary	NA
7222	jica11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7339	jica11	NOSE	nariz	šiti̧	šiti̧	25	1221	NA	NA	josserand1983mixtec	NA
7454	jica11	NOSE	cuello	suku̧	suku̧	25	1221	NA	NA	josserand1983mixtec	NA
2217	jica11	HAND	hand	ⁿdàʔà	ⁿdàʔà	27	1277	NA	NA	durr1987preliminary	NA
2228	jica11	FINGERNAIL	fingernail	tìñì	tìñì	28	1258	NA	NA	durr1987preliminary	NA
7569	jica11	FINGERNAIL	uña	ti̧ñu̧	ti̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
2239	jica11	BELLY OR STOMACH	stomach	tíčí	tíčí	30	2114	NA	NA	durr1987preliminary	NA
7687	jica11	INTESTINES	tripas	čiti	čiti	31	1991	NA	NA	josserand1983mixtec	NA
7806	jica11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7922	jica11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8032	jica11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8132	jica11	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
8246	jica11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8342	jica11	URINE	orina	čaša	čaša	38	1142	NA	NA	josserand1983mixtec	NA
2272	jica11	CLOTHES	clothes	sàʔmà	sàʔmà	39	1895	NA	NA	durr1987preliminary	NA
8424	jica11	SANDAL	huarache	ⁿdiča̧ʔ	ⁿdiča̧ʔ	40	NA	NA	NA	josserand1983mixtec	NA
8526	jica11	TROUSERS	calzón, pantalón	čatu	čatu	41	809	NA	NA	josserand1983mixtec	NA
8604	jica11	BLOUSE (WOVEN)	huipil	šiku	šiku	42	NA	NA	NA	josserand1983mixtec	NA
2294	jica11	TOWN OR VILLAGE	town	ñū̧ū̧	ñū̧ū̧	43	3609	NA	NA	durr1987preliminary	NA
8693	jica11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
2310	jica11	HOUSE	house	ƀèʔè	ƀèʔè	44	1252	NA	NA	durr1987preliminary	NA
8807	jica11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
2320	jica11	PATH	road	ìtì	ìtì	45	2252	NA	NA	durr1987preliminary	NA
8912	jica11	PATH	horcón	si̧ʔi̧	si̧ʔi̧	45	2252	NA	NA	josserand1983mixtec	NA
2332	jica11	MAT	straw mat	yùƀì	yùƀì	47	195	NA	NA	durr1987preliminary	NA
9012	jica11	MAT	petate	yuƀi	yuƀi	47	195	NA	NA	josserand1983mixtec	NA
9132	jica11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
2340	jica11	STOOL	stool	tāyū	tāyū	49	2058	NA	NA	durr1987preliminary	NA
9248	jica11	STOOL	banquito	tayu	tayu	49	2058	NA	NA	josserand1983mixtec	NA
2353	jica11	ANIMAL	animal	kìtì	kìtì	50	619	NA	NA	durr1987preliminary	NA
9370	jica11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10133	jica11	ANIMAL	rata	ti̧ñi̧	ti̧ñi̧	50	619	NA	NA	josserand1983mixtec	NA
2365	jica11	BIRD	bird	sāā	sāā	51	937	NA	NA	durr1987preliminary	NA
9487	jica11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10266	jica11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10382	jica11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
2392	jica11	SNAKE	snake	kóó	kóó	53	730	NA	NA	durr1987preliminary	NA
9593	jica11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
2399	jica11	FROG	frog	sāʔƀā	sāʔƀā	54	503	NA	NA	durr1987preliminary	NA
9693	jica11	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
9825	jica11	HAWK	gavilán	tasu̧	tasu̧	55	307	NA	NA	josserand1983mixtec	NA
9943	jica11	HAWK	alacrán	ti-su̧ʔma̧	ti-su̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
10028	jica11	COCKROACH	cucaracha	ti-teʔe	ti-teʔe	57	1575	NA	NA	josserand1983mixtec	NA
10503	jica11	BEE	gato	(mi̧stu)	mi̧stu	59	665	NA	NA	josserand1983mixtec	NA
2405	jica11	MUROID (MOUSE OR RAT)	rat	tɨ̄ñɨ́	tɨ̄ñɨ́	60	2139	NA	NA	durr1987preliminary	NA
2425	jica11	DOG	dog	īnā	īnā	68	2009	NA	NA	durr1987preliminary	NA
10625	jica11	ANT	cuerno	ⁿdiki	ⁿdiki	75	587	NA	NA	josserand1983mixtec	NA
10739	jica11	FEATHER	pluma	tu̧mi̧	tu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10849	jica11	WING	ala	ⁿdiči̧	ⁿdiči̧	78	1257	NA	NA	josserand1983mixtec	NA
