ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6116	jica13	madre	nána	nána	1	NA	NA	NA	Emily John-Martin	NA
6117	jica13	mamá!	ná	ná	2	NA	NA	NA	Emily John-Martin	NA
6118	jica13	padre	táta	táta	3	NA	NA	NA	Emily John-Martin	NA
6119	jica13	papá!	tá	tá	4	NA	NA	NA	Emily John-Martin	NA
6120	jica13	hijo/hija	se̠'e	se̠'e	5	NA	NA	NA	Emily John-Martin	NA
6121	jica13	hermana/hermano de otro genero	ku̠'va	ku̠'va	8	NA	NA	NA	Emily John-Martin	NA
6122	jica13	hermano de hombre	ñani	ñani	9	NA	NA	NA	Emily John-Martin	NA
6123	jica13	hermana de mujer	ku̠'vi̠	ku̠'vi̠	10	NA	NA	NA	Emily John-Martin	NA
6124	jica13	tía	xixi	xixi	11	NA	NA	NA	Emily John-Martin	NA
6125	jica13	tío	xito	xito	12	NA	NA	NA	Emily John-Martin	NA
6126	jica13	hombre	tia̠a	tia̠a	13	NA	NA	NA	Emily John-Martin	NA
6127	jica13	mujer	ñá sí'i	ñá-sí'i	14	female-woman?	NA	NA	Emily John-Martin	NA
6128	jica13	dueño	xi̠tǒ'o	xi̠-tǒ'o	15	NA	NA	NA	Emily John-Martin	NA
6129	jica13	sacerdote	su̠tu̠	su̠tu̠	16	NA	NA	NA	Emily John-Martin	NA
6130	jica13	sangre	ni̠í	ni̠í	17	NA	NA	NA	Emily John-Martin	NA
6131	jica13	hueso	lakí	lakí	18	NA	NA	NA	Emily John-Martin	NA
6132	jica13	pelo	ixí	ixí	19	NA	NA	NA	Emily John-Martin	NA
6133	jica13	cara	nu̠ú	nu̠ú	20	NA	NA	NA	Emily John-Martin	NA
6134	jica13	lengua	yâá	yâá	21	NA	NA	NA	Emily John-Martin	NA
6135	jica13	diente	nu̠'u	nu̠'u	22	NA	NA	NA	Emily John-Martin	NA
6136	jica13	boca	yu'ú	yu'ú	23	NA	NA	NA	Emily John-Martin	NA
6137	jica13	oreja	so̠'o	so̠'o	24	NA	NA	NA	Emily John-Martin	NA
6138	jica13	nariz	xi̠tín	xi̠tín	25	NA	NA	NA	Emily John-Martin	NA
6139	jica13	cuello	su̠kún	su̠kún	26	NA	NA	NA	Emily John-Martin	NA
6140	jica13	mano	nta'á	nta'á	27	NA	NA	NA	Emily John-Martin	NA
6141	jica13	uña	chîín	chîín	28	NA	NA	NA	Emily John-Martin	NA
6142	jica13	espalda	sa̠tá	sa̠tá	29	NA	NA	NA	Emily John-Martin	NA
6143	jica13	panza, barriga	ti̠xin	ti̠xin	30	NA	NA	NA	Emily John-Martin	NA
