ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6389	joco11	CHILD (DESCENDANT)	hijo/hija	đaʔa	đaʔa	5	1801	NA	NA	josserand1983mixtec	NA
6508	joco11	BROTHER (OF MAN)	hermano de hombre	ša̧ni̧-đa	ša̧ni̧-đa	9	559	NA	NA	josserand1983mixtec	NA
6624	joco11	MAN	hombre	ȼie	ȼie	13	1554	NA	NA	josserand1983mixtec	NA
6625	joco11	MAN	hombre	ȼʸee	ȼʸee	13	1554	NA	NA	josserand1983mixtec	NA
6740	joco11	OWNER	dueño	stoʔo	stoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6922	joco11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
7035	joco11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7121	joco11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7224	joco11	EAR	oreja	đoʔo	đoʔo	24	1247	NA	NA	josserand1983mixtec	NA
7341	joco11	NOSE	nariz	iči	iči	25	1221	NA	NA	josserand1983mixtec	NA
7456	joco11	NOSE	cuello	đuku	đuku	25	1221	NA	NA	josserand1983mixtec	NA
7571	joco11	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7689	joco11	INTESTINES	tripas	šiti	šiti	31	1991	NA	NA	josserand1983mixtec	NA
7808	joco11	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
7924	joco11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8035	joco11	SWELLING	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8034	joco11	SWELLING	hinchazón	ṣ̌i̧ñu̧	ṣ̌i̧ñu̧	35	1903	NA	NA	josserand1983mixtec	NA
8248	joco11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8344	joco11	URINE	orina	đađa	đađa	38	1142	NA	NA	josserand1983mixtec	NA
8426	joco11	SANDAL	huarache	ⁿǰisa	ⁿǰisa	40	NA	NA	NA	josserand1983mixtec	NA
8606	joco11	BLOUSE (WOVEN)	huipil	đo̧ʔno̧	đo̧ʔno̧	42	NA	NA	NA	josserand1983mixtec	NA
8695	joco11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8809	joco11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8914	joco11	PATH	horcón	ti-đȩʔȩ	ti-đȩʔȩ	45	2252	NA	NA	josserand1983mixtec	NA
9014	joco11	MAT	petate	yuu	yuu	47	195	NA	NA	josserand1983mixtec	NA
9134	joco11	BED	cama	ṣ̌ito	ṣ̌ito	48	1663	NA	NA	josserand1983mixtec	NA
9250	joco11	STOOL	banquito	ti-ȼayu	ti-ȼayu	49	2058	NA	NA	josserand1983mixtec	NA
9372	joco11	ANIMAL	animal	kiti	kiti	50	619	NA	NA	josserand1983mixtec	NA
10136	joco11	ANIMAL	rata	ti̧ỹi̧	ti̧ỹi̧	50	619	NA	NA	josserand1983mixtec	NA
10135	joco11	ANIMAL	rata	tʸoto	tʸoto	50	619	NA	NA	josserand1983mixtec	NA
9489	joco11	BIRD	pájaro	đaa	đaa	51	937	NA	NA	josserand1983mixtec	NA
10268	joco11	BIRD	venado	iđu	iđu	51	937	NA	NA	josserand1983mixtec	NA
10384	joco11	FISH	ardilla	kʷa̧ñi̧	kʷa̧ñi̧	52	227	NA	NA	josserand1983mixtec	NA
