ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6390	juxt11	hijo/hija	seʔe	seʔe	6	NA	NA	NA	josserand1983mixtec	NA
6509	juxt11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6626	juxt11	hombre	tʸaa	tʸaa	13	NA	NA	NA	josserand1983mixtec	NA
6741	juxt11	dueño	stoʔo	stoʔo	15	NA	NA	NA	josserand1983mixtec	NA
6826	juxt11	sacerdote	sutu	sutu	16	NA	NA	NA	josserand1983mixtec	NA
6923	juxt11	sangre	ni̧i̧	ni̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7036	juxt11	diente	nu̧ʔu̧	nu̧ʔu̧	22	NA	NA	NA	josserand1983mixtec	NA
7122	juxt11	boca	žuʔu	žuʔu	23	NA	NA	NA	josserand1983mixtec	NA
7225	juxt11	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7342	juxt11	nariz	šiti	šiti	25	NA	NA	NA	josserand1983mixtec	NA
7457	juxt11	cuello	suku	suku	26	NA	NA	NA	josserand1983mixtec	NA
7572	juxt11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7690	juxt11	tripas	ṣitʸi	ṣitʸi	31	NA	NA	NA	josserand1983mixtec	NA
7809	juxt11	pie	ṣaʔa	ṣaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7925	juxt11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8036	juxt11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8134	juxt11	grano	ⁿdʸiʔi	ⁿdʸiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8250	juxt11	pus	kjʔna̧	kjʔna̧	37	NA	NA	NA	josserand1983mixtec	NA
8249	juxt11	pus	ⁿdakʷa-tʸi-ma̧ʔa̧	ⁿdakʷa-tʸi-ma̧ʔa̧	37	NA	NA	NA	josserand1983mixtec	NA
8345	juxt11	orina	lala	lala	38	NA	NA	NA	josserand1983mixtec	NA
8427	juxt11	huarache	ⁿdiṣa	ⁿdiṣa	40	NA	NA	NA	josserand1983mixtec	NA
8528	juxt11	calzón, pantalón	satu	satu	41	NA	NA	NA	josserand1983mixtec	NA
8608	juxt11	huipil	šiku	šiku	42	NA	NA	NA	josserand1983mixtec	NA
8607	juxt11	huipil	su̧ʔnu̧	su̧ʔnu̧	42	NA	NA	NA	josserand1983mixtec	NA
8696	juxt11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8810	juxt11	casa	weʔe	weʔe	44	NA	NA	NA	josserand1983mixtec	NA
8915	juxt11	horcón	siʔi	siʔi	46	NA	NA	NA	josserand1983mixtec	NA
9015	juxt11	petate	žuƀi	žuƀi	47	NA	NA	NA	josserand1983mixtec	NA
9135	juxt11	cama	ʂito	ʂito	48	NA	NA	NA	josserand1983mixtec	NA
9251	juxt11	banquito	šila	šila	49	NA	yes	Spanish	josserand1983mixtec	NA
9252	juxt11	banquito	tʸʰai	tʸʰai	49	NA	NA	NA	josserand1983mixtec	NA
9373	juxt11	animal	kitʸi	kitʸi	50	NA	NA	NA	josserand1983mixtec	NA
9490	juxt11	pájaro	laa	laa	51	NA	NA	NA	josserand1983mixtec	NA
9596	juxt11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9696	juxt11	rana	laʔƀa	laʔƀa	54	NA	NA	NA	josserand1983mixtec	NA
9829	juxt11	gavilán	ši̧ʔa̧	ši̧ʔa̧	55	NA	NA	NA	josserand1983mixtec	NA
9946	juxt11	alacrán	ti-su̧ʔma̧	ti-su̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10031	juxt11	cucaracha	ⁿdʸi-tʸeʔe	ⁿdʸi-tʸeʔe	57	NA	NA	NA	josserand1983mixtec	NA
10137	juxt11	rata	tʸi̧i̧	tʸi̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10269	juxt11	venado	isu	isu	61	NA	NA	NA	josserand1983mixtec	NA
10385	juxt11	ardilla	ⁿdʸi-kʷa̧i̧	ⁿdʸi-kʷa̧i̧	62	NA	NA	NA	josserand1983mixtec	NA
10507	juxt11	gato	(čitu)	čitu	69	NA	NA	NA	josserand1983mixtec	NA
10628	juxt11	cuerno	ⁿdʸiki	ⁿdʸiki	76	NA	NA	NA	josserand1983mixtec	NA
10742	juxt11	pluma	tu̧mi̧	tu̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10852	juxt11	ala	ⁿdʸisʸi	ⁿdʸisʸi	78	NA	NA	NA	josserand1983mixtec	NA
10950	juxt11	cola	ⁿdoʔo	ⁿdoʔo	79	NA	NA	NA	josserand1983mixtec	NA
11071	juxt11	árbol	žutu	žutu	80	NA	NA	NA	josserand1983mixtec	NA
11183	juxt11	hierba	žuku	žuku	81	NA	NA	NA	josserand1983mixtec	NA
11289	juxt11	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11408	juxt11	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11530	juxt11	milpa	itu	itu	88	NA	NA	NA	josserand1983mixtec	NA
11644	juxt11	masa	žusa	žusa	91	NA	NA	NA	josserand1983mixtec	NA
11766	juxt11	tortilla	šita	šita	92	NA	NA	NA	josserand1983mixtec	NA
11879	juxt11	rastrojo	ña̧ma̧	ña̧ma̧	93	NA	NA	NA	josserand1983mixtec	NA
11964	juxt11	surco	žuku	žuku	94	NA	NA	NA	josserand1983mixtec	NA
12051	juxt11	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
12148	juxt11	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12254	juxt11	ejote	ⁿdiči	ⁿdiči	97	NA	NA	NA	josserand1983mixtec	NA
12351	juxt11	sal	ñi̧i̧	ñi̧i̧	99	NA	NA	NA	josserand1983mixtec	NA
12466	juxt11	calabaza	žiki	žiki	100	NA	NA	NA	josserand1983mixtec	NA
12582	juxt11	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12696	juxt11	miel	ⁿduši	ⁿduši	103	NA	NA	NA	josserand1983mixtec	NA
12820	juxt11	blanquillo, huevo	ⁿdʸiƀi	ⁿdʸiƀi	105	NA	NA	NA	josserand1983mixtec	NA
12930	juxt11	jitomate	tʸi-na̧na̧	tʸi-na̧na̧	106	NA	NA	NA	josserand1983mixtec	NA
13016	juxt11	nopal	ƀi̧ʔⁿdʸa	ƀi̧ʔⁿdʸa	110	NA	NA	NA	josserand1983mixtec	NA
13100	juxt11	mamey	ⁿdika-sʸaʔa	ⁿdika-sʸaʔa	111	NA	NA	NA	josserand1983mixtec	NA
13198	juxt11	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13316	juxt11	comal	sʸoo	sʸoo	115	NA	NA	NA	josserand1983mixtec	NA
