ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6391	lore11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6510	lore11	BROTHER (OF MAN)	hermano de hombre	ya̧ñi̧	ya̧ñi̧	9	559	NA	NA	josserand1983mixtec	NA
6627	lore11	MAN	hombre	ra-yɨɨ	ra-yɨɨ	13	1554	NA	NA	josserand1983mixtec	NA
6742	lore11	OWNER	dueño	či-toʔo	či-toʔo	15	1036	NA	NA	josserand1983mixtec	NA
6827	lore11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
6924	lore11	BLOOD	sangre	nɨ̧ñɨ̧	nɨ̧ñɨ̧	17	946	NA	NA	josserand1983mixtec	NA
7037	lore11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
7123	lore11	MOUTH	boca	yuʔu	yuʔu	23	674	NA	NA	josserand1983mixtec	NA
7226	lore11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7343	lore11	NOSE	nariz	šitʸi	šitʸi	25	1221	NA	NA	josserand1983mixtec	NA
7458	lore11	NOSE	cuello	suku	suku	25	1221	NA	NA	josserand1983mixtec	NA
7573	lore11	FINGERNAIL	uña	tʸi̧i̧	tʸi̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
7691	lore11	INTESTINES	tripas	čɨtɨ	čɨtɨ	31	1991	NA	NA	josserand1983mixtec	NA
7810	lore11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7926	lore11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8135	lore11	SWELLING	grano	ⁿdɨʔyɨ	ⁿdɨʔyɨ	35	1903	NA	NA	josserand1983mixtec	NA
8251	lore11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8346	lore11	URINE	orina	tʸatʸa	tʸatʸa	38	1142	NA	NA	josserand1983mixtec	NA
8428	lore11	SANDAL	huarache	ⁿdʸiča̧	ⁿdʸiča̧	40	NA	NA	NA	josserand1983mixtec	NA
8529	lore11	TROUSERS	calzón, pantalón	ti-čaʔa	ti-čaʔa	41	809	NA	NA	josserand1983mixtec	NA
8609	lore11	BLOUSE (WOVEN)	huipil	šuku̧	šuku̧	42	NA	NA	NA	josserand1983mixtec	NA
8697	lore11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8811	lore11	HOUSE	casa	weʔe	weʔe	44	1252	NA	NA	josserand1983mixtec	NA
8916	lore11	PATH	horcón	sɨ̧ʔñɨ̧	sɨ̧ʔñɨ̧	45	2252	NA	NA	josserand1983mixtec	NA
9016	lore11	MAT	petate	yuu	yuu	47	195	NA	NA	josserand1983mixtec	NA
9017	lore11	MAT	petate	yuwi	yuwi	47	195	NA	NA	josserand1983mixtec	NA
9136	lore11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
9253	lore11	STOOL	banquito	tʸayu	tʸayu	49	2058	NA	NA	josserand1983mixtec	NA
9374	lore11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10138	lore11	ANIMAL	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
9491	lore11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10270	lore11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10386	lore11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9597	lore11	SNAKE	culebra	koo	koo	53	730	NA	NA	josserand1983mixtec	NA
9697	lore11	FROG	rana	saʔwa	saʔwa	54	503	NA	NA	josserand1983mixtec	NA
9830	lore11	HAWK	gavilán	tasɨ	tasɨ	55	307	NA	NA	josserand1983mixtec	NA
9947	lore11	HAWK	alacrán	tɨ-su̧ʔma̧	tɨ-su̧ʔma̧	55	307	NA	NA	josserand1983mixtec	NA
10032	lore11	COCKROACH	cucaracha	ti-kʷa̧a̧	ti-kʷa̧a̧	57	1575	NA	NA	josserand1983mixtec	NA
10508	lore11	BEE	gato	mi̧lu	mi̧lu	59	665	NA	NA	josserand1983mixtec	NA
10629	lore11	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
10743	lore11	FEATHER	pluma	tu̧mi̧	tu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10853	lore11	WING	ala	ⁿdʸiči̧	ⁿdʸiči̧	78	1257	NA	NA	josserand1983mixtec	NA
10951	lore11	TAIL	cola	su̧ʔma̧	su̧ʔma̧	79	1220	NA	NA	josserand1983mixtec	NA
11072	lore11	TREE	árbol	yutu̧	yutu̧	80	906	NA	NA	josserand1983mixtec	NA
11184	lore11	HERBACEOUS PLANT	hierba	yuku	yuku	81	NA	NA	NA	josserand1983mixtec	NA
11290	lore11	MAGUEY	maguey	yawi	yawi	84	NA	NA	NA	josserand1983mixtec	NA
11409	lore11	CORN	maíz	nu̧ñi̧	nu̧ñi̧	87	506	NA	NA	josserand1983mixtec	NA
11531	lore11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
