ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2968	mixt11	FATHER	padre, papá	tatà 	tatà 	3	1217	NA	NA	oxnard2020	NA
2060	mixt11	CHILD (DESCENDANT)	child	sèʔē	sèʔē	5	1801	NA	NA	durr1987preliminary	NA
6395	mixt11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
2973	mixt11	CHILD (DESCENDANT)	hijo/hija	sè'e	sè'e	5	1801	NA	NA	oxnard2020	NA
6513	mixt11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
2982	mixt11	BROTHER (OF MAN)	hermano de hombre	ñanì	ñanì	9	559	NA	NA	oxnard2020	NA
2123	mixt11	UNCLE	uncle	šītò	šītò	12	1327	NA	NA	durr1987preliminary	NA
2134	mixt11	MAN	man	čàā	čàā	13	1554	NA	NA	durr1987preliminary	NA
6631	mixt11	MAN	hombre	tʸaa	tʸaa	13	1554	NA	NA	josserand1983mixtec	NA
2998	mixt11	MAN	hombre	chàa	chàa	13	1554	NA	NA	oxnard2020	NA
2141	mixt11	WOMAN	woman	ñā̧ʔá̧	ñā̧ʔá̧	14	962	NA	NA	durr1987preliminary	NA
6744	mixt11	OWNER	dueño	stoʔo	stoʔo	15	1036	NA	NA	josserand1983mixtec	NA
6829	mixt11	OWNER	sacerdote	sutu	sutu	15	1036	NA	NA	josserand1983mixtec	NA
3006	mixt11	OWNER	dueño	sto'o	s-to'o	15	1036	NA	NA	oxnard2020	NA
3011	mixt11	PRIEST	sacerdote	sùtù	sùtù	16	852	NA	NA	oxnard2020	NA
6928	mixt11	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
3016	mixt11	BLOOD	sangre	nìín	nìín	17	946	NA	NA	oxnard2020	NA
