ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2051	moli11	CHILD (DESCENDANT)	child	sèʔē	sèʔē	5	1801	NA	NA	durr1987preliminary	NA
6396	moli11	CHILD (DESCENDANT)	hijo/hija	sēʔe	sēʔe	5	1801	NA	NA	josserand1983mixtec	NA
2066	moli11	CROSS-SEX SIBLING	cross-sex sibling	kʷàʔā	kʷàʔā	8	NA	NA	NA	durr1987preliminary	NA
6514	moli11	BROTHER (OF MAN)	hermano de hombre	ña̧ni̧	ña̧ni̧	9	559	NA	NA	josserand1983mixtec	NA
2088	moli11	SISTER (OF WOMAN)	sister of woman	kùʔù	kùʔù	10	NA	NA	NA	durr1987preliminary	NA
2100	moli11	AUNT	aunt	sīsì	sīsì	11	1272	NA	NA	durr1987preliminary	NA
2114	moli11	UNCLE	uncle	stōò	stōò	12	1327	NA	NA	durr1987preliminary	NA
2127	moli11	MAN	man	tèē	tèē	13	1554	NA	NA	durr1987preliminary	NA
6632	moli11	MAN	hombre	tēe	tēe	13	1554	NA	NA	josserand1983mixtec	NA
2136	moli11	WOMAN	woman	ñā̧ʔā̧	ñā̧ʔā̧	14	962	NA	NA	durr1987preliminary	NA
6745	moli11	OWNER	dueño	xi-tóʔo	xi-tóʔo	15	1036	NA	NA	josserand1983mixtec	NA
6830	moli11	OWNER	sacerdote	sūtū	sūtū	15	1036	NA	NA	josserand1983mixtec	NA
6929	moli11	BLOOD	sangre	ni̧ñi̧	ni̧ñi̧	17	946	NA	NA	josserand1983mixtec	NA
2153	moli11	FACE	face	nùù	nùù	20	1560	NA	NA	durr1987preliminary	NA
2176	moli11	TOOTH	tooth	nù̧ʔū̧	nù̧ʔū̧	22	1380	NA	NA	durr1987preliminary	NA
7040	moli11	TOOTH	diente	nu̧ʔu̧	nu̧ʔu̧	22	1380	NA	NA	josserand1983mixtec	NA
2183	moli11	MOUTH	mouth	žūʔū 	žūʔū 	23	674	NA	NA	durr1987preliminary	NA
7127	moli11	MOUTH	boca	žuʔu	žuʔu	23	674	NA	NA	josserand1983mixtec	NA
7230	moli11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
