ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2967	mont12	FATHER	padre, papá	tatá	tatá	3	1217	NA	NA	oxnard2020	NA
6397	mont12	CHILD (DESCENDANT)	hijo/hija	haʔya	haʔya	5	1801	NA	NA	josserand1983mixtec	NA
2972	mont12	CHILD (DESCENDANT)	hijo/hija	jàya 	jàya 	5	1801	NA	NA	oxnard2020	NA
2977	mont12	CROSS-SEX SIBLING	hermana/hermano de otro genero	kìva	kìva	8	NA	NA	NA	oxnard2020	NA
2981	mont12	BROTHER (OF MAN)	hermano de hombre	ñanì	ñanì	9	559	NA	NA	oxnard2020	NA
2986	mont12	SISTER (OF WOMAN)	hermana de mujer	kìvì	kìvì	10	NA	NA	NA	oxnard2020	NA
2993	mont12	UNCLE	tío	xitò	xitò	12	1327	NA	NA	oxnard2020	NA
6633	mont12	MAN	hombre	taa	taa	13	1554	NA	NA	josserand1983mixtec	NA
2997	mont12	MAN	hombre	tyàa	tyàa	13	1554	NA	NA	oxnard2020	NA
3005	mont12	OWNER	dueño	sìtoò	sì-toò	15	1036	NA	NA	oxnard2020	NA
3010	mont12	PRIEST	sacerdote	jùtì	jùtì	16	852	NA	NA	oxnard2020	NA
6930	mont12	BLOOD	sangre	ni̧i̧	ni̧i̧	17	946	NA	NA	josserand1983mixtec	NA
3015	mont12	BLOOD	sangre	nììn	nììn	17	946	NA	NA	oxnard2020	NA
3020	mont12	BONE	hueso	lasa	lasa	18	1394	NA	NA	oxnard2020	NA
3025	mont12	HAIR	pelo	ixì	ixì	19	1040	NA	NA	oxnard2020	NA
3030	mont12	FACE	cara	nòò	nòò	20	1560	NA	NA	oxnard2020	NA
3038	mont12	TOOTH	diente	nò'on	nò'on	22	1380	NA	NA	oxnard2020	NA
3043	mont12	MOUTH	boca	yu'ù	yu'ù	23	674	NA	NA	oxnard2020	NA
7231	mont12	EAR	oreja	hoʔo	hoʔo	24	1247	NA	NA	josserand1983mixtec	NA
3048	mont12	EAR	oreja	jò'o	jò'o	24	1247	NA	NA	oxnard2020	NA
7348	mont12	NOSE	nariz	šiti	šiti	25	1221	NA	NA	josserand1983mixtec	NA
7463	mont12	NOSE	cuello	hiko	hiko	25	1221	NA	NA	josserand1983mixtec	NA
3053	mont12	NOSE	nariz	xìtì	xìtì	25	1221	NA	NA	oxnard2020	NA
3058	mont12	NECK	cuello 	jìkò	jìkò	26	1333	NA	NA	oxnard2020	NA
3063	mont12	HAND	mano	ndaà	ndaà	27	1277	NA	NA	oxnard2020	NA
7579	mont12	FINGERNAIL	uña	či̧i̧	či̧i̧	28	1258	NA	NA	josserand1983mixtec	NA
3068	mont12	FINGERNAIL	uña	chiín	chiín	28	1258	NA	NA	oxnard2020	NA
3073	mont12	BACK	espalda	sàtà	sàtà	29	1291	NA	NA	oxnard2020	NA
3078	mont12	BELLY OR STOMACH	estómago	tìsi	tìsi	30	2114	NA	NA	oxnard2020	NA
7697	mont12	INTESTINES	tripas	süti-ka̧ʔnu̧	süti-ka̧ʔnu̧	31	1991	NA	NA	josserand1983mixtec	NA
3082	mont12	INTESTINES	tripa	sutì	sutì	31	1991	NA	NA	oxnard2020	NA
7816	mont12	FOOT	pie	saʔa	saʔa	32	1301	NA	NA	josserand1983mixtec	NA
3087	mont12	FOOT	pie	sà'à	sà'à	32	1301	NA	NA	oxnard2020	NA
7931	mont12	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
3092	mont12	DISEASE	enfermedad	kuè'è	kuè'è	33	1986	NA	NA	oxnard2020	NA
8140	mont12	SWELLING	grano	ⁿdiʔi	ⁿdiʔi	35	1903	NA	NA	josserand1983mixtec	NA
3100	mont12	SWELLING	hinchazón	kuiñu	kuiñu	35	1903	NA	NA	oxnard2020	NA
3105	mont12	PIMPLE	grano 	ndì'i	ndì'i	36	1809	NA	NA	oxnard2020	NA
8256	mont12	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
3110	mont12	PUS	pus	ndakuà	ndakuà	37	1808	NA	NA	oxnard2020	NA
3115	mont12	URINE	orina	tìlàlá	tì-làlá	38	1142	NA	NA	oxnard2020	NA
3120	mont12	CLOTHES	ropa	jàmà	jàmà	39	1895	NA	NA	oxnard2020	NA
8433	mont12	SANDAL	huarache	ⁿdisa	ⁿdisa	40	NA	NA	NA	josserand1983mixtec	NA
3125	mont12	SANDAL	huarache	ndìsà	ndìsà	40	NA	NA	NA	oxnard2020	NA
3130	mont12	TROUSERS	pantalón	satì	satì	41	809	NA	NA	oxnard2020	NA
8702	mont12	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
3137	mont12	TOWN OR VILLAGE	pueblo	ñoò	ñoò	43	3609	NA	NA	oxnard2020	NA
