ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6399	more11	hijo/hija	heʔe	heʔe	6	NA	NA	NA	josserand1983mixtec	NA
6517	more11	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6637	more11	hombre	taa	taa	13	NA	NA	NA	josserand1983mixtec	NA
6747	more11	dueño	ᵐbaʔa	ᵐbaʔa	15	NA	NA	NA	josserand1983mixtec	NA
6932	more11	sangre	ni̧i̧	ni̧i̧	17	NA	NA	NA	josserand1983mixtec	NA
7130	more11	boca	yüʔü	yüʔü	23	NA	NA	NA	josserand1983mixtec	NA
7351	more11	nariz	čiti	čiti	25	NA	NA	NA	josserand1983mixtec	NA
7465	more11	cuello	siko	siko	26	NA	NA	NA	josserand1983mixtec	NA
7582	more11	uña	či̧i̧	či̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7700	more11	tripas	šiti	šiti	31	NA	NA	NA	josserand1983mixtec	NA
7818	more11	pie	čaʔa	čaʔa	32	NA	NA	NA	josserand1983mixtec	NA
7933	more11	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8042	more11	hinchazón	kʷi̧ñu̧	kʷi̧ñu̧	35	NA	NA	NA	josserand1983mixtec	NA
8143	more11	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8258	more11	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8435	more11	huarache	ⁿdüša	ⁿdüša	40	NA	NA	NA	josserand1983mixtec	NA
8534	more11	calzón, pantalón	šati	šati	41	NA	NA	NA	josserand1983mixtec	NA
8705	more11	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8819	more11	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
8921	more11	horcón	si̧ʔi̧	si̧ʔi̧	46	NA	NA	NA	josserand1983mixtec	NA
9144	more11	cama	šito	šito	48	NA	NA	NA	josserand1983mixtec	NA
9262	more11	banquito	ƀanko	ƀanko	49	NA	yes	Spanish	josserand1983mixtec	NA
9382	more11	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9500	more11	pájaro	ⁿdi-laa	ⁿdi-laa	51	NA	NA	NA	josserand1983mixtec	NA
9603	more11	culebra	koo	koo	53	NA	NA	NA	josserand1983mixtec	NA
9705	more11	rana	ⁿdi-laƀa	ⁿdi-laƀa	54	NA	NA	NA	josserand1983mixtec	NA
9836	more11	gavilán	ⁿdi-siʔa̧	ⁿdi-siʔa̧	55	NA	NA	NA	josserand1983mixtec	NA
9953	more11	alacrán	ti-si̧ʔma̧	ti-si̧ʔma̧	56	NA	NA	NA	josserand1983mixtec	NA
10038	more11	cucaracha	ti-ⁿdiƀa	ti-ⁿdiƀa	57	NA	NA	NA	josserand1983mixtec	NA
10147	more11	rata	ti-ti̧i̧	ti-ti̧i̧	60	NA	NA	NA	josserand1983mixtec	NA
10278	more11	venado	isi	isi	61	NA	NA	NA	josserand1983mixtec	NA
10516	more11	gato	(čito)	čito	69	NA	NA	NA	josserand1983mixtec	NA
10636	more11	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
