ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6403	nund12	hijo/hija	seʔe	seʔe	5	NA	NA	NA	josserand1983mixtec	NA
6521	nund12	hermano de hombre	ña̧ni̧	ña̧ni̧	9	NA	NA	NA	josserand1983mixtec	NA
6642	nund12	hombre	tee	tee	13	NA	NA	NA	josserand1983mixtec	NA
6936	nund12	sangre	ñi̧ñi̧	ñi̧ñi̧	17	NA	NA	NA	josserand1983mixtec	NA
7237	nund12	oreja	soʔo	soʔo	24	NA	NA	NA	josserand1983mixtec	NA
7355	nund12	nariz	sti̧i̧	sti̧i̧	25	NA	NA	NA	josserand1983mixtec	NA
7586	nund12	uña	ti̧i̧	ti̧i̧	28	NA	NA	NA	josserand1983mixtec	NA
7704	nund12	tripas	čiti	čiti	31	NA	NA	NA	josserand1983mixtec	NA
7822	nund12	pie	si̧ʔi̧	si̧ʔi̧	32	NA	NA	NA	josserand1983mixtec	NA
7937	nund12	enfermedad	kʷeʔe	kʷeʔe	33	NA	NA	NA	josserand1983mixtec	NA
8147	nund12	grano	ⁿdiʔi	ⁿdiʔi	36	NA	NA	NA	josserand1983mixtec	NA
8262	nund12	pus	ⁿdakʷa	ⁿdakʷa	37	NA	NA	NA	josserand1983mixtec	NA
8439	nund12	huarache	ⁿdixa̧	ⁿdixa̧	40	NA	NA	NA	josserand1983mixtec	NA
8709	nund12	pueblo	ñu̧u̧	ñu̧u̧	43	NA	NA	NA	josserand1983mixtec	NA
8823	nund12	casa	ƀeʔe	ƀeʔe	44	NA	NA	NA	josserand1983mixtec	NA
9030	nund12	petate	žuu	žuu	47	NA	NA	NA	josserand1983mixtec	NA
9148	nund12	cama	kama	kama	48	NA	NA	NA	josserand1983mixtec	NA
9266	nund12	banquito	banku	banku	49	NA	NA	NA	josserand1983mixtec	NA
9386	nund12	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
9504	nund12	pájaro	ti-saa	ti-saa	51	NA	NA	NA	josserand1983mixtec	NA
9708	nund12	rana	saʔƀa	saʔƀa	54	NA	NA	NA	josserand1983mixtec	NA
10152	nund12	rata	ti̧ñi̧	ti̧ñi̧	60	NA	NA	NA	josserand1983mixtec	NA
10282	nund12	venado	isu	isu	61	NA	NA	NA	josserand1983mixtec	NA
10396	nund12	ardilla	ti-kʷa̧nu̧	ti-kʷa̧nu̧	62	NA	NA	NA	josserand1983mixtec	NA
10520	nund12	gato	ƀilu	ƀilu	69	NA	NA	NA	josserand1983mixtec	NA
10640	nund12	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
10757	nund12	pluma	tu̧u̧	tu̧u̧	77	NA	NA	NA	josserand1983mixtec	NA
10964	nund12	cola	su̧ʔma̧	su̧ʔma̧	79	NA	NA	NA	josserand1983mixtec	NA
11085	nund12	árbol	žutnu̧	žutnu̧	80	NA	NA	NA	josserand1983mixtec	NA
11302	nund12	maguey	žaƀi	žaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11422	nund12	maíz	nu̧ni̧	nu̧ni̧	87	NA	NA	NA	josserand1983mixtec	NA
11658	nund12	masa	žuxa̧	žuxa̧	91	NA	NA	NA	josserand1983mixtec	NA
11780	nund12	tortilla	staa	staa	92	NA	NA	NA	josserand1983mixtec	NA
12161	nund12	frijol(es)	ⁿduči	ⁿduči	96	NA	NA	NA	josserand1983mixtec	NA
12365	nund12	sal	ñi̧i̧	ñi̧i̧	99	NA	NA	NA	josserand1983mixtec	NA
12478	nund12	calabaza	žiki̧	žiki̧	100	NA	NA	NA	josserand1983mixtec	NA
12594	nund12	caña	ⁿdoo	ⁿdoo	102	NA	NA	NA	josserand1983mixtec	NA
12710	nund12	miel	ⁿduši	ⁿduši	103	NA	NA	NA	josserand1983mixtec	NA
12834	nund12	blanquillo, huevo	ⁿdiƀi	ⁿdiƀi	105	NA	NA	NA	josserand1983mixtec	NA
13212	nund12	carne	ku̧ñu̧	ku̧ñu̧	114	NA	NA	NA	josserand1983mixtec	NA
13330	nund12	comal	šio	šio	115	NA	NA	NA	josserand1983mixtec	NA
13530	nund12	horno	xitu̧	xitu̧	117	NA	NA	NA	josserand1983mixtec	NA
13644	nund12	lumbre	ñu̧ʔu̧	ñu̧ʔu̧	118	NA	NA	NA	josserand1983mixtec	NA
13764	nund12	humo	ñu̧ʔma̧	ñu̧ʔma̧	121	NA	NA	NA	josserand1983mixtec	NA
13981	nund12	jícara	žaxi	žaxi	124	NA	NA	NA	josserand1983mixtec	NA
14094	nund12	cajón	kaxa	kaxa	126	NA	NA	NA	josserand1983mixtec	NA
14204	nund12	hilo	žuʔa	žuʔa	127	NA	NA	NA	josserand1983mixtec	NA
14476	nund12	red	ñu̧nu̧	ñu̧nu̧	131	NA	NA	NA	josserand1983mixtec	NA
14602	nund12	agua	ⁿdute	ⁿdute	137	NA	NA	NA	josserand1983mixtec	NA
14729	nund12	lluvia	saƀi	saƀi	138	NA	NA	NA	josserand1983mixtec	NA
14854	nund12	río	žute	žute	139	NA	NA	NA	josserand1983mixtec	NA
15065	nund12	cerro	žuku	žuku	141	NA	NA	NA	josserand1983mixtec	NA
15189	nund12	llano	ža̧nu̧	ža̧nu̧	142	NA	NA	NA	josserand1983mixtec	NA
15315	nund12	piedra	žuu	žuu	143	NA	NA	NA	josserand1983mixtec	NA
15432	nund12	algodón	kači	kači	144	NA	NA	NA	josserand1983mixtec	NA
15629	nund12	cera	ñu̧ma̧	ñu̧ma̧	148	NA	NA	NA	josserand1983mixtec	NA
15870	nund12	espuma	ti-ʔi̧ñu̧	ti-ʔi̧ñu̧	150	NA	NA	NA	josserand1983mixtec	NA
15990	nund12	rojo	kʷaʔa	kʷaʔa	152	NA	NA	NA	josserand1983mixtec	NA
16105	nund12	amarillo	kʷa̧a̧	kʷa̧a̧	154	NA	NA	NA	josserand1983mixtec	NA
16223	nund12	dos	uu	uu	158	NA	NA	NA	josserand1983mixtec	NA
16344	nund12	tres	u̧ñi̧	u̧ñi̧	159	NA	NA	NA	josserand1983mixtec	NA
16464	nund12	cuatro	ku̧u̧	ku̧u̧	160	NA	NA	NA	josserand1983mixtec	NA
16586	nund12	cinco	u̧ʔu̧	u̧ʔu̧	161	NA	NA	NA	josserand1983mixtec	NA
16705	nund12	seis	i̧ñu̧	i̧ñu̧	162	NA	NA	NA	josserand1983mixtec	NA
16821	nund12	siete	uxa	uxa	163	NA	NA	NA	josserand1983mixtec	NA
16938	nund12	ocho	u̧na̧	u̧na̧	164	NA	NA	NA	josserand1983mixtec	NA
17053	nund12	diez	uṣ̌i	uṣ̌i	166	NA	NA	NA	josserand1983mixtec	NA
17169	nund12	quince	šeʔo̧	šeʔo̧	167	NA	NA	NA	josserand1983mixtec	NA
17403	nund12	frío	ƀixi̧	ƀixi̧	171	NA	NA	NA	josserand1983mixtec	NA
17614	nund12	grande (sg.)	kaʔnu̧	kaʔnu̧	173	NA	NA	NA	josserand1983mixtec	NA
17739	nund12	chico	lule	lule	175	NA	NA	NA	josserand1983mixtec	NA
17952	nund12	dulce	ƀiši	ƀiši	180	NA	NA	NA	josserand1983mixtec	NA
18711	nund12	pesado	ƀee	ƀee	191	NA	NA	NA	josserand1983mixtec	NA
18943	nund12	despacio	kʷee	kʷee	194	NA	NA	NA	josserand1983mixtec	NA
19057	nund12	ayer	iku	iku	195	NA	NA	NA	josserand1983mixtec	NA
19173	nund12	año	kʷia	kʷia	196	NA	NA	NA	josserand1983mixtec	NA
19478	nund12	día	kiƀi	kiƀi	200	NA	NA	NA	josserand1983mixtec	NA
19601	nund12	mitad	saƀa	saƀa	202	NA	NA	NA	josserand1983mixtec	NA
19718	nund12	trabajo	sa-tiu̧	sa-tiu̧	204	NA	NA	NA	josserand1983mixtec	NA
19840	nund12	palabra	palabra	palabra	205	NA	NA	NA	josserand1983mixtec	NA
20046	nund12	cuándo	na̧-kiƀi	na̧-kiƀi	208	NA	NA	NA	josserand1983mixtec	NA
