ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
6405	nuti11	CHILD (DESCENDANT)	hijo/hija	seʔe	seʔe	5	1801	NA	NA	josserand1983mixtec	NA
6644	nuti11	MAN	hombre	ra-yɨɨ	ra-yɨɨ	13	1554	NA	NA	josserand1983mixtec	NA
6938	nuti11	BLOOD	sangre	nɨ̧ñɨ̧̀	nɨ̧ñɨ̧̀	17	946	NA	NA	josserand1983mixtec	NA
7239	nuti11	EAR	oreja	soʔo	soʔo	24	1247	NA	NA	josserand1983mixtec	NA
7357	nuti11	NOSE	nariz	šitʸi̧	šitʸi̧	25	1221	NA	NA	josserand1983mixtec	NA
7470	nuti11	NOSE	cuello	ṣ̌uku̧	ṣ̌uku̧	25	1221	NA	NA	josserand1983mixtec	NA
7588	nuti11	FINGERNAIL	uña	tʸi̧ñu̧	tʸi̧ñu̧	28	1258	NA	NA	josserand1983mixtec	NA
7706	nuti11	INTESTINES	tripas	čitʸi	čitʸi	31	1991	NA	NA	josserand1983mixtec	NA
7824	nuti11	FOOT	pie	čaʔa	čaʔa	32	1301	NA	NA	josserand1983mixtec	NA
7939	nuti11	DISEASE	enfermedad	kʷeʔe	kʷeʔe	33	1986	NA	NA	josserand1983mixtec	NA
8149	nuti11	SWELLING	grano	ⁿdɨkɨ	ⁿdɨkɨ	35	1903	NA	NA	josserand1983mixtec	NA
8264	nuti11	PUS	pus	ⁿdakʷa	ⁿdakʷa	37	1808	NA	NA	josserand1983mixtec	NA
8441	nuti11	SANDAL	huarache	ⁿdʸiča	ⁿdʸiča	40	NA	NA	NA	josserand1983mixtec	NA
8711	nuti11	TOWN OR VILLAGE	pueblo	ñu̧u̧	ñu̧u̧	43	3609	NA	NA	josserand1983mixtec	NA
8825	nuti11	HOUSE	casa	ƀeʔe	ƀeʔe	44	1252	NA	NA	josserand1983mixtec	NA
9032	nuti11	MAT	petate	yuƀi	yuƀi	47	195	NA	NA	josserand1983mixtec	NA
9150	nuti11	BED	cama	čito	čito	48	1663	NA	NA	josserand1983mixtec	NA
9268	nuti11	STOOL	banquito	banka	banka	49	2058	NA	NA	josserand1983mixtec	NA
9388	nuti11	ANIMAL	animal	kɨtɨ	kɨtɨ	50	619	NA	NA	josserand1983mixtec	NA
10155	nuti11	ANIMAL	rata	tɨ̧ñɨ̧	tɨ̧ñɨ̧	50	619	NA	NA	josserand1983mixtec	NA
9506	nuti11	BIRD	pájaro	saa	saa	51	937	NA	NA	josserand1983mixtec	NA
10284	nuti11	BIRD	venado	isu	isu	51	937	NA	NA	josserand1983mixtec	NA
10399	nuti11	FISH	ardilla	kʷa̧ñu̧	kʷa̧ñu̧	52	227	NA	NA	josserand1983mixtec	NA
9710	nuti11	FROG	rana	saʔƀa	saʔƀa	54	503	NA	NA	josserand1983mixtec	NA
10522	nuti11	BEE	gato	(mištu)	mištu	59	665	NA	NA	josserand1983mixtec	NA
10642	nuti11	ANT	cuerno	ⁿdɨkɨ	ⁿdɨkɨ	75	587	NA	NA	josserand1983mixtec	NA
10759	nuti11	FEATHER	pluma	tu̧mi̧	tu̧mi̧	77	1201	NA	NA	josserand1983mixtec	NA
10966	nuti11	TAIL	cola	su̧ʔma̧	su̧ʔma̧	79	1220	NA	NA	josserand1983mixtec	NA
11087	nuti11	TREE	árbol	yutu̧	yutu̧	80	906	NA	NA	josserand1983mixtec	NA
11304	nuti11	MAGUEY	maguey	yaƀi	yaƀi	84	NA	NA	NA	josserand1983mixtec	NA
11424	nuti11	CORN	maíz	nɨ̧ñi̧	nɨ̧ñi̧	87	506	NA	NA	josserand1983mixtec	NA
11544	nuti11	CORN FIELD	milpa	itu	itu	88	449	NA	NA	josserand1983mixtec	NA
11660	nuti11	CORN DOUGH	masa	yuča̧	yuča̧	91	NA	NA	NA	josserand1983mixtec	NA
11782	nuti11	TORTILLA	tortilla	šita	šita	92	NA	NA	NA	josserand1983mixtec	NA
12163	nuti11	TASSEL	frijol(es)	ⁿdutʸi	ⁿdutʸi	95	NA	NA	NA	josserand1983mixtec	NA
12367	nuti11	SALT	sal	ñɨ̧̀ɨ̧̀	ñɨ̧̀ɨ̧̀	99	1274	NA	NA	josserand1983mixtec	NA
12480	nuti11	PUMPKIN	calabaza	yɨkɨ̧	yɨkɨ̧	100	864	NA	NA	josserand1983mixtec	NA
12596	nuti11	SUGAR CANE	caña	ⁿdoo	ⁿdoo	102	146	NA	NA	josserand1983mixtec	NA
12712	nuti11	HONEY	miel	ⁿduši	ⁿduši	103	942	NA	NA	josserand1983mixtec	NA
12836	nuti11	EGG	blanquillo, huevo	ⁿdɨƀɨ	ⁿdɨƀɨ	105	744	NA	NA	josserand1983mixtec	NA
