ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
495	ocot11	mother	nāná	nāná	1	NA	NA	NA	alexander1988syntactic	NA
496	ocot11	mother!, mom!	nāná	nāná	2	NA	NA	NA	alexander1988syntactic	NA
497	ocot11	father	tātá	tātá	3	NA	NA	NA	alexander1988syntactic	NA
498	ocot11	son/daughter, child	sehē	sehē	5	NA	NA	NA	alexander1988syntactic	NA
2052	ocot11	child	sèʔē	sèʔē	5	NA	NA	NA	durr1987preliminary	NA
6409	ocot11	hijo/hija	seʔē	seʔē	5	NA	NA	NA	josserand1983mixtec	NA
499	ocot11	daughter	sehē síhi	sehē-síhi	7	child-female	NA	NA	alexander1988syntactic	NA
500	ocot11	cross-sex sibling	kwahā	kwahā	8	NA	NA	NA	alexander1988syntactic	NA
2067	ocot11	cross-sex sibling	kʷàʔā	kʷàʔā	8	NA	NA	NA	durr1987preliminary	NA
501	ocot11	brother of man	ñāni	ñāni	9	NA	NA	NA	alexander1988syntactic	NA
2077	ocot11	brother of man	ñānì	ñānì	9	NA	NA	NA	durr1987preliminary	NA
6526	ocot11	hermano de hombre	ñā̧nì̧	ñā̧nì̧	9	NA	NA	NA	josserand1983mixtec	NA
502	ocot11	sister of woman	kuhu	kuhu	10	NA	NA	NA	alexander1988syntactic	NA
2089	ocot11	sister of woman	kùʔù	kùʔù	10	NA	NA	NA	durr1987preliminary	NA
503	ocot11	aunt	shīshi	shīshi	11	NA	NA	NA	alexander1988syntactic	NA
2101	ocot11	aunt	šīšì	šīšì	11	NA	NA	NA	durr1987preliminary	NA
504	ocot11	uncle	shīto	shīto	12	NA	NA	NA	alexander1988syntactic	NA
2115	ocot11	uncle	šītò	šītò	12	NA	NA	NA	durr1987preliminary	NA
505	ocot11	man	tēe	tēe	13	NA	NA	NA	alexander1988syntactic	NA
2128	ocot11	man	tèē	tèē	13	NA	NA	NA	durr1987preliminary	NA
6649	ocot11	hombre	tèē	tèē	13	NA	NA	NA	josserand1983mixtec	NA
506	ocot11	woman	ñāhān	ñāhān	14	NA	NA	NA	alexander1988syntactic	NA
507	ocot11	owner	xe-tōho	xe-tōho	15	NA	NA	NA	alexander1988syntactic	NA
6752	ocot11	dueño	xè-tōʔò	xè-tōʔò	15	NA	NA	NA	josserand1983mixtec	NA
508	ocot11	priest	sutu	sutu	16	NA	NA	NA	alexander1988syntactic	NA
6836	ocot11	sacerdote	sùtù	sùtù	16	NA	NA	NA	josserand1983mixtec	NA
6942	ocot11	sangre	nì̧ñì̧	nì̧ñì̧	17	NA	NA	NA	josserand1983mixtec	NA
509	ocot11	hair	īshī	īshī	19	NA	NA	NA	alexander1988syntactic	NA
510	ocot11	face	nuu	nuu	20	NA	NA	NA	alexander1988syntactic	NA
2154	ocot11	face	nùù	nùù	20	NA	NA	NA	durr1987preliminary	NA
2164	ocot11	tongue	žáá	žáá	21	NA	NA	NA	durr1987preliminary	NA
7046	ocot11	diente	nù̧ʔū̧	nù̧ʔū̧	22	NA	NA	NA	josserand1983mixtec	NA
511	ocot11	mouth	yūhú	yūhú	23	NA	NA	NA	alexander1988syntactic	NA
2184	ocot11	mouth	žūʔú	žūʔú	23	NA	NA	NA	durr1987preliminary	NA
7135	ocot11	boca	žūʔú	žūʔú	23	NA	NA	NA	josserand1983mixtec	NA
512	ocot11	ear	shitin	shitin	24	NA	NA	NA	alexander1988syntactic	NA
7243	ocot11	oreja	sòʔō	sòʔō	24	NA	NA	NA	josserand1983mixtec	NA
7360	ocot11	nariz	šìtì	šìtì	25	NA	NA	NA	josserand1983mixtec	NA
513	ocot11	neck	sukun	sukun	26	NA	NA	NA	alexander1988syntactic	NA
7474	ocot11	cuello	sù̧kù̧	sù̧kù̧	26	NA	NA	NA	josserand1983mixtec	NA
514	ocot11	hand	ndāha	ndāha	27	NA	NA	NA	alexander1988syntactic	NA
2207	ocot11	hand	ⁿdāʔá	ⁿdāʔá	27	NA	NA	NA	durr1987preliminary	NA
7592	ocot11	uña	tí̧í̧	tí̧í̧	28	NA	NA	NA	josserand1983mixtec	NA
515	ocot11	back	yata	yata	29	NA	NA	NA	alexander1988syntactic	NA
516	ocot11	stomach	chixīn	chixīn	30	NA	NA	NA	alexander1988syntactic	NA
2231	ocot11	stomach	čìhī	čìhī	30	NA	NA	NA	durr1987preliminary	NA
7710	ocot11	tripas	xītì	xītì	31	NA	NA	NA	josserand1983mixtec	NA
517	ocot11	foot	xehe	xehe	32	NA	NA	NA	alexander1988syntactic	NA
2242	ocot11	foot	xèʔè	xèʔè	32	NA	NA	NA	durr1987preliminary	NA
7828	ocot11	pie	xèʔè	xèʔè	32	NA	NA	NA	josserand1983mixtec	NA
518	ocot11	sickness	kwehe	kwehe	33	NA	NA	NA	alexander1988syntactic	NA
7943	ocot11	enfermedad	kʷèʔè	kʷèʔè	33	NA	NA	NA	josserand1983mixtec	NA
519	ocot11	medicine	tatan	tatan	34	NA	NA	NA	alexander1988syntactic	NA
2253	ocot11	medicine	tà̧tà̧	tà̧tà̧	34	NA	NA	NA	durr1987preliminary	NA
8048	ocot11	hinchazón	kʷī̧ñū̧	kʷī̧ñū̧	35	NA	NA	NA	josserand1983mixtec	NA
8153	ocot11	grano	ⁿtìʔžī	ⁿtìʔžī	36	NA	NA	NA	josserand1983mixtec	NA
8268	ocot11	pus	ⁿtakʷa	ⁿtakʷa	37	NA	NA	NA	josserand1983mixtec	NA
520	ocot11	cloth	sāhmā	sāhmā	39	NA	NA	NA	alexander1988syntactic	NA
2264	ocot11	clothes	sāʔmā	sāʔmā	39	NA	NA	NA	durr1987preliminary	NA
521	ocot11	sandal, sandals	nixan	nixan	40	NA	NA	NA	alexander1988syntactic	NA
8446	ocot11	huarache	nì̧xà̧	nì̧xà̧	40	NA	NA	NA	josserand1983mixtec	NA
8539	ocot11	calzón, pantalón	xātù	xātù	41	NA	NA	NA	josserand1983mixtec	NA
8616	ocot11	huipil	šì̧kì̧	šì̧kì̧	42	NA	NA	NA	josserand1983mixtec	NA
522	ocot11	village, town	ñūu	ñūu	43	NA	NA	NA	alexander1988syntactic	NA
2285	ocot11	town	ñūù	ñūù	43	NA	NA	NA	durr1987preliminary	NA
8715	ocot11	pueblo	ñū̧ù̧	ñū̧ù̧	43	NA	NA	NA	josserand1983mixtec	NA
523	ocot11	house	vēhē	vēhē	44	NA	NA	NA	alexander1988syntactic	NA
2299	ocot11	house	ƀēʔē	ƀēʔē	44	NA	NA	NA	durr1987preliminary	NA
8829	ocot11	casa	vēʔē	vēʔē	44	NA	NA	NA	josserand1983mixtec	NA
524	ocot11	path	īchī	īchī	45	NA	NA	NA	alexander1988syntactic	NA
2314	ocot11	road	īčī	īčī	45	NA	NA	NA	durr1987preliminary	NA
2323	ocot11	straw mat	žūū	žūū	47	NA	NA	NA	durr1987preliminary	NA
9036	ocot11	petate	žūū	žūū	47	NA	NA	NA	josserand1983mixtec	NA
9154	ocot11	cama	xìtō	xìtō	48	NA	NA	NA	josserand1983mixtec	NA
9272	ocot11	banquito	tēžù	tēžù	49	NA	NA	NA	josserand1983mixtec	NA
525	ocot11	animal	kītī	kītī	50	NA	NA	NA	alexander1988syntactic	NA
2345	ocot11	animal	kītī	kītī	50	NA	NA	NA	durr1987preliminary	NA
9392	ocot11	animal	kiti	kiti	50	NA	NA	NA	josserand1983mixtec	NA
526	ocot11	bird	sāa	sāa	51	NA	NA	NA	alexander1988syntactic	NA
2357	ocot11	bird	sāà	sāà	51	NA	NA	NA	durr1987preliminary	NA
9510	ocot11	pájaro	sāà	sāà	51	NA	NA	NA	josserand1983mixtec	NA
527	ocot11	fish	t-yaká	t-yaká	52	animal-fish	NA	NA	alexander1988syntactic	NA
9608	ocot11	culebra	kòò	kòò	53	NA	NA	NA	josserand1983mixtec	NA
9716	ocot11	rana	ⁿtī-šikʷi	ⁿtī-šikʷi	54	NA	NA	NA	josserand1983mixtec	NA
9847	ocot11	halcón	tàsù̧	tàsù̧	55	NA	NA	NA	josserand1983mixtec	NA
9846	ocot11	gavilán	žāʔa	žāʔa	55	NA	NA	NA	josserand1983mixtec	NA
528	ocot11	scorpion	ti-sūhma	ti-sūhma	56	animal-tail	NA	NA	alexander1988syntactic	NA
9958	ocot11	alacrán	tì-sū̧ʔmà̧	tì-sū̧ʔmà̧	56	NA	NA	NA	josserand1983mixtec	NA
10043	ocot11	cucaracha	tì-tèʔé	tì-tèʔé	57	NA	NA	NA	josserand1983mixtec	NA
529	ocot11	mouse	tí:n̄í	tí:n̄í	60	NA	NA	NA	alexander1988syntactic	NA
10160	ocot11	rata	tì̧ñí̧	tì̧ñí̧	60	NA	NA	NA	josserand1983mixtec	NA
2408	ocot11	deer	īsù	īsù	61	NA	NA	NA	durr1987preliminary	NA
10288	ocot11	venado	ʔīsù	ʔīsù	61	NA	NA	NA	josserand1983mixtec	NA
10404	ocot11	ardilla	škʷâ̧ñū̧	škʷâ̧ñū̧	62	NA	NA	NA	josserand1983mixtec	NA
530	ocot11	rabbit	lēxō	lēxō	66	NA	yes?	Spanish	alexander1988syntactic	NA
531	ocot11	dog	tīna	t-īna	68	animal-dog	NA	NA	alexander1988syntactic	NA
2416	ocot11	dog	t-īnà	t-īnà	68	animal-dog	NA	NA	durr1987preliminary	NA
532	ocot11	cat	chílū	chílū	69	NA	NA	NA	alexander1988syntactic	NA
10527	ocot11	gato	ƀílū	ƀílū	69	NA	NA	NA	josserand1983mixtec	NA
10526	ocot11	gato	čílū	čílū	69	NA	NA	NA	josserand1983mixtec	NA
533	ocot11	hen	n̄īhín	n̄īhín	71	NA	NA	NA	alexander1988syntactic	NA
534	ocot11	horse	kwáyu	kwáyu	73	NA	yes	Colonial Spanish	alexander1988syntactic	NA
535	ocot11	sheep	ti-kachí	ti-kachí	74	animal-cotton	NA	NA	alexander1988syntactic	NA
10646	ocot11	cuerno	ⁿdiki	ⁿdiki	76	NA	NA	NA	josserand1983mixtec	NA
10763	ocot11	pluma	tù̧mi̧	tù̧mi̧	77	NA	NA	NA	josserand1983mixtec	NA
10863	ocot11	ala	ni̧xí̧	ni̧xí̧	78	NA	NA	NA	josserand1983mixtec	NA
536	ocot11	tail	suhma	suhma	79	NA	NA	NA	alexander1988syntactic	NA
10971	ocot11	cola	sù̧mà̧	sù̧mà̧	79	NA	NA	NA	josserand1983mixtec	NA
537	ocot11	tree	n̄ūtūn	n̄ūtūn	80	NA	NA	NA	alexander1988syntactic	NA
2430	ocot11	tree	ñū̧tū̧	ñū̧tū̧	80	NA	NA	NA	durr1987preliminary	NA
11091	ocot11	árbol	ñū̧tū̧	ñū̧tū̧	80	NA	NA	NA	josserand1983mixtec	NA
2441	ocot11	herb, bush	žùkù	žùkù	81	NA	NA	NA	durr1987preliminary	NA
11194	ocot11	hierba	žūkù	žūkù	81	NA	NA	NA	josserand1983mixtec	NA
538	ocot11	grass	īte	īte	82	NA	NA	NA	alexander1988syntactic	NA
539	ocot11	flower	īta	īta	83	NA	NA	NA	alexander1988syntactic	NA
2451	ocot11	flower	ītà	ītà	83	NA	NA	NA	durr1987preliminary	NA
11308	ocot11	maguey	žāƀī	žāƀī	84	NA	NA	NA	josserand1983mixtec	NA
540	ocot11	grain of corn	nuni	nuni	87	NA	NA	NA	alexander1988syntactic	NA
2462	ocot11	corn	nùnì	nùnì	87	NA	NA	NA	durr1987preliminary	NA
11428	ocot11	maíz	nū̧nì̧	nū̧nì̧	87	NA	NA	NA	josserand1983mixtec	NA
541	ocot11	cornfield	ītu	ītu	88	NA	NA	NA	alexander1988syntactic	NA
11548	ocot11	milpa	ʔītù	ʔītù	88	NA	NA	NA	josserand1983mixtec	NA
542	ocot11	fresh ear of corn	ndīshī	ndīshī	89	NA	NA	NA	alexander1988syntactic	NA
11664	ocot11	masa	ñū̧xȩ̄	ñū̧xȩ̄	91	NA	NA	NA	josserand1983mixtec	NA
543	ocot11	tortilla	staa	staa	92	NA	NA	NA	alexander1988syntactic	NA
2474	ocot11	tortilla	šìtà	šìtà	92	NA	NA	NA	durr1987preliminary	NA
11786	ocot11	tortilla	sìtà	sìtà	92	NA	NA	NA	josserand1983mixtec	NA
11787	ocot11	tortilla	stàà	stàà	92	NA	NA	NA	josserand1983mixtec	NA
11890	ocot11	rastrojo	lōkò-ñà̧mà̧	lōkò-ñà̧mà̧	93	NA	NA	NA	josserand1983mixtec	NA
11976	ocot11	surco	nū̧kù̧	nū̧kù̧	94	NA	NA	NA	josserand1983mixtec	NA
12063	ocot11	espiga	žoko	žoko	95	NA	NA	NA	josserand1983mixtec	NA
544	ocot11	bean	ndūchī	ndūchī	96	NA	NA	NA	alexander1988syntactic	NA
12167	ocot11	frijol(es)	ⁿdūčī	ⁿdūčī	96	NA	NA	NA	josserand1983mixtec	NA
12266	ocot11	ejote	ⁿtìčī	ⁿtìčī	97	NA	NA	NA	josserand1983mixtec	NA
545	ocot11	chili pepper	yāhā	yāhā	98	NA	NA	NA	alexander1988syntactic	NA
546	ocot11	salt	ñii	ñii	99	NA	NA	NA	alexander1988syntactic	NA
12371	ocot11	sal	ñì̧ì̧	ñì̧ì̧	99	NA	NA	NA	josserand1983mixtec	NA
12484	ocot11	calabaza	ñī̧kī̧	ñī̧kī̧	100	NA	NA	NA	josserand1983mixtec	NA
12600	ocot11	caña	nᵗòò	nᵗòò	102	NA	NA	NA	josserand1983mixtec	NA
12717	ocot11	miel	ⁿtùšī	ⁿtùšī	103	NA	NA	NA	josserand1983mixtec	NA
547	ocot11	lard	shehēn	shehēn	104	NA	NA	NA	alexander1988syntactic	NA
548	ocot11	egg	ndivi	ndivi	105	NA	NA	NA	alexander1988syntactic	NA
12840	ocot11	blanquillo, huevo	ⁿdìƀì	ⁿdìƀì	105	NA	NA	NA	josserand1983mixtec	NA
549	ocot11	tomato	ti-nāna	ti-nāna	106	round-tomato	NA	NA	alexander1988syntactic	NA
12941	ocot11	jitomate	tì-nà̧nā̧	tì-nà̧nā̧	106	NA	NA	NA	josserand1983mixtec	NA
550	ocot11	avocado	tichí	tichí	108	NA	NA	NA	alexander1988syntactic	NA
551	ocot11	banana	ndīkā	ndīkā	109	NA	NA	NA	alexander1988syntactic	NA
13027	ocot11	nopal	mi̧ʔⁿde	mi̧ʔⁿde	110	NA	NA	NA	josserand1983mixtec	NA
13110	ocot11	mamey	ntīkā-xéʔè	ntīkā-xéʔè	111	NA	NA	NA	josserand1983mixtec	NA
552	ocot11	custard apple	ndōkō	ndōkō	112	NA	NA	NA	alexander1988syntactic	NA
553	ocot11	meat	kuñū	kuñū	114	NA	NA	NA	alexander1988syntactic	NA
2518	ocot11	meat	kùñū	kùñū	114	NA	NA	NA	durr1987preliminary	NA
13218	ocot11	carne	kù̧ñū̧	kù̧ñū̧	114	NA	NA	NA	josserand1983mixtec	NA
13337	ocot11	comal	xìžō	xìžō	115	NA	NA	NA	josserand1983mixtec	NA
554	ocot11	cooking pot	kisī	kisī	116	NA	NA	NA	alexander1988syntactic	NA
13440	ocot11	olla	kìsī	kìsī	116	NA	NA	NA	josserand1983mixtec	NA
13537	ocot11	horno	xì̧tù̧	xì̧tù̧	117	NA	NA	NA	josserand1983mixtec	NA
555	ocot11	fire	ñúhun	ñúhun	118	NA	NA	NA	alexander1988syntactic	NA
13650	ocot11	lumbre	ñū̧ʔù̧	ñū̧ʔù̧	118	NA	NA	NA	josserand1983mixtec	NA
556	ocot11	charcoal	ti-kayī	ti-kayī	120	round-?	NA	NA	alexander1988syntactic	NA
13770	ocot11	humo	ñù̧ʔmà̧	ñù̧ʔmà̧	121	NA	NA	NA	josserand1983mixtec	NA
13875	ocot11	basura	žàkā	žàkā	122	NA	NA	NA	josserand1983mixtec	NA
