ID	DOCULECT	CONCEPT	GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2049	peno11	CHILD (DESCENDANT)	child	đéʔè	đéʔè	5	1801	NA	NA	durr1987preliminary	NA
6411	peno11	CHILD (DESCENDANT)	hijo/hija	đéʔè	đéʔè	5	1801	NA	NA	josserand1983mixtec	NA
2065	peno11	CROSS-SEX SIBLING	cross-sex sibling	kúʔà	kúʔà	8	NA	NA	NA	durr1987preliminary	NA
2075	peno11	BROTHER (OF MAN)	brother of man	ñàní	ñàní	9	559	NA	NA	durr1987preliminary	NA
6528	peno11	BROTHER (OF MAN)	hermano de hombre	ña̧̧ni̧̧	ña̧̧ni̧̧	9	559	NA	NA	josserand1983mixtec	NA
2087	peno11	SISTER (OF WOMAN)	sister of woman	kúʔú	kúʔú	10	NA	NA	NA	durr1987preliminary	NA
2098	peno11	AUNT	aunt	đìđí	đìđí	11	1272	NA	NA	durr1987preliminary	NA
2112	peno11	UNCLE	uncle	đìtó	đìtó	12	1327	NA	NA	durr1987preliminary	NA
2126	peno11	MAN	man	téè	téè	13	1554	NA	NA	durr1987preliminary	NA
6651	peno11	MAN	hombre	téè	téè	13	1554	NA	NA	josserand1983mixtec	NA
6753	peno11	OWNER	dueño	ší-tóʔó	ší-tóʔó	15	1036	NA	NA	josserand1983mixtec	NA
6837	peno11	OWNER	sacerdote	đútú	đútú	15	1036	NA	NA	josserand1983mixtec	NA
6944	peno11	BLOOD	sangre	nɨ̧́ñɨ̧́	nɨ̧́ñɨ̧́	17	946	NA	NA	josserand1983mixtec	NA
2145	peno11	BONE	bone	žɨ̀kɨ̀	žɨ̀kɨ̀	18	1394	NA	NA	durr1987preliminary	NA
2151	peno11	FACE	face	núú	núú	20	1560	NA	NA	durr1987preliminary	NA
2163	peno11	TONGUE	tongue	žâá	žâá	21	1205	NA	NA	durr1987preliminary	NA
2174	peno11	TOOTH	tooth	nú̧ʔù̧	nú̧ʔù̧	22	1380	NA	NA	durr1987preliminary	NA
7047	peno11	TOOTH	diente	nú̧ʔù̧	nú̧ʔù̧	22	1380	NA	NA	josserand1983mixtec	NA
