ID	DOCULECT	GLOSS	VALUE	FORM	IDlist	NOTES	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE
2965	pied12	padre, papá	tájtě	tájtě	3	NA	NA	NA	oxnard2020	NA
2970	pied12	hijo/hija	sè'e	sè'e	5	NA	NA	NA	oxnard2020	NA
2975	pied12	hermana/hermano de otro genero	kò'va	kò'va	8	NA	NA	NA	oxnard2020	NA
2979	pied12	hermano de hombre	ñañî	ñañî	9	NA	NA	NA	oxnard2020	NA
2984	pied12	hermana de mujer	ku'ù	ku'ù	10	NA	NA	NA	oxnard2020	NA
2988	pied12	tía	xixi	xixi	11	NA	NA	NA	oxnard2020	NA
2991	pied12	tío	xito	xito	12	NA	NA	NA	oxnard2020	NA
2995	pied12	hombre	tsiàja 	tsiàja 	13	NA	NA	NA	oxnard2020	NA
3003	pied12	dueño	xìto'ô	xìto'ô	15	NA	NA	NA	oxnard2020	NA
3008	pied12	sacerdote	sujtù	sujtù	16	NA	NA	NA	oxnard2020	NA
3013	pied12	sangre	nìjǐ	nìjǐ	17	NA	NA	NA	oxnard2020	NA
3018	pied12	hueso	ìkin	ìkin	18	NA	NA	NA	oxnard2020	NA
3023	pied12	pelo	ixǐ	ixǐ	19	NA	NA	NA	oxnard2020	NA
3028	pied12	cara	nùjǔ	nùjǔ	20	NA	NA	NA	oxnard2020	NA
3033	pied12	lengua	yajǎ	yajǎ	21	NA	NA	NA	oxnard2020	NA
3036	pied12	diente	nù'u	nù'u	22	NA	NA	NA	oxnard2020	NA
3041	pied12	boca	yu'ǔ	yu'ǔ	23	NA	NA	NA	oxnard2020	NA
3046	pied12	oreja	sò'o	sò'o	24	NA	NA	NA	oxnard2020	NA
3051	pied12	nariz	xitsǐn	xitsǐn	25	NA	NA	NA	oxnard2020	NA
3056	pied12	cuello 	sokǔn	sokǔn	26	NA	NA	NA	oxnard2020	NA
3061	pied12	mano	nta'ǎ	nta'ǎ	27	NA	NA	NA	oxnard2020	NA
3066	pied12	uña	chíjǐn	chíjǐn	28	NA	NA	NA	oxnard2020	NA
3071	pied12	espalda	sàjtǎ	sàjtǎ	29	NA	NA	NA	oxnard2020	NA
3076	pied12	estómago	nchìxìn	nchìxìn	30	NA	NA	NA	oxnard2020	NA
3080	pied12	tripa	xitsîn	xitsîn	31	NA	NA	NA	oxnard2020	NA
3085	pied12	pie	xà'ǎ	xà'ǎ	32	NA	NA	NA	oxnard2020	NA
3090	pied12	enfermedad	kuè'è	kuè'è	33	NA	NA	NA	oxnard2020	NA
3095	pied12	medicina	tàjtǎn	tàjtǎn	34	NA	NA	NA	oxnard2020	NA
3098	pied12	hinchazón	kuiñu	kuiñu	35	NA	NA	NA	oxnard2020	NA
3103	pied12	grano 	ntsì'i	ntsì'i	36	NA	NA	NA	oxnard2020	NA
3108	pied12	pus	ntajkuà	ntajkuà	37	NA	NA	NA	oxnard2020	NA
3113	pied12	orina	lǎxa	lǎxa	38	NA	NA	NA	oxnard2020	NA
3118	pied12	ropa	tsiǎà	tsiǎà	39	NA	NA	NA	oxnard2020	NA
3123	pied12	huarache	nchìxǎn 	nchìxǎn 	40	NA	NA	NA	oxnard2020	NA
3128	pied12	pantalón	xajtû	xajtû	41	NA	NA	NA	oxnard2020	NA
3135	pied12	pueblo	ñuù	ñuù	43	NA	NA	NA	oxnard2020	NA
3140	pied12	casa	ve'e	ve'e	44	NA	NA	NA	oxnard2020	NA
3145	pied12	camino	ichǐ	ichǐ	45	NA	NA	NA	oxnard2020	NA
3150	pied12	horcón	sì'ìn	sì'ìn	46	NA	NA	NA	oxnard2020	NA
3154	pied12	petate	yivǐ	yivǐ	47	NA	NA	NA	oxnard2020	NA
3159	pied12	cama	xìto	xìto	48	NA	NA	NA	oxnard2020	NA
3164	pied12	silla	tsiáyi	tsiáyi	49	NA	NA	NA	oxnard2020	NA
3169	pied12	animal	kitsǐ	kitsǐ	50	NA	NA	NA	oxnard2020	NA
3174	pied12	pájaro	saà	saà	51	NA	NA	NA	oxnard2020	NA
3179	pied12	pescado	tsiàká	tsiàká	52	NA	NA	NA	oxnard2020	NA
3184	pied12	culebra	kòjǒ	kòjǒ	53	NA	NA	NA	oxnard2020	NA
3189	pied12	rana	sá'và	sá'và	54	NA	NA	NA	oxnard2020	NA
3194	pied12	gavilán	xi'ña	xi'ña	55	NA	NA	NA	oxnard2020	NA
3199	pied12	alacrán	tsìso'mà	tsì-so'mà	56	animal-tail	NA	NA	oxnard2020	NA
3204	pied12	cucaracha	tsìtsie'é	tsì-tsie'é	57	animal-	NA	NA	oxnard2020	NA
3208	pied12	chapulín	tsikâ	tsikâ	58	NA	NA	NA	oxnard2020	NA
3213	pied12	abeja	ñùñǔ	ñùñǔ	59	NA	NA	NA	oxnard2020	NA
3218	pied12	ratón	tsìín	tsìín	60	NA	NA	NA	oxnard2020	NA
3223	pied12	venado	usû	usû	61	NA	NA	NA	oxnard2020	NA
3228	pied12	ardilla	tsìkuáñu	tsì-kuáñu	62	NA	NA	NA	oxnard2020	NA
3233	pied12	zorrillo	léló	léló	63	NA	NA	NA	oxnard2020	NA
3240	pied12	tlacuache	xàko	xàko	64	NA	NA	NA	oxnard2020	NA
3245	pied12	mapache	má'a	má'a	65	NA	NA	NA	oxnard2020	NA
3249	pied12	conejo	leso	leso	66	NA	NA	NA	oxnard2020	NA
3254	pied12	zopilote	tsìkǒxìjǐ	tsì-kǒxìjǐ	67	NA	NA	NA	oxnard2020	NA
3259	pied12	perro	tsìnâ	tsìnâ	68	NA	NA	NA	oxnard2020	NA
3264	pied12	gato	chújtu	chújtu	69	NA	NA	NA	oxnard2020	NA
3271	pied12	gallo	chéle	chéle	70	NA	NA	NA	oxnard2020	NA
3276	pied12	gallina	nchuxí	nchuxí	71	NA	NA	NA	oxnard2020	NA
3280	pied12	cerdo	kinì	kinì	72	NA	NA	NA	oxnard2020	NA
3285	pied12	caballo	{kuayì}	kuayì	73	NA	yes	Colonial Spanish	oxnard2020	NA
3290	pied12	borrego	lanchi	lanchi	74	NA	NA	NA	oxnard2020	NA
3295	pied12	hormiga	tsiòkó	tsiòkó	75	NA	NA	NA	oxnard2020	NA
3300	pied12	cuerno	ntsikǐn	ntsikǐn	76	NA	NA	NA	oxnard2020	NA
3305	pied12	pluma	tǒmî	tǒmî	77	NA	NA	NA	oxnard2020	NA
3310	pied12	ala	nchìxǐn	nchìxǐn	78	NA	NA	NA	oxnard2020	NA
3315	pied12	cola	nto'ǒ	nto'ǒ	79	NA	NA	NA	oxnard2020	NA
3320	pied12	árbol	ijtǔ	ijtǔ	80	NA	NA	NA	oxnard2020	NA
3323	pied12	hierba	yùjkù	yùjkù	81	NA	NA	NA	oxnard2020	NA
3328	pied12	zacate, pasto	ijtsiâ	ijtsiâ	82	NA	NA	NA	oxnard2020	NA
3333	pied12	flor	ijtâ	ijtâ	83	NA	NA	NA	oxnard2020	NA
3338	pied12	maguey	yavǐ	yavǐ	84	NA	NA	NA	oxnard2020	NA
3343	pied12	maguey	tsìkǔxin	tsì-kǔxin	84	NA	NA	NA	oxnard2020	NA
3346	pied12	raíz	tsiò'o	tsiò'o	85	NA	NA	NA	oxnard2020	NA
3351	pied12	espina, araña	ijñǔ	ijñǔ	86	NA	NA	NA	oxnard2020	NA
3356	pied12	maíz	nùnǐ	nùnǐ	87	NA	NA	NA	oxnard2020	NA
3361	pied12	milpa	utû	utû	88	NA	NA	NA	oxnard2020	NA
3366	pied12	elote (no crudo, para comer)	nchixǐ	nchixǐ	89	NA	NA	NA	oxnard2020	NA
3371	pied12	nixtamal	xá'a	xá'a	90	NA	NA	NA	oxnard2020	NA
3375	pied12	masa	ixǎn	ixǎn	91	NA	NA	NA	oxnard2020	NA
3380	pied12	tortilla	xìtǎ	xìtǎ	92	NA	NA	NA	oxnard2020	NA
3385	pied12	rastrojo	xè'è	xè'è	93	NA	NA	NA	oxnard2020	NA
3390	pied12	surco	í'tsin	í'tsin	94	NA	NA	NA	oxnard2020	NA
3396	pied12	espiga de milpa	yojkǒ	yojkǒ	95	NA	NA	NA	oxnard2020	NA
3399	pied12	frijol	ntuchǐ	ntuchǐ	96	NA	NA	NA	oxnard2020	NA
3404	pied12	ejote	nchìchî	nchìchî	97	NA	NA	NA	oxnard2020	NA
3409	pied12	chile	ya'ǎ	ya'ǎ	98	NA	NA	NA	oxnard2020	NA
3414	pied12	sal	ìjǐn	ìjǐn	99	NA	NA	NA	oxnard2020	NA
3419	pied12	calabaza	ikǐn	ikǐn	100	NA	NA	NA	oxnard2020	NA
3424	pied12	calabaza	kiá'mǐ	kiá'mǐ	100	NA	NA	NA	oxnard2020	NA
3429	pied12	chayote	nañǎ	nañǎ	101	NA	NA	NA	oxnard2020	NA
3434	pied12	caña	ntòjǒ	ntòjǒ	102	NA	NA	NA	oxnard2020	NA
3439	pied12	miel	ntǔxi	ntǔxi	103	NA	NA	NA	oxnard2020	NA
3444	pied12	manteca	xǎ'ân	xǎ'ân	104	NA	NA	NA	oxnard2020	NA
3449	pied12	huevo	ntsìvǐ	ntsìvǐ	105	NA	NA	NA	oxnard2020	NA
3454	pied12	tomate	tsìnanǎ	tsì-nanǎ	106	NA	NA	NA	oxnard2020	NA
3459	pied12	camote	ña'mǐ	ña'mǐ	107	NA	NA	NA	oxnard2020	NA
3464	pied12	aguacate	chìjchí	chìjchí	108	NA	NA	NA	oxnard2020	NA
3469	pied12	plátano	ntsijkǎ	ntsijkǎ	109	NA	NA	NA	oxnard2020	NA
3474	pied12	nopal	vi'ntsiǎ	vi'ntsiǎ	110	NA	NA	NA	oxnard2020	NA
3479	pied12	mamey	ntsiká kuá'a	ntsiká kuá'a	111	banana red	NA	NA	oxnard2020	NA
3483	pied12	zapote	ntòkǒ	ntòkǒ	111	NA	NA	NA	oxnard2020	NA
3487	pied12	chirimoya	ntokǒ	ntokǒ	112	NA	NA	NA	oxnard2020	NA
3490	pied12	hongo	xi'ǐ	xi'ǐ	113	NA	NA	NA	oxnard2020	NA
3495	pied12	carne	koñû	koñû	114	NA	NA	NA	oxnard2020	NA
3500	pied12	comal	xìyǒ	xìyǒ	115	NA	NA	NA	oxnard2020	NA
3504	pied12	olla	kìsi	kìsi	116	NA	NA	NA	oxnard2020	NA
3509	pied12	horno	xìtùn	xìtùn	117	NA	NA	NA	oxnard2020	NA
3513	pied12	fuego, lumbre	ñu'ù	ñu'ù	118	NA	NA	NA	oxnard2020	NA
3518	pied12	ceniza	yàjǎ	yàjǎ	119	NA	NA	NA	oxnard2020	NA
3523	pied12	carbón	tùún	tùún	120	NA	NA	NA	oxnard2020	NA
3528	pied12	carbón	tsìkàyì	tsìkàyì	120	NA	NA	NA	oxnard2020	NA
3532	pied12	humo	i'màn	i'màn	121	NA	NA	NA	oxnard2020	NA
3537	pied12	basura	xè'è	xè'è	122	NA	NA	NA	oxnard2020	NA
3542	pied12	jícara	yaxǐn tsié'é	yaxǐn tsié'é	124	NA	NA	NA	oxnard2020	NA
3547	pied12	tenate	ntò'ǒ	ntò'ǒ	125	NA	NA	NA	oxnard2020	NA
3552	pied12	canasta	kanàsta	kanàsta	125	Sp. loan	yes	Spanish	oxnard2020	NA
3555	pied12	hilo	yi'và	yi'và	127	NA	NA	NA	oxnard2020	NA
3560	pied12	peine	kuijkà	kuijkà	128	NA	NA	NA	oxnard2020	NA
3565	pied12	mecate	yo'ǒ	yo'ǒ	129	NA	NA	NA	oxnard2020	NA
3570	pied12	agujero	yavì	yavì	130	NA	NA	NA	oxnard2020	NA
3575	pied12	red	yujñǔ	yujñǔ	131	NA	NA	NA	oxnard2020	NA
3582	pied12	luna	yòjǒ	yòjǒ	134	NA	NA	NA	oxnard2020	NA
3587	pied12	nube	vìkǒ	vìkǒ	135	NA	NA	NA	oxnard2020	NA
3592	pied12	relámpago	taxa	taxa	136	NA	NA	NA	oxnard2020	NA
3596	pied12	rayo	taxa	taxa	136	NA	NA	NA	oxnard2020	NA
3601	pied12	agua	tsìkuǐi	tsì-kuǐi	137	NA	NA	NA	oxnard2020	NA
3606	pied12	lluvia	sàvǐ	sàvǐ	138	NA	NA	NA	oxnard2020	NA
3611	pied12	río	ìtsia	ìtsia	139	NA	NA	NA	oxnard2020	NA
3616	pied12	rocío	yúyú	yúyú	140	NA	NA	NA	oxnard2020	NA
3621	pied12	cerro	ko'nto	ko'nto	141	NA	NA	NA	oxnard2020	NA
3626	pied12	llano	yosǒ 	yosǒ 	142	NA	NA	NA	oxnard2020	NA
3631	pied12	piedra	yùjǔ	yùjǔ	143	NA	NA	NA	oxnard2020	NA
3636	pied12	algodón	kàchǐ	kàchǐ	144	NA	NA	NA	oxnard2020	NA
3641	pied12	fierro	kǎà	kǎà	145	NA	NA	NA	oxnard2020	NA
3646	pied12	papel	tujtû	tujtû	146	NA	NA	NA	oxnard2020	NA
3650	pied12	cal	kajkâ	kajkâ	147	NA	NA	NA	oxnard2020	NA
3655	pied12	cera	ìmǎ	ìmǎ	148	NA	NA	NA	oxnard2020	NA
3660	pied12	lodo	ntsia'yì	ntsia'yì	149	NA	NA	NA	oxnard2020	NA
3665	pied12	espuma	chìkìñù	chìkìñù	150	NA	NA	NA	oxnard2020	NA
3671	pied12	polvo	yájkǎ	yájkǎ	151	NA	NA	NA	oxnard2020	NA
3676	pied12	rojo	kuá'a	kuá'a	152	NA	NA	NA	oxnard2020	NA
3681	pied12	verde	kuijǐ	kuijǐ	153	NA	NA	NA	oxnard2020	NA
3686	pied12	amarillo	kuáan	kuáan	154	NA	NA	NA	oxnard2020	NA
3691	pied12	negro	tùjǔn	tùjǔn	155	NA	NA	NA	oxnard2020	NA
3696	pied12	negro	ntsiayì	ntsiayì	155	NA	NA	NA	oxnard2020	NA
